코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1132010800,9,29.84,6,2018,"   deposit  building            road           dong
0  20000.0      블레스빌   도봉로156길 17-16  서울특별시 도봉구 도봉동
1  20000.0      블레스빌   도봉로156길 17-16  서울특별시 도봉구 도봉동
2  17000.0  노블하우징 B동  도봉로169나길 107-3  서울특별시 도봉구 도봉동
3  17900.0     세인트캐슬    도봉로156길 23-7  서울특별시 도봉구 도봉동
4  18500.0     다이아포레         마들로 696  서울특별시 도봉구 도봉동",17267
1132010600,15,49.09,2,2012,"   deposit building        road           dong
0  16000.0    유성하이츠  시루봉로17길 54  서울특별시 도봉구 방학동
1  12500.0    로얄빌리지  시루봉로 254-3  서울특별시 도봉구 방학동
2  16000.0    유성하이츠  시루봉로17길 54  서울특별시 도봉구 방학동
3  18000.0    명성월드빌  도당로13라길 91  서울특별시 도봉구 방학동
4  17000.0  대원쉐르빌6차   도당로10길 17  서울특별시 도봉구 방학동",14912
1132010500,12,39.2,3,2014,"   deposit    building          road           dong
0  18000.0        스타캐슬      도당로2길 51  서울특별시 도봉구 쌍문동
1  18000.0       행운드림빌  노해로45길 38-18  서울특별시 도봉구 쌍문동
2  21500.0  은행주택(201동)    삼양로 574-24  서울특별시 도봉구 쌍문동
3  15500.0        베스트빌  우이천로38길 78-3  서울특별시 도봉구 쌍문동
4  15500.0        베스트빌  우이천로38길 78-3  서울특별시 도봉구 쌍문동",15420
1132010700,13,42.22,3,1993,"   deposit    building        road          dong
0  11000.0        그린빌라   덕릉로62길 94  서울특별시 도봉구 창동
1  10000.0        삼진빌라  도봉로110길 54  서울특별시 도봉구 창동
2   9000.0  이화하이츠빌라(라)  덕릉로63가길 80  서울특별시 도봉구 창동
3  14000.0       상아빌라7   노해로63나길 3  서울특별시 도봉구 창동
4  12000.0       상아빌라1  노해로63가길 19  서울특별시 도봉구 창동",9653.333333
1132010500,9,29.92,2,2018,"   deposit  building           road           dong
0  23000.0      루미에르     삼양로146길 14  서울특별시 도봉구 쌍문동
1  27000.0      루미에르     삼양로146길 14  서울특별시 도봉구 쌍문동
2  22000.0      루미에르     삼양로146길 14  서울특별시 도봉구 쌍문동
3  18000.0  정원팰리스 B동  도봉로117길 67-11  서울특별시 도봉구 쌍문동
4  19500.0     새울센스빌     도봉로121길 53  서울특별시 도봉구 쌍문동",24808.71429
1132010700,12,40.56,3,1993,"   deposit    building            road          dong
0  11000.0        그린빌라       덕릉로62길 94  서울특별시 도봉구 창동
1  10000.0        삼진빌라      도봉로110길 54  서울특별시 도봉구 창동
2  11000.0      원앙그린빌라      덕릉로60가길 58  서울특별시 도봉구 창동
3   8000.0      호암아트빌라  도봉로104길 130-11  서울특별시 도봉구 창동
4   9000.0  이화하이츠빌라(라)      덕릉로63가길 80  서울특별시 도봉구 창동",10368.33333
1132010600,15,50.23,1,1994,"   deposit    building           road           dong
0  10000.0      조양파크빌라  시루봉로11길 29-13  서울특별시 도봉구 방학동
1   6000.0  명우하이츠빌라 가동     마들로 581-10  서울특별시 도봉구 방학동
2  13900.0       상명아트홈    방학로3길 12-23  서울특별시 도봉구 방학동
3  11000.0    범성맨션(2차)     시루봉로15가길 5  서울특별시 도봉구 방학동
4  10000.0     (425-3)    시루봉로 149-15  서울특별시 도봉구 방학동",9183.1875
1132010700,9,29.76,3,2018,"   deposit building           road          dong
0  18800.0    제일그린빌    덕릉로63길 91-9  서울특별시 도봉구 창동
1  18800.0    제일그린빌    덕릉로63길 91-9  서울특별시 도봉구 창동
2  18000.0    제일그린빌    덕릉로63길 91-9  서울특별시 도봉구 창동
3  18800.0    제일그린빌    덕릉로63길 91-9  서울특별시 도봉구 창동
4  16000.0  한성라비앙A동  도봉로104길 111-7  서울특별시 도봉구 창동",18163.15238
1132010600,23,74.82,2,1989,"   deposit building        road           dong
0   2000.0   신우빌라2차  도당로13다길 45  서울특별시 도봉구 방학동
1  14000.0   신우빌라2차  도당로13다길 45  서울특별시 도봉구 방학동
2  12000.0   신우빌라2차  도당로13다길 45  서울특별시 도봉구 방학동
3  13500.0   신우빌라2차  도당로13다길 45  서울특별시 도봉구 방학동
4  14000.0   신우빌라2차  도당로13다길 45  서울특별시 도봉구 방학동",13116.33333
1132010800,11,37.905,2,2016,"   deposit       building            road           dong
0  12000.0          서울아트빌  도봉로169나길 18-17  서울특별시 도봉구 도봉동
1  16000.0       삼성스타빌 B동    도봉로156길 23-2  서울특별시 도봉구 도봉동
2  17500.0  삼호그랑빌(605-21)      시루봉로27길 47  서울특별시 도봉구 도봉동
3  15500.0        (609-0)        시루봉로 276  서울특별시 도봉구 도봉동
4  21000.0       도봉숲 아뜨리움      도봉로167길 38  서울특별시 도봉구 도봉동",16018
1132010600,17,56.74,6,2015,"   deposit        building           road           dong
0  19500.0         스마트빌20차     방학로2길 13-5  서울특별시 도봉구 방학동
1  17000.0  피스풀하우스(673-25)     방학로5길 9-55  서울특별시 도봉구 방학동
2  22000.0    로얄빌리지(668-3)       도당로9길 47  서울특별시 도봉구 방학동
3  26500.0         스카이드림타운  도봉로150바길 15-6  서울특별시 도봉구 방학동
4  13000.0           그랑빌삼호   도당로13라길 31-5  서울특별시 도봉구 방학동",19225
1132010600,15,48.58,2,2002,"   deposit building         road           dong
0  12000.0  동일하이츠빌라  시루봉로13가길 23  서울특별시 도봉구 방학동
1  14000.0   영흥맨션5차   시루봉로22길 16  서울특별시 도봉구 방학동
2  14000.0   영흥맨션5차   시루봉로22길 16  서울특별시 도봉구 방학동
3   2600.0   영흥맨션5차   시루봉로22길 16  서울특별시 도봉구 방학동
4  12000.0  삼원하이츠빌라  도봉로145가길 23  서울특별시 도봉구 방학동",12162.33333
1132010700,16,52.63,3,2013,"   deposit               building           road          dong
0  17000.0                성우스타팰리스     도봉로108길 76  서울특별시 도봉구 창동
1  23000.0                  더플라밍고     도봉로108길 51  서울특별시 도봉구 창동
2  25000.0  성우스타팰리스(101,102,103동)  도봉로104길 49-20  서울특별시 도봉구 창동
3   3000.0                  효승하이빌   덕릉로63길 20-26  서울특별시 도봉구 창동
4  22000.0                  태영팰리스   덕릉로59바길 41-2  서울특별시 도봉구 창동",16292
1132010500,8,26.38,5,2019,"   deposit     building            road           dong
0  17500.0  로뎀하이빌(25-6)   도봉로139길 81-15  서울특별시 도봉구 쌍문동
1  22000.0         루미에르      삼양로146길 14  서울특별시 도봉구 쌍문동
2  22000.0         루미에르      삼양로146길 14  서울특별시 도봉구 쌍문동
3  10000.0        우방이지빌        방학로3길 45  서울특별시 도봉구 쌍문동
4  21500.0      나너울 카운티  삼양로162가길 42-16  서울특별시 도봉구 쌍문동",16913.8
1132010700,10,33.42,3,1993,"   deposit  building            road          dong
0  10000.0   한신빌리지6동  도봉로110라길 70-27  서울특별시 도봉구 창동
1  10000.0   한신빌리지5동  도봉로110라길 70-29  서울특별시 도봉구 창동
2  10000.0  한신빌리지10동       덕릉로59길 98  서울특별시 도봉구 창동
3  12000.0     은행빌라7  도봉로110라길 69-28  서울특별시 도봉구 창동
4  10000.0   한신빌리지9동       덕릉로59길 96  서울특별시 도봉구 창동",10005
1132010600,7,23.4,5,2017,"   deposit  building        road           dong
0  17000.0      제니스빌   도당로31길 51  서울특별시 도봉구 방학동
1  12000.0     리치하우스  방학로12가길 15  서울특별시 도봉구 방학동
2  12800.0     바우하우스   도당로17길 18  서울특별시 도봉구 방학동
3  16000.0  디에이치씨앤밸리  도당로 138-12  서울특별시 도봉구 방학동
4   8000.0   싸이버스페이스  도봉로145길 22  서울특별시 도봉구 방학동",14257.5
1132010700,17,55.02,3,2002,"   deposit building           road          dong
0  17000.0   우성그랜드빌    도봉로110라길 23  서울특별시 도봉구 창동
1  17000.0    우성파크빌  도봉로110아길 67-3  서울특별시 도봉구 창동
2  13000.0     동성빌라  도봉로104길 130-6  서울특별시 도봉구 창동
3  13000.0     동성빌라  도봉로104길 130-6  서울특별시 도봉구 창동
4  14000.0    동광빌리지      덕릉로53길 64  서울특별시 도봉구 창동",15201.33333
1132010700,16,53.86,2,2016,"   deposit               building           road          dong
0  30000.0            한원힐트리움 골든캐슬     덕릉로59자길 31  서울특별시 도봉구 창동
1   7000.0                일진하이빌A동      해등로14길 16  서울특별시 도봉구 창동
2  26500.0                  제일그린빌    덕릉로63길 91-9  서울특별시 도봉구 창동
3  15000.0              한원힐트리움-51        덕릉로 281  서울특별시 도봉구 창동
4  23500.0  성우스타팰리스(101,102,103동)  도봉로104길 49-20  서울특별시 도봉구 창동",27250
1132010600,16,51.29,2,2016,"   deposit  building        road           dong
0  18000.0  예지팰리스84차  도당로13다길 33  서울특별시 도봉구 방학동
1  18000.0     명성월드빌  도당로13라길 91  서울특별시 도봉구 방학동
2  19500.0       예다음  시루봉로23길 17  서울특별시 도봉구 방학동
3  16000.0     유성하이츠  시루봉로17길 54  서울특별시 도봉구 방학동
4  16000.0     유성하이츠  시루봉로17길 54  서울특별시 도봉구 방학동",19115
