코드,평,전용면적(㎡),층,건축년도,predicted
1132010500,9,28.96,5,2014,"   deposit  pricemon   building           road           dong
0    328.0        24     시온그랜드빌     우이천로50길 15  서울특별시 도봉구 쌍문동
1   2000.0        27   정원팰리스 B동  도봉로117길 67-11  서울특별시 도봉구 쌍문동
2   1000.0        66  덕성여대역리가빌딩      삼양로 538-5  서울특별시 도봉구 쌍문동
3   1000.0        40     세종에코그린   삼양로144길 11-5  서울특별시 도봉구 쌍문동
4   1000.0        50   (349-29)     우이천로 346-9  서울특별시 도봉구 쌍문동"
1132010700,5,16.34,9,2014,"   deposit  pricemon        building           road          dong
0    500.0        50            티탄하임     도봉로120길 21  서울특별시 도봉구 창동
1    500.0        55            티탄하임     도봉로120길 21  서울특별시 도봉구 창동
2   4000.0        40  북한산팰리스(601-97)    덕릉로59길 32-3  서울특별시 도봉구 창동
3   3500.0        45         한성라비앙B동  도봉로104길 111-8  서울특별시 도봉구 창동
4   4000.0        45         한성라비앙A동  도봉로104길 111-7  서울특별시 도봉구 창동"
1132010600,20,65.82,3,2008,"   deposit  pricemon          building           road           dong
0  12000.0        15             성신쉐르빌  시루봉로15바길 42-3  서울특별시 도봉구 방학동
1   1809.0        15  대원리츠빌(101동,102동)     시루봉로15길 93  서울특별시 도봉구 방학동
2   5000.0        50          대흥파크힐 1동     방학로 247-10  서울특별시 도봉구 방학동
3   5000.0        60              더하우스     도봉로143길 70  서울특별시 도봉구 방학동
4   2019.0        17               타워빌     시루봉로13길 54  서울특별시 도봉구 방학동"
1132010700,20,65.16,4,1992,"   deposit  pricemon       building            road          dong
0   4000.0        50           도원빌라       덕릉로62길 14  서울특별시 도봉구 창동
1   4000.0        60  진한맨션(608-114)   도봉로104길 129-8  서울특별시 도봉구 창동
2  13000.0        10        석정빌라(가)       노해로61길 16  서울특별시 도봉구 창동
3   3000.0        45   현대맨션(609-20)  도봉로104길 142-19  서울특별시 도봉구 창동
4   6000.0        45       선덕그랑빌(다)      도봉로126길 33  서울특별시 도봉구 창동"
1132010500,11,37.98,-1,1994,"   deposit  pricemon building           road           dong
0    400.0        35     쌍문빌라    도봉로109가길 10  서울특별시 도봉구 쌍문동
1    500.0        35   남전그린빌라     우이천로30길 10  서울특별시 도봉구 쌍문동
2   1000.0        30     대림맨션      노해로42길 36  서울특별시 도봉구 쌍문동
3   1500.0        20     세광빌라      노해로48길 12  서울특별시 도봉구 쌍문동
4    700.0        43  홍익하이츠빌라  시루봉로17길 36-19  서울특별시 도봉구 방학동"
1132010700,16,52.19,6,2017,"   deposit  pricemon      building           road          dong
0   1500.0        22         한원트리안     덕릉로59라길 28  서울특별시 도봉구 창동
1   2000.0        35          골드캐슬     해등로16가길 19  서울특별시 도봉구 창동
2  12000.0        25       대원파크빌A동  덕릉로59다길 14-22  서울특별시 도봉구 창동
3   2000.0        80       일진하이빌B동    해등로14길 22-2  서울특별시 도봉구 창동
4   7000.0        60  북한산팰리스(801동)      덕릉로59아길 6  서울특별시 도봉구 창동"
1132010500,12,39.75,4,1994,"   deposit  pricemon building        road           dong
0  12000.0         5   한보빌라6차  노해로 209-25  서울특별시 도봉구 쌍문동
1   2000.0        55     정원맨션   노해로60길 55  서울특별시 도봉구 쌍문동
2   2000.0        50     미래빌라  도봉로125길 55  서울특별시 도봉구 쌍문동
3   3000.0        45     미래빌라  도봉로125길 55  서울특별시 도봉구 쌍문동
4   5000.0        60    롯데캐스빌  도봉로117길 40  서울특별시 도봉구 쌍문동"
1132010700,8,25.04,5,2016,"   deposit  pricemon        building          road          dong
0   3000.0        50          에이스홈타운  도봉로110길 74-9  서울특별시 도봉구 창동
1   1000.0        35           우진그랑빌  도봉로112길 66-3  서울특별시 도봉구 창동
2   2000.0        50           효승하이빌  덕릉로63길 20-26  서울특별시 도봉구 창동
3   2000.0        70     성원팰리스(204동)  도봉로106길 97-5  서울특별시 도봉구 창동
4   3000.0        60  북한산팰리스(651-32)    도봉로112길 40  서울특별시 도봉구 창동"
1132010500,9,29.38,5,2018,"   deposit  pricemon   building           road           dong
0    328.0        24     시온그랜드빌     우이천로50길 15  서울특별시 도봉구 쌍문동
1   2000.0        27   정원팰리스 B동  도봉로117길 67-11  서울특별시 도봉구 쌍문동
2   1000.0        66  덕성여대역리가빌딩      삼양로 538-5  서울특별시 도봉구 쌍문동
3   3000.0        60      한울빌리지     노해로60길 3-5  서울특별시 도봉구 쌍문동
4   1000.0        40     세종에코그린   삼양로144길 11-5  서울특별시 도봉구 쌍문동"
1132010600,16,53.58,5,2002,"   deposit  pricemon     building         road           dong
0   4000.0        40  삼성빌라(688-3)  방학로2길 23-23  서울특별시 도봉구 방학동
1   7000.0        25     궁전아이빌(나)   도당로13나길 43  서울특별시 도봉구 방학동
2   1500.0        40        연정아트빌  시루봉로15바길 38  서울특별시 도봉구 방학동
3   9000.0        25     대흥파크힐 1동   방학로 247-10  서울특별시 도봉구 방학동
4   3000.0        50        한샘넥스빌   시루봉로15길 53  서울특별시 도봉구 방학동"
1132010700,10,34.44,3,1991,"   deposit  pricemon     building        road          dong
0   9000.0         5    신건영빌리지2차8  도봉로 568-51  서울특별시 도봉구 창동
1   2000.0        35    신건영빌리지2차6  도봉로 568-47  서울특별시 도봉구 창동
2   9000.0        22    신건영빌리지2차7  도봉로 568-49  서울특별시 도봉구 창동
3   3000.0        30         진주빌라   덕릉로53길 36  서울특별시 도봉구 창동
4   4000.0        30  극동빌라(621-5)  도봉로110길 50  서울특별시 도봉구 창동"
1132010600,14,46.17,1,2002,"   deposit  pricemon     building           road           dong
0   5000.0        45     궁전아이빌(나)     도당로13나길 43  서울특별시 도봉구 방학동
1   4000.0        30       677-15   도봉로143길 16-3  서울특별시 도봉구 방학동
2   1000.0        60     (603-23)      시루봉로17길 7  서울특별시 도봉구 방학동
3   2000.0        30  이화하이츠빌라(A동)     시루봉로21길 14  서울특별시 도봉구 방학동
4   1000.0        50    청구아트빌라 C동  도봉로150바길 57-5  서울특별시 도봉구 방학동"
1132010700,19,64.2,5,2003,"   deposit  pricemon      building            road           dong
0  11000.0        17          해피타운      노해로63다길 92   서울특별시 도봉구 창동
1   3000.0        45  현대맨션(609-20)  도봉로104길 142-19   서울특별시 도봉구 창동
2   6000.0        45      선덕그랑빌(다)      도봉로126길 33   서울특별시 도봉구 창동
3  15500.0        19         신도빌라B   해등로16나길 22-10   서울특별시 도봉구 창동
4   3000.0        50         한샘넥스빌      시루봉로15길 53  서울특별시 도봉구 방학동"
1132010500,7,24.45,4,2015,"   deposit  pricemon  building         road           dong
0   1000.0        62     홈앤하우스  도봉로109가길 46  서울특별시 도봉구 쌍문동
1   1000.0        50  (349-29)   우이천로 346-9  서울특별시 도봉구 쌍문동
2   2000.0        45    풀내음파크빌    노해로48길 11  서울특별시 도봉구 쌍문동
3   2000.0        40    네스트하우스      도봉로 525  서울특별시 도봉구 쌍문동
4   1000.0        45     백운원룸텔   우이천로47길 29  서울특별시 도봉구 쌍문동"
1132010600,19,62.53,5,2008,"   deposit  pricemon building        road           dong
0   3000.0        50    한샘넥스빌  시루봉로15길 53  서울특별시 도봉구 방학동
1   5000.0        60     더하우스  도봉로143길 70  서울특별시 도봉구 방학동
2   2000.0        40  싸이버스페이스  도봉로145길 22  서울특별시 도봉구 방학동
3   2019.0        17      타워빌  시루봉로13길 54  서울특별시 도봉구 방학동
4   1000.0        15    동아쉐르빌  방학로 112-36  서울특별시 도봉구 방학동"
1132010500,16,51.3,2,2006,"   deposit  pricemon       building           road           dong
0   1000.0        50          한솔쉐르빌    우이천로38나길 30  서울특별시 도봉구 쌍문동
1   4000.0        50  청호캐스빌(315-75)      노해로48길 10  서울특별시 도봉구 쌍문동
2   7000.0        40           래미안빌  도봉로117길 26-20  서울특별시 도봉구 쌍문동
3   9000.0        10          한백빌리지    도봉로103길 3-6  서울특별시 도봉구 쌍문동
4   8000.0        15          한백빌리지    도봉로103길 3-6  서울특별시 도봉구 쌍문동"
1132010800,18,58.98,3,2002,"   deposit  pricemon   building           road           dong
0   5000.0        30       장미맨션     도봉로155길 51  서울특별시 도봉구 도봉동
1   2000.0        50  제5차정림골드빌라     도봉로173길 20  서울특별시 도봉구 도봉동
2   1000.0        60       연화빌라  도봉로169나길 24-8  서울특별시 도봉구 도봉동
3   7000.0        40      태영그린빌      노해로 260-7   서울특별시 도봉구 창동
4   1000.0        45       인창맨션     도봉로177가길 9  서울특별시 도봉구 도봉동"
1132010700,16,51.79,1,1987,"   deposit  pricemon building         road          dong
0   1500.0        50  창동주택(다)  해등로14길 22-3  서울특별시 도봉구 창동
1   1000.0        50   도봉하이츠B   해등로16길 7-6  서울특별시 도봉구 창동
2   2000.0        50    상아빌라6   노해로63가길 23  서울특별시 도봉구 창동
3   1000.0        40   현대그린빌라    우이천로4가길 5  서울특별시 도봉구 창동
4    500.0        50     삼원빌라   도봉로108길 75  서울특별시 도봉구 창동"
1132010700,18,59.34,4,1991,"   deposit  pricemon       building           road          dong
0   4000.0        60  진한맨션(608-114)  도봉로104길 129-8  서울특별시 도봉구 창동
1  13000.0        10        석정빌라(가)      노해로61길 16  서울특별시 도봉구 창동
2    500.0        50           대신빌라     덕릉로60카길 12  서울특별시 도봉구 창동
3   4000.0        50           도원빌라      덕릉로62길 14  서울특별시 도봉구 창동
4   1500.0        50          양지빌라6     도봉로104길 85  서울특별시 도봉구 창동"
1132010500,20,66.6,2,1984,"   deposit  pricemon  building          road           dong
0   3000.0        60      동성빌라    우이천로38길 17  서울특별시 도봉구 쌍문동
1   7500.0        30  우암빌라(나동)  해등로36길 13-20  서울특별시 도봉구 쌍문동
2  10000.0        50      동성빌라    우이천로38길 17  서울특별시 도봉구 쌍문동
3  10000.0        50      동성빌라    우이천로38길 17  서울특별시 도봉구 쌍문동
4   2000.0        50      미래빌라    도봉로125길 55  서울특별시 도봉구 쌍문동"
1132010500,20,67.49,5,2017,"   deposit  pricemon               building          road           dong
0   2000.0        45              현대아트홈(B동)  도봉로137길 52-1  서울특별시 도봉구 쌍문동
1   5221.0        16                 시온그랜드빌    우이천로50길 15  서울특별시 도봉구 쌍문동
2   4434.0        13                    시온빌     노해로57길 17  서울특별시 도봉구 쌍문동
3   5000.0        60                    로뎀빌   삼양로162가길 70  서울특별시 도봉구 쌍문동
4   3000.0       100  힐트리움아파트(101,102,103동)    우이천로24길 40  서울특별시 도봉구 쌍문동"
1132010500,5,16.34,5,2012,"   deposit  pricemon   building          road           dong
0   1000.0        45      백운원룸텔    우이천로47길 29  서울특별시 도봉구 쌍문동
1   2000.0        40     네스트하우스       도봉로 525  서울특별시 도봉구 쌍문동
2   2000.0        40     네스트하우스       도봉로 525  서울특별시 도봉구 쌍문동
3   1000.0        40     세종에코그린  삼양로144길 11-5  서울특별시 도봉구 쌍문동
4   1000.0        63  덕성여대역리가빌딩     삼양로 538-5  서울특별시 도봉구 쌍문동"
1132010600,10,34.52,3,1996,"   deposit  pricemon building            road           dong
0   1000.0        38  홍예바이오맨션      시루봉로 192-5  서울특별시 도봉구 방학동
1   4000.0        10  해성하이츠빌라      시루봉로22길 19  서울특별시 도봉구 방학동
2   1000.0        25     영일빌라      시루봉로 192-7  서울특별시 도봉구 방학동
3   1000.0        25     영일빌라      시루봉로 192-7  서울특별시 도봉구 방학동
4    700.0        30   월성그린빌라  시루봉로15라길 59-13  서울특별시 도봉구 방학동"
