코드,평수,전용면적(㎡),층,건축년도,predicted,predicted price
1123010600,8,27.25,8,2019,"   deposit building      road            dong
0  25500.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동
1  25500.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동
2  26500.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동
3  26000.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동
4  26000.0  성우스타팰리스  장한로2길 80  서울특별시 동대문구 장안동",25881.30065
1123010400,9,29.9,5,2019,"   deposit  building          road            dong
0  22000.0       타워빌  서울시립대로19길 10  서울특별시 동대문구 전농동
1  21500.0  (126-72)     전농로31길 32  서울특별시 동대문구 전농동
2  22000.0     아티움전농    전농로37나길 28  서울특별시 동대문구 전농동
3  20000.0     하이프라자   전농로37길 33-1  서울특별시 동대문구 전농동
4  20000.0     하이프라자   전농로37길 33-1  서울특별시 동대문구 전농동",20840.66667
1123010400,12,39.19,2,2016,"   deposit   building          road            dong
0  20000.0   City 팰리스  서울시립대로25길 22  서울특별시 동대문구 전농동
1  18000.0  (130-128)  서울시립대로28길 22  서울특별시 동대문구 전농동
2  18000.0  (130-128)  서울시립대로28길 22  서울특별시 동대문구 전농동
3  20000.0      엘리시아빌     전농로38라길 9  서울특별시 동대문구 전농동
4  28000.0       그린캐슬  서울시립대로28길 17  서울특별시 동대문구 전농동",20735
1123010600,12,38.58,6,2012,"   deposit building         road            dong
0  17000.0     카리스빌    장한로28길 68  서울특별시 동대문구 장안동
1  27000.0     포에버빌  천호대로77가길 32  서울특별시 동대문구 장안동
2  11000.0    평산하우스   천호대로83길 23  서울특별시 동대문구 장안동
3  21000.0    평산하우스   천호대로83길 23  서울특별시 동대문구 장안동
4  21000.0    평산하우스   천호대로83길 23  서울특별시 동대문구 장안동",16381.25
1123010400,8,27.98,3,2019,"   deposit   building          road            dong
0  18000.0  (103-377)     전농로37길 36  서울특별시 동대문구 전농동
1  15000.0      하이프라자   전농로37길 33-1  서울특별시 동대문구 전농동
2  20000.0      하이프라자   전농로37길 33-1  서울특별시 동대문구 전농동
3  20000.0   (103-39)  전농로38나길 17-1  서울특별시 동대문구 전농동
4  22000.0      아티움전농    전농로37나길 28  서울특별시 동대문구 전농동",20172.88095
1123010600,12,38.36,3,2017,"   deposit       building          road            dong
0  24000.0  레이크시티(391-23)   한천로24길 47-4  서울특별시 동대문구 장안동
1  27000.0           더헤리움      한천로6길 34  서울특별시 동대문구 장안동
2  26000.0           더헤리움      한천로6길 34  서울특별시 동대문구 장안동
3  26000.0          거성팰리스  답십리로66길 75-6  서울특별시 동대문구 장안동
4  20000.0          코지그린빌    천호대로91길 46  서울특별시 동대문구 장안동",25383.57143
1123010900,6,21.42,2,2001,"   deposit           building          road            dong
0   6000.0               힐하우스     한천로53길 45  서울특별시 동대문구 휘경동
1   6000.0           (126-38)   휘경로11가길 4-2  서울특별시 동대문구 이문동
2   7600.0           (286-13)  망우로16길 49-18  서울특별시 동대문구 휘경동
3   6800.0          (286-344)   망우로18길 81-1  서울특별시 동대문구 휘경동
4   9000.0  이문동다세대주택(264-333)   천장산로9길 48-4  서울특별시 동대문구 이문동",7402.666667
1123010600,12,40.14,2,1994,"   deposit      building         road            dong
0  17000.0   골든빌라(340-2)    장한로22길 30  서울특별시 동대문구 장안동
1  12000.0   골든빌라(340-2)    장한로22길 30  서울특별시 동대문구 장안동
2  16800.0  삼립빌라(423-12)   천호대로81길 50  서울특별시 동대문구 장안동
3   5000.0  장안아트(128-33)   한천로32길 7-5  서울특별시 동대문구 장안동
4  10000.0  장안아트(128-29)  한천로32길 7-12  서울특별시 동대문구 장안동",13532.33333
1123010200,8,24.95,4,2017,"   deposit       building         road            dong
0  21800.0  천우네오젠(39-868)   천호대로39길 12  서울특별시 동대문구 용두동
1  21800.0  천우네오젠(39-868)   천호대로39길 12  서울특별시 동대문구 용두동
2  22000.0  천우네오젠(39-868)   천호대로39길 12  서울특별시 동대문구 용두동
3  16500.0          천우네오젠   천호대로41길 26  서울특별시 동대문구 용두동
4  24000.0          가람J&S  무학로28길 17-6  서울특별시 동대문구 용두동",21120
1123010600,11,37.69,5,2011,"   deposit    building          road            dong
0  17000.0        카리스빌     장한로28길 68  서울특별시 동대문구 장안동
1  21000.0       평산하우스    천호대로83길 23  서울특별시 동대문구 장안동
2  20000.0      건양스위트룸    천호대로87길 35  서울특별시 동대문구 장안동
3  17000.0        카리스빌     장한로28길 68  서울특별시 동대문구 장안동
4  24500.0  A-ONE 201동  한천로24길 47-12  서울특별시 동대문구 장안동",18016.25
