코드,평수,전용면적(㎡),층,건축년도,predicted
1123010600,15,49.065,4,2018,"   deposit  pricemon     building          road            dong
0   5483.0        17          위드빌   한천로32길 36-1  서울특별시 동대문구 장안동
1   2142.0        28      삼화에코빌6차   한천로26길 47-1  서울특별시 동대문구 장안동
2   2212.0        29  서도휴빌(392-9)  답십리로66길 75-5  서울특별시 동대문구 장안동
3   3364.0        24     광진아트빌11차    답십리로68길 78  서울특별시 동대문구 장안동
4   2025.0        26  서도휴빌(392-9)  답십리로66길 75-5  서울특별시 동대문구 장안동"
1123010300,4,13.5,5,2003,"   deposit  pricemon  building          road            dong
0   2000.0        40  (148-46)       약령시로 13  서울특별시 동대문구 제기동
1   1000.0        43        청양      회기로2길 16  서울특별시 동대문구 제기동
2    500.0        45        청양      회기로2길 16  서울특별시 동대문구 제기동
3   4500.0         6         준  고산자로44길 16-2  서울특별시 동대문구 제기동
4    500.0        30      세아빌2  천호대로13길 59-3  서울특별시 동대문구 용두동"
1123010200,9,30.73,4,2016,"   deposit  pricemon  building        road            dong
0  16000.0        25  (39-701)  천호대로31길 29  서울특별시 동대문구 용두동
1   2000.0        85     에덴하우스  천호대로31길 59  서울특별시 동대문구 용두동
2   1000.0        75     풀 하우스  천호대로33길 69  서울특별시 동대문구 용두동
3   3000.0        60     민족통일빌    홍릉로3길 55  서울특별시 동대문구 제기동
4   4000.0        60   (971-4)  약령중앙로 34-3  서울특별시 동대문구 제기동"
1123010200,6,20.27,3,2013,"   deposit  pricemon   building        road            dong
0   1000.0        34  (102-190)   무학로34가길 3  서울특별시 동대문구 용두동
1   2000.0        55      에이스빌딩   왕산로19길 46  서울특별시 동대문구 제기동
2   3000.0        50       송봉파크  왕산로19마길 16  서울특별시 동대문구 제기동
3    500.0        50      신승아트빌   천호대로 78-1  서울특별시 동대문구 용두동
4   4000.0        35      에덴하우스  천호대로31길 59  서울특별시 동대문구 용두동"
1123010400,15,49.43,-1,1991,"   deposit  pricemon     building        road             dong
0   3000.0        25     (152-89)   전농로36길 49   서울특별시 동대문구 전농동
1    800.0        25     (271-11)  전농로3길 46-1  서울특별시 동대문구 답십리동
2   2000.0        30   동호(439-15)   장한로10길 57   서울특별시 동대문구 장안동
3   2000.0        50       현대연립가동  전농로 122-12   서울특별시 동대문구 전농동
4   1000.0        27  삼용7호(284-7)  한천로46길 102   서울특별시 동대문구 장안동"
1123010600,15,48.985,4,2018,"   deposit  pricemon     building          road            dong
0   5483.0        17          위드빌   한천로32길 36-1  서울특별시 동대문구 장안동
1   2142.0        28      삼화에코빌6차   한천로26길 47-1  서울특별시 동대문구 장안동
2   2212.0        29  서도휴빌(392-9)  답십리로66길 75-5  서울특별시 동대문구 장안동
3   3364.0        24     광진아트빌11차    답십리로68길 78  서울특별시 동대문구 장안동
4   2025.0        26  서도휴빌(392-9)  답십리로66길 75-5  서울특별시 동대문구 장안동"
1123010600,19,63.73,5,2018,"   deposit  pricemon         building       road            dong
0   6864.0        21  시온아트빌(201동202동)   한천로28길 9  서울특별시 동대문구 장안동
1    664.0        52  시온아트빌(201동202동)   한천로28길 9  서울특별시 동대문구 장안동
2   6412.0        20  시온아트빌(101동102동)   한천로28길 5  서울특별시 동대문구 장안동
3   6352.0        19  시온아트빌(301동302동)  한천로30길 12  서울특별시 동대문구 장안동
4    603.0        48  시온아트빌(201동202동)   한천로28길 9  서울특별시 동대문구 장안동"
1123010400,4,12.6,1,2014,"   deposit  pricemon  building          road            dong
0   1000.0        45  URban382      전농로38길 2  서울특별시 동대문구 전농동
1   8000.0         5       골든빌      전농로36길 6  서울특별시 동대문구 전농동
2   8000.0         5       골든빌      전농로36길 6  서울특별시 동대문구 전농동
3   5000.0        10      은덕지가  전농로38라길 10-2  서울특별시 동대문구 전농동
4   1500.0        45       오즈빌     전농로34길 26  서울특별시 동대문구 전농동"
1123010600,9,29.4,3,2018,"   deposit  pricemon       building        road            dong
0   2000.0        70           노블하임  천호대로79길 45  서울특별시 동대문구 장안동
1   1000.0        70           노블하임  천호대로79길 45  서울특별시 동대문구 장안동
2   1000.0        74           수하우스  천호대로81길 23  서울특별시 동대문구 장안동
3   2000.0        70           노블하임  천호대로79길 45  서울특별시 동대문구 장안동
4   7000.0        60  도원아트빌(439-11)  천호대로91길 70  서울특별시 동대문구 장안동"
1123011000,4,14.51,14,2015,"   deposit  pricemon      building      road            dong
0   2000.0        50         자인M타워    이문로 47  서울특별시 동대문구 이문동
1   2000.0        50         자인M타워    이문로 47  서울특별시 동대문구 이문동
2   1000.0        63      (341-41)    이문로 53  서울특별시 동대문구 이문동
3   1000.0        70      스페이스 에이치    이문로 52  서울특별시 동대문구 휘경동
4    500.0        55  빌리원(183-245)  이문로 42-1  서울특별시 동대문구 휘경동"
