코드,평수,전용면적(㎡),층,건축년도,predicted,predicted price
1159010200,9,29.57,6,2019,"   deposit    building        road           dong
0  26000.0       올레하우스  상도로12길 1-5  서울특별시 동작구 상도동
1  26000.0       올레하우스  상도로12길 1-5  서울특별시 동작구 상도동
2  13000.0        서정캐슬    사당로 36-1  서울특별시 동작구 상도동
3  11000.0        서정캐슬    사당로 36-1  서울특별시 동작구 상도동
4  29000.0  드림캐슬(33-6)   상도로 258-5  서울특별시 동작구 상도동",25138.75
1159010200,9,29.7,-1,1986,"   deposit        building           road            dong
0   5000.0  신우빌라나동(313-10)  장승배기로15길 29-1  서울특별시 동작구 노량진동
1   5000.0            원앙빌라      양녕로26길 74   서울특별시 동작구 상도동
2   6000.0   스위트빌라(214-30)     양녕로22라길 24   서울특별시 동작구 상도동
3   5000.0            우성빌라    장승배기로9나길 16   서울특별시 동작구 상도동
4  10500.0            숭전빌라     상도로62가길 26   서울특별시 동작구 상도동",7212
1159010700,6,21.43,2,2010,"   deposit     building          road           dong
0   9000.0         그린빌딩      등용로 40-2  서울특별시 동작구 대방동
1   7000.0      (376-9)      대방동27길 7  서울특별시 동작구 대방동
2   9000.0      (376-9)      대방동27길 7  서울특별시 동작구 대방동
3  13000.0  cogy studio  남부순환로269길 29  서울특별시 동작구 사당동
4  11500.0       아이린하우스  여의대방로24라길 25  서울특별시 동작구 대방동",10657
1159010200,17,55.08,-1,1993,"   deposit       building        road           dong
0  18000.0  골든빌라(184-225)   상도로24길 21  서울특별시 동작구 상도동
1  12500.0          다원하이츠  국사봉1나길 2-5  서울특별시 동작구 상도동
2  13000.0       (279-68)   성대로6바길 34  서울특별시 동작구 상도동
3  13500.0        현대하이츠빌라   상도로50길 11  서울특별시 동작구 상도동
4  10000.0           부광빌라   성대로6마길 15  서울특별시 동작구 상도동",16667
1159010200,15,47.96,2,2018,"   deposit   building       road           dong
0  35000.0    상도젠트리하임  양녕로25길 30  서울특별시 동작구 상도동
1  30500.0        휴먼빌  성대로6다길 22  서울특별시 동작구 상도동
2  37700.0    홈씨아트 로얄  매봉로2가길 10  서울특별시 동작구 상도동
3  28000.0  해뜨는집(7-7)   매봉로2가길 9  서울특별시 동작구 상도동
4  36900.0    299-153  국사봉10길 43  서울특별시 동작구 상도동",33586
1159010700,9,29.8,3,2013,"   deposit          building          road           dong
0  16000.0          (315-15)  사당로20나길 44-3  서울특별시 동작구 사당동
1  14000.0  까사 데 씨앤씨아(143-8)  동작대로25길 52-9  서울특별시 동작구 사당동
2  18000.0              트윈B동     사당로2자길 38  서울특별시 동작구 사당동
3  18000.0              트윈B동     사당로2자길 38  서울특별시 동작구 사당동
4  10000.0               그린홈      사당로8길 71  서울특별시 동작구 사당동",16768
1159010200,24,77.9,2,1998,"   deposit  building        road           dong
0  20000.0      해성빌라   상도로68가길 6  서울특별시 동작구 상도동
1  19000.0    낙원맨션7차  성대로6가길 107  서울특별시 동작구 상도동
2  23000.0  (201-23)   성대로37길 44  서울특별시 동작구 상도동
3  24000.0    다인파크A동  상도로13라길 15  서울특별시 동작구 상도동
4  25000.0     효성아트빌   성대로21길 41  서울특별시 동작구 상도동",25652.5
1159010200,12,38.31,3,1991,"   deposit building         road           dong
0  15000.0     대하빌라    상도로55길 89  서울특별시 동작구 상도동
1  14000.0       조광     국사봉8길 23  서울특별시 동작구 상도동
2  11500.0    천수빌라A    국사봉12길 28  서울특별시 동작구 상도동
3  10000.0     천수빌라  국사봉12길 28-1  서울특별시 동작구 상도동
4  15000.0      워드람      만양로 7-9  서울특별시 동작구 상도동",13817.5
1159010700,14,47.14,2,2019,"   deposit  building          road           dong
0  24000.0  (300-44)    사당로16자길 28  서울특별시 동작구 사당동
1  25000.0    249-57  사당로16가길 71-2  서울특별시 동작구 사당동
2  37000.0  아크로하임 A동    사당로20나길 13  서울특별시 동작구 사당동
3  31000.0     크레센도빌    사당로16사길 10  서울특별시 동작구 사당동
4  29000.0     베스트하임   사당로28가길 5-2  서울특별시 동작구 사당동",34111
1159010700,5,17.49,4,2017,"   deposit building          road           dong
0  13000.0       감골     사당로26길 90  서울특별시 동작구 사당동
1  13500.0    JH하우스     사당로22길 30  서울특별시 동작구 사당동
2  22000.0     CS타운  사당로22길 80-17  서울특별시 동작구 사당동
3  22000.0     CS타운  사당로22길 80-17  서울특별시 동작구 사당동
4  18000.0     강남타운  남부순환로271길 39  서울특별시 동작구 사당동",13175.5
