코드,평수,전용면적(㎡),층,건축년도,predicted
1159010200,5,17.36,2,2012,"   deposit  pricemon building         road           dong
0   8000.0        25      제이원    상도로15길 71  서울특별시 동작구 상도동
1   1000.0        40      스텔라   상도로34가길 21  서울특별시 동작구 상도동
2   8000.0        18      제이원    상도로15길 71  서울특별시 동작구 상도동
3   8000.0        30      오크빌     국사봉2바길 3  서울특별시 동작구 상도동
4   2000.0        40   홈인레지던스  상도로30길 73-1  서울특별시 동작구 상도동"
1159010200,5,15.31,6,2012,"   deposit  pricemon   building       road           dong
0   3000.0        40  장승(183-7)  상도로26길 14  서울특별시 동작구 상도동
1    500.0        55       한울빌딩  상도로 217-4  서울특별시 동작구 상도동
2   3000.0        40  장승(183-7)  상도로26길 14  서울특별시 동작구 상도동
3   1000.0        48     동양스마트빌   상도로12길 5  서울특별시 동작구 상도동
4   1000.0        52       한울빌딩  상도로 217-4  서울특별시 동작구 상도동"
1159010200,12,39.92,4,1991,"   deposit  pricemon building        road            dong
0   1500.0        70  (493-0)   상도로62가길 7   서울특별시 동작구 상도동
1  11000.0        14       신우   성대로6가길 83   서울특별시 동작구 상도동
2   8000.0        30     에덴빌라  양녕로30길 8-4   서울특별시 동작구 상도동
3   2000.0        35     까치빌라  노량진로6마길 11  서울특별시 동작구 노량진동
4    590.0        16     현대맨션   상도로45길 24  서울특별시 동작구 상도1동"
1159010700,7,24.69,2,2002,"   deposit  pricemon  building          road           dong
0   1000.0        50     제일레트빌    사당로20사길 12  서울특별시 동작구 사당동
1   1000.0        45   (202-3)    사당로2차길 5-8  서울특별시 동작구 사당동
2   1000.0        62  (1041-2)  남부순환로271길 30  서울특별시 동작구 사당동
3   5000.0        27      에스디빌       사당로9길 1  서울특별시 동작구 사당동
4   7000.0        35      삼양빌라    동작대로11길 49  서울특별시 동작구 사당동"
1159010400,11,35.74,1,1990,"   deposit  pricemon   building         road            dong
0   7000.0        15    (264-7)    현충로12길 18   서울특별시 동작구 흑석동
1   4000.0        40    (561-5)     강남초등길 18  서울특별시 동작구 상도1동
2   4000.0        30    (285-1)    현충로16길 30   서울특별시 동작구 흑석동
3   3000.0        35  초원. 하이츠빌라   양녕로25라길 36   서울특별시 동작구 상도동
4   1500.0        40     문화주택B동  양녕로30길 19-7   서울특별시 동작구 상도동"
1159010300,5,17.17,2,2013,"   deposit  pricemon building       road            dong
0   1000.0        80     온새미로  상도로37길 25  서울특별시 동작구 상도1동
1   6000.0        60   483-21  상도로47바길 9  서울특별시 동작구 상도1동
2   3000.0        45     늘품명가  상도로47길 98  서울특별시 동작구 상도1동
3    100.0        17  (774-1)  상도로 283-1  서울특별시 동작구 상도1동
4   2000.0        40      어블룸  양녕로 274-7  서울특별시 동작구 상도1동"
1159010300,7,21.65,2,2002,"   deposit  pricemon building       road            dong
0   5000.0        30      에덴빌  강남초등2길 10  서울특별시 동작구 상도1동
1    300.0        70  (169-2)  상도로30길 19   서울특별시 동작구 상도동
2   5000.0        20      에덴빌  강남초등2길 10  서울특별시 동작구 상도1동
3   2000.0        30    대림하이츠  상도로47길 82  서울특별시 동작구 상도1동
4   3000.0        40      에덴빌  강남초등2길 10  서울특별시 동작구 상도1동"
1159010700,10,33.42,4,2008,"   deposit  pricemon   building         road           dong
0   7000.0        70      서광시티뷰  동작대로27다길 29  서울특별시 동작구 사당동
1   6000.0        45   (141-10)   사당로29가길 16  서울특별시 동작구 사당동
2   5000.0        60  (316-174)   사당로20사길 16  서울특별시 동작구 사당동
3  10000.0        65       백합빌라   사당로20다길 27  서울특별시 동작구 사당동
4  10000.0        35    (202-8)     사당로2차길 5  서울특별시 동작구 사당동"
1159010100,23,76.135,2,2002,"   deposit  pricemon       building        road           dong
0   4000.0       110   골든리버티빌(1-10)     매봉로4길 6  서울특별시 동작구 상도동
1   4000.0       100  성은빌라(301-178)   국사봉18길 15  서울특별시 동작구 상도동
2  17000.0        35           대성맨션   국사봉16길 12  서울특별시 동작구 상도동
3   2000.0       120         영진파크빌라    대방동6길 18  서울특별시 동작구 상도동
4  20000.0        40        골든모닝하우스  상도로15타길 14  서울특별시 동작구 상도동"
1159010900,4,13.31,4,2014,"   deposit  pricemon      building         road            dong
0   2000.0        45     스마티움(721)    보라매로19길 8  서울특별시 동작구 신대방동
1    500.0        40  리치빌(348-101)     국사봉2다길 1  서울특별시 동작구 신대방동
2   9500.0        15  리치빌(348-101)     국사봉2다길 1  서울특별시 동작구 신대방동
3  10000.0         4       MAJESTY  여의대방로26길 29   서울특별시 동작구 대방동
4   1000.0        45           둥지Ⅲ    대방동길 95-5   서울특별시 동작구 대방동"
