코드,평수,전용면적(㎡),층,건축년도,predicted,predicted price
1138010500,9,29.89,4,2019,"   deposit         building          road           dong
0  23000.0      보성리엔빌(A,B동)  서오릉로13길 23-1  서울특별시 은평구 구산동
1  19000.0  프라임하우스(177-132)   갈현로15길 9-12  서울특별시 은평구 구산동
2  19000.0  프라임하우스(177-132)   갈현로15길 9-12  서울특별시 은평구 구산동
3  19000.0  프라임하우스(177-132)   갈현로15길 9-12  서울특별시 은평구 구산동
4  15500.0            초원그린빌    갈현로 154-20  서울특별시 은평구 구산동",21121
1138010200,8,25.74,4,2008,"   deposit       building           road           dong
0  10500.0        (372-1)     수색로 269-46  서울특별시 은평구 수색동
1  12000.0           성원빌딩      통일로82가길 4  서울특별시 은평구 불광동
2   8000.0   연희하이빌(86-40)  은평로21가길 15-12  서울특별시 은평구 녹번동
3  11000.0       대광하이빌 B동      통일로80가길 3  서울특별시 은평구 불광동
4   9000.0  삼우렉스빌(120-22)        녹번로7길 4  서울특별시 은평구 녹번동",9520
1138010400,14,44.82,3,2012,"   deposit building          road           dong
0  19000.0    예건파크빌     갈현로25길 17  서울특별시 은평구 갈현동
1  13500.0   하나뉴골든빌   서오릉로 228-16  서울특별시 은평구 갈현동
2  20000.0     청운명가     갈현로 220-8  서울특별시 은평구 갈현동
3  24000.0  호림리슈빌5차    갈현로39길 4-3  서울특별시 은평구 갈현동
4  17000.0    예림빌4차  갈현로25길 20-11  서울특별시 은평구 갈현동",15634.4
1138010200,14,47.83,3,2002,"   deposit      building        road           dong
0  16000.0     목화트윈스(A동)   진흥로12길 26  서울특별시 은평구 녹번동
1  16000.0     목화트윈스(A동)   진흥로12길 26  서울특별시 은평구 녹번동
2  17000.0  강남맨션(117-24)  통일로63길 5-1  서울특별시 은평구 녹번동
3  15000.0  금강쉐르빌(154-6)  서오릉로 41-21  서울특별시 은평구 녹번동
4  14000.0        세림(B동)  녹번로1길 19-7  서울특별시 은평구 녹번동",15125
1138010600,18,59.95,3,2000,"   deposit       building          road           dong
0  19500.0  삼성아트빌(194-22)    통일로75길 6-9  서울특별시 은평구 대조동
1  16000.0          갈릴리빌딩  연서로26길 11-11  서울특별시 은평구 대조동
2  15000.0   이레빌라(172-97)     역말로 129-3  서울특별시 은평구 대조동
3   1500.0   이레빌라(172-97)     역말로 129-3  서울특별시 은평구 대조동
4  20000.0      한빛그랑빌 D 동   통일로73길 14-1  서울특별시 은평구 대조동",17925
1138010800,9,28.68,5,2012,"   deposit building         road           dong
0  13500.0      워너빌  역말로6길 12-21  서울특별시 은평구 역촌동
1  15000.0  호림리슈빌2차    진흥로9길 9-1  서울특별시 은평구 역촌동
2  12000.0   일성아크로빌  갈현로15길 7-17  서울특별시 은평구 역촌동
3  15000.0    서흥하이빌  연서로5길 37-10  서울특별시 은평구 역촌동
4  18500.0    이룸뉴캐슬  연서로16길 9-10  서울특별시 은평구 역촌동",13086
1138010600,13,44.42,2,2018,"   deposit   building        road           dong
0  28500.0        선우빌   역말로9가길 13  서울특별시 은평구 대조동
1  26000.0     엘림아너스빌   역말로9길 5-1  서울특별시 은평구 대조동
2  26000.0       금강블루   통일로71가길 9  서울특별시 은평구 대조동
3  18900.0      지경인라지   역말로 119-6  서울특별시 은평구 대조동
4  28700.0  산호팰리스(A동)  응암로5길 14-1  서울특별시 은평구 응암동",28178.06667
1138010700,9,29.88,3,2016,"   deposit building         road           dong
0  16500.0   명진베스트빌  응암로16길 7-15  서울특별시 은평구 응암동
1  20000.0    삼영평안채  은평로16길 16-2  서울특별시 은평구 응암동
2  20000.0    삼영평안채  은평로16길 16-2  서울특별시 은평구 응암동
3  16300.0     고은명가     응암로32길 3  서울특별시 은평구 응암동
4  12000.0    백년누리빌  백련산로4길 21-6  서울특별시 은평구 응암동",17426
1138010900,18,60.23,3,2008,"   deposit     building         road           dong
0  17000.0         해피캐슬  은평로2길 16-16  서울특별시 은평구 신사동
1  18500.0        동명홈타운   갈현로3길 12-1  서울특별시 은평구 신사동
2  20000.0  경성자이빌(1-97)     갈현로4길 16  서울특별시 은평구 신사동
3  19000.0         진주빌라     증산로19길 1  서울특별시 은평구 신사동
4  14000.0   진흥빌라(25-3)     진흥로9길 15  서울특별시 은평구 역촌동",17665
1138010800,22,71.74,1,2008,"   deposit    building         road           dong
0  19000.0       대광힐타운    서오릉로9길 16  서울특별시 은평구 역촌동
1  15000.0       기찬쉐르빌  갈현로4길 43-15  서울특별시 은평구 역촌동
2  25000.0       에덴하우스   진흥로1길 55-9  서울특별시 은평구 역촌동
3  23000.0  모라도쉐르빌(A동)      갈현로9길 9  서울특별시 은평구 역촌동
4  38000.0       다원쉐르빌  역말로4길 12-10  서울특별시 은평구 역촌동",18865
1138010600,18,60.19,2,2009,"   deposit building          road           dong
0  18000.0    백년그랑빌  연서로18길 30-12  서울특별시 은평구 대조동
1  21900.0    리치하우스  서오릉로10길 15-1  서울특별시 은평구 대조동
2  23500.0      하오빌    연서로20길 3-4  서울특별시 은평구 대조동
3  15000.0    대청쉐르빌  갈현로15길 28-13  서울특별시 은평구 구산동
4  19000.0    리안쉐르빌    역말로 161-15  서울특별시 은평구 대조동",18595
1138010300,16,52.29,5,2012,"   deposit building        road           dong
0  27000.0   해들목휴먼빌  연서로33길 8-5  서울특별시 은평구 불광동
1  27000.0   해들목휴먼빌  연서로33길 8-5  서울특별시 은평구 불광동
2  18000.0    연희하이빌   연서로38길 14  서울특별시 은평구 불광동
3  12000.0      수빌라     불광로8길 9  서울특별시 은평구 불광동
4  20000.0    거성리젠시  연서로35길 8-9  서울특별시 은평구 불광동",18019.65
