코드,평수,전용면적(㎡),층,건축년도,predicted
1138010600,16,52.97,6,2016,"   deposit  pricemon    building         road           dong
0  15000.0        28       예일홈타운      갈현로 129  서울특별시 은평구 구산동
1   5000.0        80       경성하이빌     은평로11길 4  서울특별시 은평구 응암동
2   7000.0        60  벨에어하우스(B동)  갈현로16길 14-4  서울특별시 은평구 구산동
3   7000.0        15         윤스빌    응암로 231-1  서울특별시 은평구 응암동
4   5000.0        80     O.K 팰리스   은평로4길 21-8  서울특별시 은평구 응암동"
1138010900,9,29.96,5,2017,"   deposit  pricemon  building          road           dong
0  16000.0        20  제니스빌(A동)   진흥로1길 32-15  서울특별시 은평구 역촌동
1  12000.0        10     무악팰리스  연서로10길 27-15  서울특별시 은평구 역촌동
2   1000.0        70   (24-10)   증산로21길 8-14  서울특별시 은평구 신사동
3   3000.0        65      아느칸빌   증산로15길 26-8  서울특별시 은평구 신사동
4   1000.0        70     현대아트빌   은평터널로13길 10  서울특별시 은평구 신사동"
1138010900,12,40.68,1,2002,"   deposit  pricemon       building         road           dong
0   6000.0        35   우성아트빌(31-23)  증산로19길 20-1  서울특별시 은평구 신사동
1   3000.0        50   두성쉐르빌(23-38)   증산로23길 6-4  서울특별시 은평구 신사동
2    500.0        50     미림타운(1-24)     갈현로4길 38  서울특별시 은평구 신사동
3   3000.0        50         신사서안주택   갈현로3길 35-1  서울특별시 은평구 신사동
4   5000.0        50  금호베스트빌(15-18)  갈현로1길 22-12  서울특별시 은평구 신사동"
1138010300,16,52.52,1,1996,"   deposit  pricemon     building           road           dong
0   2000.0        45     (479-46)    통일로94길 17-3  서울특별시 은평구 불광동
1   5000.0        10         낙원빌라   통일로78가길 33-8  서울특별시 은평구 불광동
2   5000.0        50  그린힐(86-118)  은평로21가길 15-14  서울특별시 은평구 녹번동
3   1000.0        50         성희빌라       통일로94길 8  서울특별시 은평구 불광동
4   1000.0        40     (117-57)     통일로 689-15  서울특별시 은평구 녹번동"
1138010900,20,65.22,3,1991,"   deposit  pricemon         building         road           dong
0   5000.0        40     삼인맨션(349-27)    증산로17가길 7  서울특별시 은평구 신사동
1  16000.0        10    에이파크빌라(1-145)   갈현로4길 26-3  서울특별시 은평구 신사동
2   2000.0        65             서안맨션      진흥로9길 8  서울특별시 은평구 역촌동
3   1000.0        40  홍암하이츠맨숀(131-22)    증산로13길 26  서울특별시 은평구 증산동
4   3500.0        55          (188-4)  증산로7길 12-19  서울특별시 은평구 증산동"
1138010800,16,51.6,2,1993,"   deposit  pricemon   building         road           dong
0  11000.0        10     현대파크빌라   은평로3길 20-6  서울특별시 은평구 역촌동
1   1500.0        65  (397-254)    응암로20길 12  서울특별시 은평구 응암동
2   2000.0        15      기린원주택   진흥로1길 13-6  서울특별시 은평구 역촌동
3  12000.0        10       영민맨숀  진흥로1길 55-35  서울특별시 은평구 역촌동
4   2000.0        45       거북빌라  연서로16길 11-6  서울특별시 은평구 역촌동"
1138010200,8,25.78,4,2019,"   deposit  pricemon       building        road           dong
0   2000.0        60            다원빌  통일로63길 1-1  서울특별시 은평구 녹번동
1   5000.0        60             예랑   통일로63길 10  서울특별시 은평구 녹번동
2   2000.0        68            수채화  녹번로7길 20-1  서울특별시 은평구 녹번동
3   3000.0        70  경인에버빌(601-11)              서울특별시 은평구 불광동
4  15000.0        25             예랑   통일로63길 10  서울특별시 은평구 녹번동"
1138011000,8,27.43,4,2018,"   deposit  pricemon building         road           dong
0   3000.0        70    더플레이스    증산로23길 10  서울특별시 은평구 신사동
1   2000.0        75    더플레이스    증산로23길 10  서울특별시 은평구 신사동
2   2000.0        65   에스엠벨리체       은평로 24  서울특별시 은평구 신사동
3   5000.0        60      조이빌     갈현로2길 19  서울특별시 은평구 신사동
4   3000.0        65     아느칸빌  증산로15길 26-8  서울특별시 은평구 신사동"
1138010200,9,29.3,6,2011,"   deposit  pricemon  building          road           dong
0   5000.0        50  연희하이빌-B동    서오릉로 64-11  서울특별시 은평구 녹번동
1   3000.0        50  연희하이빌-B동    서오릉로 64-11  서울특별시 은평구 녹번동
2   1000.0        56      승주빌딩     진흥로 122-8  서울특별시 은평구 녹번동
3   3000.0        45     다원오피스     은평로 201-6  서울특별시 은평구 녹번동
4   3000.0        55     온세파인빌  통일로66길 10-12  서울특별시 은평구 불광동"
1138010400,9,29.84,4,2011,"   deposit  pricemon       building           road           dong
0   3000.0        50          선재아트빌      갈현로 308-4  서울특별시 은평구 갈현동
1   3000.0        55  우방이지빌(110-20)   연서로27길 27-37  서울특별시 은평구 갈현동
2   1000.0        60           유니온빌   갈현로37길 16-16  서울특별시 은평구 갈현동
3     50.0        21    도곡빌(522-23)  서오릉로18길 33-10  서울특별시 은평구 갈현동
4   1000.0        40          스카이힐튼    갈현로21길 16-7  서울특별시 은평구 갈현동"
