코드,평수,전용면적(㎡),층,건축년도,predicted,predicted price
1130510300,14,46.04,2,2008,"   deposit        building          road           dong
0  11000.0      대원씨티빌라트11차    삼각산로34길 56  서울특별시 강북구 수유동
1  15000.0           대성아트빌  삼양로87가길 12-5  서울특별시 강북구 수유동
2  16000.0  화인하우스(130-143)    노해로9길 60-4  서울특별시 강북구 수유동
3  12000.0   세명그린빌(134-68)      수유로17길 3  서울특별시 강북구 수유동
4  17800.0             행루즈     도봉로97길 22  서울특별시 강북구 수유동",12530
1130510300,21,71.04,2,2003,"   deposit         building          road           dong
0  15000.0             윤진빌라  한천로166길 5-19  서울특별시 강북구 수유동
1  19200.0           은행빌라A동   수유로21길 3-10  서울특별시 강북구 수유동
2  22200.0           은행빌라A동   수유로21길 3-10  서울특별시 강북구 수유동
3  15000.0  성지그레이스빌(288-10)  삼양로123길 14-7  서울특별시 강북구 수유동
4  18000.0             삼우맨숀    삼각산로28길 26  서울특별시 강북구 수유동",17110
1130510100,7,22.65,5,2015,"   deposit       building         road           dong
0  18000.0          문이빌라트   삼양로68가길 11  서울특별시 강북구 미아동
1  17500.0  블루빌(791-1227)  삼양로63가길 7-9  서울특별시 강북구 미아동
2  17000.0         경모하늘풍경    솔매로22길 51  서울특별시 강북구 미아동
3  17000.0         경모하늘풍경    솔매로22길 51  서울특별시 강북구 미아동
4  23000.0        경일리치빌3차    솔샘로65길 57  서울특별시 강북구 미아동",17230
1130510100,18,60.21,3,2010,"   deposit       building          road           dong
0  16500.0          성우빌리지  도봉로29길 83-34  서울특별시 강북구 미아동
1  13000.0          모던하우스     솔매로22길 24  서울특별시 강북구 미아동
2  15000.0           천수빌라     삼양로 273-9  서울특별시 강북구 미아동
3  18000.0          은혜빌리지     삼양로69길 27  서울특별시 강북구 미아동
4  24000.0  삼성에코빌(762-40)    솔매로28길 7-6  서울특별시 강북구 미아동",17178
1130510300,18,58.1,3,1983,"   deposit   building           road           dong
0   9500.0       청화빌라  4.19로23길 24-9  서울특별시 강북구 수유동
1  12000.0    수유하이츠빌라  삼양로111길 18-10  서울특별시 강북구 수유동
2  12000.0       동산연립    4.19로27길 26  서울특별시 강북구 수유동
3  13000.0  (486-521)     인수봉로27길 10  서울특별시 강북구 수유동
4  15000.0    (477-0)   삼양로79길 27-14  서울특별시 강북구 수유동",11335.66667
1130510300,8,26.73,4,2018,"   deposit       building          road           dong
0  17500.0         참하우스토리    인수봉로61길 18  서울특별시 강북구 수유동
1  21200.0   예움하우스(24-13)    노해로9길 42-5  서울특별시 강북구 수유동
2  15000.0  정원팰리스(296-21)  인수봉로72길 27-1  서울특별시 강북구 수유동
3  19000.0  로민하우스(442-14)    인수봉로52길 50  서울특별시 강북구 수유동
4  22000.0           루미에르    한천로172가길 1  서울특별시 강북구 수유동",18077
1130510300,18,58,2,1996,"   deposit    building            road           dong
0  15300.0       궁전빌리지  인수봉로72가길 15-21  서울특별시 강북구 수유동
1  15000.0      성보빌라6차    삼양로88가길 12-3  서울특별시 강북구 수유동
2  15000.0  유림빌라(1-81)        수유로21길 7  서울특별시 강북구 수유동
3  14000.0      성우그린맨션    삼양로131길 5-20  서울특별시 강북구 수유동
4   9000.0   (270-114)     노해로23길 80-5  서울특별시 강북구 수유동",14925.5
1130510300,6,18.59,5,2008,"   deposit   building          road           dong
0   4500.0        다우빌  인수봉로30길 32-9  서울특별시 강북구 수유동
1   9000.0    라온드림하우스  삼양로92길 29-16  서울특별시 강북구 수유동
2   5700.0     필하우스4차   인수봉로52가길 16  서울특별시 강북구 수유동
3   4000.0  우림고시(로즈)텔     노해로35길 97  서울특별시 강북구 수유동
4   7000.0      코지하우스    한천로 1053-6  서울특별시 강북구 수유동",6484
1130510300,11,35.35,9,2016,"   deposit building        road           dong
0  20000.0    연승카운티   수유로12길 41  서울특별시 강북구 수유동
1  20000.0    연승카운티   수유로12길 41  서울특별시 강북구 수유동
2  17000.0    진영토담빌  한천로140길 84  서울특별시 강북구 수유동
3  17000.0    진영토담빌  한천로140길 84  서울특별시 강북구 수유동
4  17000.0    진영토담빌  한천로140길 84  서울특별시 강북구 수유동",19990
1130510400,12,39.46,1,1998,"   deposit     building           road           dong
0  14000.0         성환빌라     삼양로159길 27  서울특별시 강북구 우이동
1  14000.0         성환빌라     삼양로159길 27  서울특별시 강북구 우이동
2   8000.0         충무빌라  삼양로155길 15-14  서울특별시 강북구 우이동
3    500.0  한진빌라(40-8)       삼양로 640-6  서울특별시 강북구 우이동
4  12000.0         성보주택   삼양로159가길 8-5  서울특별시 강북구 우이동",9603
