코드,평,전용면적(㎡),층,건축년도,predicted
1130510300,18,59.15,1,2001,"   deposit  pricemon         building          road           dong
0   2000.0        70  동일하이츠빌라(188-15)   한천로139가길 80  서울특별시 강북구 수유동
1  11000.0        30   은진스톤하우스(29-21)    삼각산로34길 60  서울특별시 강북구 수유동
2    100.0        10          해성빌라트6차    수유로4길 42-1  서울특별시 강북구 수유동
3   3000.0        60     진주맨션(130-42)  수유로17나길 10-4  서울특별시 강북구 수유동
4   7000.0        30     대성빌라트(693-7)  노해로32길 19-21  서울특별시 강북구 수유동"
1130510300,19,62.55,4,2008,"   deposit  pricemon      building          road           dong
0   8000.0        50        가람아트빌라  4.19로11길 8-9  서울특별시 강북구 수유동
1   3000.0        40  상아주택(448-27)   삼양로87길 21-7  서울특별시 강북구 수유동
2   2000.0        65           자산빌     노해로26가길 6  서울특별시 강북구 수유동
3   3500.0        60       새울센스빌A동    삼각산로28길 33  서울특별시 강북구 수유동
4   2000.0        75        대경센트레빌     삼양로99길 13  서울특별시 강북구 수유동"
1130510200,6,19.27,3,2012,"   deposit  pricemon building        road          dong
0    800.0        54  (413-7)  한천로129길 25  서울특별시 강북구 번동
1   6900.0        11   w-vill  오패산로78길 12  서울특별시 강북구 번동
2   1500.0        40   w-vill  오패산로78길 12  서울특별시 강북구 번동
3   2000.0        35   w-vill  오패산로78길 12  서울특별시 강북구 번동
4   3000.0        25   w-vill  오패산로78길 12  서울특별시 강북구 번동"
1130510300,16,54.03,2,1995,"   deposit  pricemon building         road           dong
0   1000.0        60     희원빌라   삼양로117길 20  서울특별시 강북구 수유동
1    100.0        25    SH스카이   인수봉로23가길 3  서울특별시 강북구 수유동
2   3000.0        50     성신주택   삼각산로34길 55  서울특별시 강북구 수유동
3  12000.0        14    삼성하이츠  삼양로88가길 6-3  서울특별시 강북구 수유동
4   2000.0        35     평화빌라   노해로35길 5-5  서울특별시 강북구 수유동"
1130510300,16,53.42,2,2008,"   deposit  pricemon        building         road           dong
0   5000.0        60  화인하우스(130-143)   노해로9길 60-4  서울특별시 강북구 수유동
1   4000.0        60     설악빌라(8-109)  노해로9길 37-10  서울특별시 강북구 수유동
2   3000.0        70    수유빌라(527-44)   인수봉로 249-3  서울특별시 강북구 수유동
3    500.0        55           대창그린빌    삼양로87길 43  서울특별시 강북구 수유동
4   4500.0        62       은진스톤하우스B동  노해로8가길 36-6  서울특별시 강북구 수유동"
1130510100,11,37.86,2,2008,"   deposit  pricemon           building          road           dong
0    500.0        45             오페라하우스     솔매로6길 7-4  서울특별시 강북구 미아동
1   3000.0        20  새천년빌라1차(791-1923)    인수봉로12길 30  서울특별시 강북구 미아동
2   1500.0        20             오페라하우스     솔매로6길 7-4  서울특별시 강북구 미아동
3   2000.0        35   새창조빌리지(791-1732)      솔매로6길 17  서울특별시 강북구 미아동
4   8000.0        20        성신쉐르빌9차(A동)  인수봉로12길 11-7  서울특별시 강북구 미아동"
1130510300,15,49.86,2,2008,"   deposit  pricemon        building         road           dong
0    500.0        55           대창그린빌    삼양로87길 43  서울특별시 강북구 수유동
1   4000.0        60     설악빌라(8-109)  노해로9길 37-10  서울특별시 강북구 수유동
2   1000.0        55    은진하이빌(305-1)   삼양로117길 55  서울특별시 강북구 수유동
3   5000.0        60  화인하우스(130-143)   노해로9길 60-4  서울특별시 강북구 수유동
4   3000.0        70    수유빌라(527-44)   인수봉로 249-3  서울특별시 강북구 수유동"
1130510100,21,69.65,5,2002,"   deposit  pricemon          building        road           dong
0   3000.0        20  삼성하이츠빌(1261-316)   삼양로16길 28  서울특별시 강북구 미아동
1   4000.0        60              래미안빌    삼양로47길 6  서울특별시 강북구 미아동
2   4500.0        40            서보빌라1차  인수봉로17길 18  서울특별시 강북구 미아동
3   3000.0        50             경남빌라B  오패산로30길 74  서울특별시 강북구 미아동
4  13000.0        40        고탑베스트빌101동  도봉로20가길 36  서울특별시 강북구 미아동"
1130510300,10,32.2,4,2010,"   deposit  pricemon       building          road           dong
0    600.0        20  위하우스(410-121)     인수봉로64길 5  서울특별시 강북구 수유동
1  10000.0        35         삼각산드림빌      인수봉로 239  서울특별시 강북구 수유동
2   1000.0        50          애플하우징     삼양로 369-3  서울특별시 강북구 수유동
3   3000.0        30            미성빌  인수봉로68길 15-8  서울특별시 강북구 수유동
4   6000.0        40   동일씨티빌(48-44)     수유로12길 19  서울특별시 강북구 수유동"
1130510300,17,56.46,1,2002,"   deposit  pricemon         building          road           dong
0  11000.0        30   은진스톤하우스(29-21)    삼각산로34길 60  서울특별시 강북구 수유동
1    100.0        10          해성빌라트6차    수유로4길 42-1  서울특별시 강북구 수유동
2   2000.0        70  동일하이츠빌라(188-15)   한천로139가길 80  서울특별시 강북구 수유동
3   3000.0        60     진주맨션(130-42)  수유로17나길 10-4  서울특별시 강북구 수유동
4   7000.0        30     대성빌라트(693-7)  노해로32길 19-21  서울특별시 강북구 수유동"
1130510100,10,32.44,6,2018,"   deposit  pricemon     building        road           dong
0   3534.0        26        시온그린빌    삼양로53길 3  서울특별시 강북구 미아동
1   1500.0        65          가온빌   삼양로51길 38  서울특별시 강북구 미아동
2   1000.0        40      나루아이빌2차   삼양로63가길 4  서울특별시 강북구 미아동
3    300.0        20         탑클래스  삼양로38라길 27  서울특별시 강북구 미아동
4   4000.0        60  유화빌(301-11)    솔매로40길 6  서울특별시 강북구 미아동"
1130510100,19,64.03,3,2006,"   deposit  pricemon building        road           dong
0   3000.0        50     세명캐슬  인수봉로6가길 13  서울특별시 강북구 미아동
1   3000.0        70  이노시티빌2차  삼양로67길 3-4  서울특별시 강북구 미아동
2  12000.0        30     세영빌라   도봉로49길 79  서울특별시 강북구 미아동
3   4000.0        60    동북아트빌    솔샘로47길 9  서울특별시 강북구 미아동
4   2000.0        50  양정빌라트8차   인수봉로8길 35  서울특별시 강북구 미아동"
1130510300,20,64.66,5,2002,"   deposit  pricemon      building           road           dong
0   3500.0        60       새울센스빌A동     삼각산로28길 33  서울특별시 강북구 수유동
1   8000.0        50        가람아트빌라   4.19로11길 8-9  서울특별시 강북구 수유동
2   3000.0        60         한신빌라트  한천로140길 11-25  서울특별시 강북구 수유동
3   3000.0        40  상아주택(448-27)    삼양로87길 21-7  서울특별시 강북구 수유동
4   2000.0        65           자산빌      노해로26가길 6  서울특별시 강북구 수유동"
1130510300,13,43.42,1,1996,"   deposit  pricemon    building          road           dong
0    500.0        30        삼호맨션  삼양로131길 5-19  서울특별시 강북구 수유동
1   1000.0        46        삼원맨션  인수봉로61길 38-9  서울특별시 강북구 수유동
2   1000.0        30      동아아트빌라   인수봉로55나길 20  서울특별시 강북구 수유동
3   2000.0        40  백운골든빌라(가동)    삼양로111길 27  서울특별시 강북구 수유동
4   2000.0        45     세윤하이츠빌라      수유로13길 8  서울특별시 강북구 수유동"
1130510300,15,50.85,5,2012,"   deposit  pricemon      building         road           dong
0   3000.0        60  은행빌라(166-66)  도봉로99길 72-6  서울특별시 강북구 수유동
1   3000.0        60  정원드림타운(103동)      삼양로 392  서울특별시 강북구 수유동
2   5000.0        30  양지그린빌(714-1)   노해로33나길 20  서울특별시 강북구 수유동
3   5000.0        50        힐탑하우스2    노해로27길 30  서울특별시 강북구 수유동
4   1000.0        45      (410-60)  인수봉로61길 6-9  서울특별시 강북구 수유동"
1130510200,17,55.79,3,2001,"   deposit  pricemon       building         road          dong
0   1000.0        65           동일맨션   덕릉로 125-12  서울특별시 강북구 번동
1   5000.0        50          영진칸타빌   덕릉로40나길 14  서울특별시 강북구 번동
2   2000.0        58  한솔그랑빌(415-39)  오패산로74길 6-4  서울특별시 강북구 번동
3   1000.0        50        성원하이츠F동    도봉로96길 70  서울특별시 강북구 번동
4  13000.0        15        참하우스스토리   한천로130길 35  서울특별시 강북구 번동"
1130510200,8,27.54,1,1993,"   deposit  pricemon building           road          dong
0    500.0        35  (349-3)  오현로31길 113-10  서울특별시 강북구 번동
1    500.0        35  (349-3)  오현로31길 113-10  서울특별시 강북구 번동
2   1000.0        30     광성주택     오현로25다길 68  서울특별시 강북구 번동
3    500.0        30     백합빌라     오현로25나길 20  서울특별시 강북구 번동
4   1000.0        40   한전빌라B동   한천로109길 57-8  서울특별시 강북구 번동"
