코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1174010700,9,30,3,2019,"   deposit building         road           dong
0  26500.0    한솔아트빌       고덕로 70  서울특별시 강동구 암사동
1  23000.0   제이디파크빌    상암로21길 64  서울특별시 강동구 암사동
2  23000.0   제이디파크빌    상암로21길 64  서울특별시 강동구 암사동
3  23000.0    암사팰리스  상암로23길 7-11  서울특별시 강동구 암사동
4  23000.0   제이디파크빌    상암로21길 64  서울특별시 강동구 암사동",24140
1174010800,22,74.34,2,2001,"   deposit  building         road           dong
0  25000.0      뉴삼성빌     성안로3길 49  서울특별시 강동구 성내동
1  25000.0      뉴삼성빌     성안로3길 49  서울특별시 강동구 성내동
2  32000.0   베네스트빌리지  천호대로174길 15  서울특별시 강동구 성내동
3  15000.0  (446-32)   양재대로85길 69  서울특별시 강동구 성내동
4  25000.0     우경아트빌     성안로3길 89  서울특별시 강동구 성내동",24390
1174010900,8,25.92,6,2012,"   deposit     building          road           dong
0  19000.0      드림하우스강변      천중로5길 28  서울특별시 강동구 천호동
1  23000.0        한영아르떼   천중로39길 72-7  서울특별시 강동구 천호동
2  26000.0        신주리버빌    구천면로64길 18  서울특별시 강동구 천호동
3  25000.0  아이빌(303-25)   천중로17길 42-3  서울특별시 강동구 천호동
4  20500.0         다솜마을  구천면로41길 19-5  서울특별시 강동구 천호동",18441.5
1174010800,18,60.09,2,2007,"   deposit  building            road           dong
0  23700.0       에코뷰    성내로14길 42-26  서울특별시 강동구 성내동
1  22000.0  (387-52)     천호대로176길 47  서울특별시 강동구 성내동
2  17000.0   (208-2)  천호대로168라길 25-1  서울특별시 강동구 성내동
3  21000.0     계영리버빌   천호대로174길 42-1  서울특별시 강동구 성내동
4  25000.0       퀸스빌  천호대로162가길 10-7  서울특별시 강동구 성내동",23071
1174010900,9,28.82,4,2018,"   deposit        building          road           dong
0  21500.0             지혜빌   구천면로64길 9-9  서울특별시 강동구 천호동
1  24000.0  금강블루빌(167-108)   성안로27길 63-9  서울특별시 강동구 천호동
2  24500.0        광나루에스엠파크  올림픽로81길 6-10  서울특별시 강동구 천호동
3  24000.0  금강블루빌(167-108)   성안로27길 63-9  서울특별시 강동구 천호동
4  24000.0  금강블루빌(167-108)   성안로27길 63-9  서울특별시 강동구 천호동",22109.5
1174010900,19,63.58,3,2003,"   deposit  building            road           dong
0  25000.0    (50-4)     양재대로123길 15  서울특별시 강동구 천호동
1  23500.0       레오빌  양재대로121길 49-11  서울특별시 강동구 천호동
2  20000.0  (292-16)       천중로23길 61  서울특별시 강동구 천호동
3  25000.0    (50-4)     양재대로123길 15  서울특별시 강동구 천호동
4  17000.0     유진하이츠     진황도로27라길 19  서울특별시 강동구 천호동",22230
1174010700,9,28.41,3,2018,"   deposit  building         road           dong
0  19000.0     케이집쎄븐      암사길 108  서울특별시 강동구 암사동
1  18000.0     한승리치빌  구천면로57길 5-1  서울특별시 강동구 암사동
2  17000.0  작은도시 노마드   올림픽로98길 43  서울특별시 강동구 암사동
3  18000.0     신주리버빌    암사길 83-19  서울특별시 강동구 암사동
4  18000.0     신주리버빌    암사길 83-19  서울특별시 강동구 암사동",18403
1174010500,14,46.08,2,1986,"   deposit  building         road           dong
0  17000.0      동성타운    천중로52길 19   서울특별시 강동구 길동
1  15400.0   삼경주택 나동  양재대로100길 26  서울특별시 강동구 둔촌동
2  14000.0  재경빌라(나동)  양재대로117길 31   서울특별시 강동구 길동
3  17000.0  동산주택(A동)  천호대로186길 35  서울특별시 강동구 둔촌동
4  13000.0  재경빌라(가동)    천중로40길 19   서울특별시 강동구 길동",13324.5
1174010900,12,39.47,3,2018,"   deposit      building          road           dong
0  28500.0  신주리버빌(223-4)  구천면로42길 27-1  서울특별시 강동구 천호동
1  28000.0  신주리버빌(223-4)  구천면로42길 27-1  서울특별시 강동구 천호동
2  27000.0          수연주택  천중로12길 23-30  서울특별시 강동구 천호동
3  25000.0         월드하우스   양재대로125길 57  서울특별시 강동구 천호동
4  26000.0         기억나는집   구천면로11길 6-7  서울특별시 강동구 천호동",28120
1174010700,18,60.48,2,2017,"   deposit       building       road           dong
0  23000.0  리츠하우스(421-67)   암사길 86-8  서울특별시 강동구 암사동
1  19900.0           구성 빌  상암로23길 43  서울특별시 강동구 암사동
2  22000.0          하우스케이    상암로 8-9  서울특별시 강동구 암사동
3  22000.0          하우스케이    상암로 8-9  서울특별시 강동구 암사동
4  25000.0          483-6  상암로21길 47  서울특별시 강동구 암사동",23854.65
1174010800,14,46.33,4,2003,"   deposit building           road           dong
0  17000.0     형은빌딩       성안로3길 27  서울특별시 강동구 성내동
1  20000.0     가람빌딩  올림픽로48길 23-12  서울특별시 강동구 성내동
2  17000.0     형은빌딩       성안로3길 27  서울특별시 강동구 성내동
3  19000.0     스카이빌      성내로6나길 11  서울특별시 강동구 성내동
4  19100.0     스카이빌      성내로6나길 11  서울특별시 강동구 성내동",18227.25
1174010900,9,29.96,6,2014,"   deposit building          road           dong
0  23000.0    한영아르떼   천중로39길 72-7  서울특별시 강동구 천호동
1  26000.0    신주리버빌    구천면로64길 18  서울특별시 강동구 천호동
2  19000.0  드림하우스강변      천중로5길 28  서울특별시 강동구 천호동
3  20500.0    행복한 집  천중로21길 37-18  서울특별시 강동구 천호동
4  26500.0    아성뜨란채    구천면로17길 43  서울특별시 강동구 천호동",19200
1174010900,13,43.01,2,2016,"   deposit  building         road           dong
0  20000.0   주건축물제1동   구천면로17길 37  서울특별시 강동구 천호동
1  19000.0     노블하우스  상암로27가길 5-8  서울특별시 강동구 천호동
2  21500.0  (337-88)       선사로 56  서울특별시 강동구 천호동
3  26000.0     H 펠리체  구천면로42길 101  서울특별시 강동구 천호동
4  25500.0     H 펠리체  구천면로42길 101  서울특별시 강동구 천호동",20591.16333
1174010800,7,24.79,3,2002,"   deposit  building         road           dong
0  10000.0     동명그린빌    성내로6나길 17  서울특별시 강동구 성내동
1   9000.0  (434-25)     성내로17길 6  서울특별시 강동구 성내동
2  12000.0      벨루스빌   성내로6가길 105  서울특별시 강동구 성내동
3  10500.0     동명그린빌    성내로6나길 17  서울특별시 강동구 성내동
4  10000.0   (515-3)  성안로13길 21-9  서울특별시 강동구 성내동",9715
1174010900,9,29.85,10,2019,"   deposit        building            road           dong
0  28000.0     성우스타팰리스(6차)       성안로25길 21  서울특별시 강동구 천호동
1  28000.0     성우스타팰리스(6차)       성안로25길 21  서울특별시 강동구 천호동
2  21500.0  예건네스빌(167-175)      진황도로29길 23  서울특별시 강동구 천호동
3   5000.0        마루지움 에비뉴  천호대로161길 15-11  서울특별시 강동구 천호동
4  23500.0         성우스타팰리스    진황도로31길 14-6  서울특별시 강동구 천호동",26195
1174010800,4,14.39,4,2011,"   deposit building            road           dong
0   9000.0     아인스빌       성안로13길 59  서울특별시 강동구 성내동
1  10000.0  (201-0)     천호대로168길 41  서울특별시 강동구 성내동
2  12000.0      행복빌  천호대로168길 41-27  서울특별시 강동구 성내동
3   9000.0   드림빌하우스        성안로3길 85  서울특별시 강동구 성내동
4  14500.0      쉐르빌  천호대로176길 10-21  서울특별시 강동구 성내동",9539.666667
1174010700,6,20.37,5,2017,"   deposit       building       road           dong
0  20000.0  한솔아트빌(493-29)   암사길 34-1  서울특별시 강동구 암사동
1  20000.0  한솔아트빌(493-29)   암사길 34-1  서울특별시 강동구 암사동
2  15800.0      에벤에셀나래하우스   상암로6길 48  서울특별시 강동구 암사동
3  20000.0       (445-17)  고덕로23길 37  서울특별시 강동구 암사동
4  19000.0       (445-17)  고덕로23길 37  서울특별시 강동구 암사동",18304.33333
1174010900,5,17.05,9,2018,"   deposit       building           road           dong
0  18000.0  다성이즈빌(167-97)   성안로27길 57-18  서울특별시 강동구 천호동
1  18700.0         166-59  진황도로27가길 6-21  서울특별시 강동구 천호동
2  18700.0         166-59  진황도로27가길 6-21  서울특별시 강동구 천호동
3  23500.0        현일 디와이디      진황도로 53-3  서울특별시 강동구 천호동
4  12000.0           더존캐슬     진황도로29길 27  서울특별시 강동구 천호동",17484.81333
1174010600,15,50.44,3,2016,"   deposit building           road           dong
0  26500.0     지하우스        명일로 128  서울특별시 강동구 둔촌동
1  28000.0   이한트레비엥    천호대로188길 35  서울특별시 강동구 둔촌동
2  23000.0     진주캐슬      명일로 145-6  서울특별시 강동구 둔촌동
3  33000.0   금강트레조빌  양재대로100길 13-8  서울특별시 강동구 둔촌동
4  29500.0    삼성아트빌   양재대로102가길 41  서울특별시 강동구 둔촌동",27510.2
1174010900,10,34.11,4,2013,"   deposit        building       road           dong
0  23500.0  삼성베스트빌(321-69)   상암로4길 80  서울특별시 강동구 천호동
1  24000.0             런던빌    천중로 132  서울특별시 강동구 천호동
2  23500.0           312-3  천중로11길 48  서울특별시 강동구 천호동
3  18000.0            나래주택  천중로15길 42  서울특별시 강동구 천호동
4  18500.0       신안아트빌(C동)   천중로 11-5  서울특별시 강동구 천호동",21061
1174010800,22,73.7,4,2001,"   deposit building          road           dong
0  25000.0     스카이빌     성내로6나길 11  서울특별시 강동구 성내동
1  31000.0    그리미아빌    성내로6가길 112  서울특별시 강동구 성내동
2  24000.0     플러스빌     성내로6다길 92  서울특별시 강동구 성내동
3  33000.0    건양빌라트    양재대로83길 58  서울특별시 강동구 성내동
4  25000.0       세원  성내로14길 42-32  서울특별시 강동구 성내동",23725.5
1174010700,8,25.45,6,2017,"   deposit       building        road           dong
0  21000.0         광장그랜드빌   상암로 73-14  서울특별시 강동구 암사동
1  21000.0          신주리버빌  구천면로47길 50  서울특별시 강동구 암사동
2  23300.0         도원 하늘채  상암로5길 42-1  서울특별시 강동구 암사동
3  20000.0  한솔아트빌(493-29)    암사길 34-1  서울특별시 강동구 암사동
4  19000.0       (445-17)   고덕로23길 37  서울특별시 강동구 암사동",20536.2381
1174010700,19,63.41,4,2002,"   deposit building          road           dong
0  22000.0    유성아트빌      고덕로8길 17  서울특별시 강동구 암사동
1  24000.0    삼화빌라트   올림픽로98가길 16  서울특별시 강동구 암사동
2  21000.0     동서빌라     상암로21길 13  서울특별시 강동구 암사동
3  22000.0      미래빌   올림픽로100길 46  서울특별시 강동구 암사동
4  24000.0    명성빌리지  풍성로61길 36-15  서울특별시 강동구 둔촌동",22235.83333
1174010500,21,68.26,1,1992,"   deposit     building         road          dong
0  25000.0         유신빌라  천중로48길 9-10  서울특별시 강동구 길동
1  26000.0         유신빌라  천중로48길 9-10  서울특별시 강동구 길동
2  20000.0  세일스위트빌라(가동)  양재대로126길 25  서울특별시 강동구 길동
3  20000.0  세일스위트빌라(가동)  양재대로126길 25  서울특별시 강동구 길동
4  23000.0       뉴한양빌리지  천호대로193길 50  서울특별시 강동구 길동",22288
1174010700,9,28.31,5,2016,"   deposit building          road           dong
0  25000.0    제이빌더스        암사길 50  서울특별시 강동구 암사동
1  25000.0    제이빌더스        암사길 50  서울특별시 강동구 암사동
2  24000.0   드림팰리스.      고덕로8길 65  서울특별시 강동구 암사동
3  25000.0    제이빌더스        암사길 50  서울특별시 강동구 암사동
4  18500.0   다성 이즈빌  고덕로20길 14-10  서울특별시 강동구 암사동",24642
1174010900,12,41.03,3,2012,"   deposit      building       road           dong
0  25000.0         예건네스빌     천중로 71  서울특별시 강동구 천호동
1  25000.0         예건네스빌     천중로 71  서울특별시 강동구 천호동
2  25000.0  신주리버빌(324-4)   상암로4길 95  서울특별시 강동구 천호동
3  16270.0     신안아트빌(A동)   천중로 7-10  서울특별시 강동구 천호동
4  17500.0         파인힐스빌  상암로16길 35  서울특별시 강동구 천호동",20000.5
1174010600,14,46.84,4,2016,"   deposit  building           road           dong
0  26000.0  명문아이빌3단지    진황도로 215-16  서울특별시 강동구 둔촌동
1  26000.0   세인트 팰리스     명일로 157-13  서울특별시 강동구 둔촌동
2  29000.0  명문아이빌2단지    진황도로 215-10  서울특별시 강동구 둔촌동
3  25000.0    네모 하우스        명일로 124  서울특별시 강동구 둔촌동
4  29000.0     한승리치빌  양재대로98길 43-20  서울특별시 강동구 둔촌동",26895
1174010800,16,53.18,4,2018,"   deposit building         road           dong
0  31000.0    선희하우스  양재대로99길 4-9  서울특별시 강동구 성내동
1  28000.0      라온빌  성내로13길 33-4  서울특별시 강동구 성내동
2  26500.0   라이프팰리스     성안로3길 83  서울특별시 강동구 성내동
3  18000.0   403-11    풍성로55길 32  서울특별시 강동구 성내동
4  21500.0   403-11    풍성로55길 32  서울특별시 강동구 성내동",34120
1174010700,11,37.16,5,2007,"   deposit       building           road           dong
0  20000.0  현진빌리지(473-29)     고덕로20라길 16  서울특별시 강동구 암사동
1  11500.0          토호빌라3  구천면로47가길 14-7  서울특별시 강동구 암사동
2  17000.0  현진빌리지(474-16)     고덕로24나길 20  서울특별시 강동구 암사동
3  21000.0        (465-0)      고덕로10길 31  서울특별시 강동구 암사동
4  15000.0       (495-88)      상암로15길 31  서울특별시 강동구 암사동",17198
1174010700,11,35.59,4,2015,"   deposit building          road           dong
0  22500.0    하우징허브  고덕로27길 33-12  서울특별시 강동구 암사동
1  22000.0    하우징허브  고덕로27길 33-20  서울특별시 강동구 암사동
2  21000.0    신원팰리스    올림픽로98길 57  서울특별시 강동구 암사동
3  26000.0      리치빌      암사18길 31  서울특별시 강동구 암사동
4  25000.0    우미건축2    고덕로20가길 20  서울특별시 강동구 암사동",23205
1174010900,9,29.4,4,2018,"   deposit        building          road           dong
0  24500.0        광나루에스엠파크  올림픽로81길 6-10  서울특별시 강동구 천호동
1  21500.0             지혜빌   구천면로64길 9-9  서울특별시 강동구 천호동
2  24000.0  금강블루빌(167-108)   성안로27길 63-9  서울특별시 강동구 천호동
3  24000.0  금강블루빌(167-108)   성안로27길 63-9  서울특별시 강동구 천호동
4  24000.0  금강블루빌(167-108)   성안로27길 63-9  서울특별시 강동구 천호동",23740.83333
1174010700,16,52.66,3,2014,"   deposit building       road           dong
0  22000.0    하우스케이    상암로 8-9  서울특별시 강동구 암사동
1  20000.0    다정아트빌    암사5길 25  서울특별시 강동구 암사동
2  25000.0    483-6  상암로21길 47  서울특별시 강동구 암사동
3  25000.0    483-6  상암로21길 47  서울특별시 강동구 암사동
4  28000.0    행복한 집  아리수로 46-6  서울특별시 강동구 암사동",23666.88333
1174010800,8,26.32,3,2019,"   deposit building           road           dong
0  15000.0    행복한 집  양재대로99길 26-10  서울특별시 강동구 성내동
1  23500.0    라온하늘채       성내로6가길 9  서울특별시 강동구 성내동
2  20000.0    강남팰리스       풍성로41길 6  서울특별시 강동구 성내동
3  26000.0   광장그랜드빌       성안로3길 65  서울특별시 강동구 성내동
4  16000.0   432에비뉴   양재대로87길 58-8  서울특별시 강동구 성내동",16130
1174010900,9,29.86,5,2016,"   deposit  building          road           dong
0  20000.0   (132-2)     천중로32길 16  서울특별시 강동구 천호동
1  20500.0   동하에코빌3차    올림픽로83길 28  서울특별시 강동구 천호동
2  22000.0     미래위너스       상암로 156  서울특별시 강동구 천호동
3  18900.0  (337-85)  선사로10길 14-14  서울특별시 강동구 천호동
4  18880.0  (337-85)  선사로10길 14-14  서울특별시 강동구 천호동",20701.25
