코드,평,전용면적(㎡),층,건축년도,predicted
1174010800,9,29.93,4,2014,"   deposit  pricemon      building           road           dong
0   5000.0        70           태영빌       성안로3길 80  서울특별시 강동구 성내동
1   2000.0        70         삼정하우스   천호대로 1138-22  서울특별시 강동구 성내동
2  26000.0         5       (432-2)    양재대로91나길 49  서울특별시 강동구 성내동
3   3000.0        60           도담빌  양재대로103길 48-4  서울특별시 강동구 성내동
4   7000.0        40  성내 Best Vill   올림픽로48길 31-9  서울특별시 강동구 성내동"
1174010800,11,35.01,1,1987,"   deposit  pricemon       building           road           dong
0   2000.0        40       (285-19)      풍성로37길 31  서울특별시 강동구 성내동
1  11000.0        10       (408-21)     풍성로 175-12  서울특별시 강동구 성내동
2   3000.0        50          다세대주택  천호대로162길 42-7  서울특별시 강동구 성내동
3   2000.0        60  현대타운다동(449-7)        아리수로 74  서울특별시 강동구 암사동
4   3000.0        50           선도빌라     올림픽로79길 56  서울특별시 강동구 천호동"
1174010500,9,29.02,2,2015,"   deposit  pricemon building           road          dong
0   5000.0        55  (364-7)    천중로50길 50-1  서울특별시 강동구 길동
1  12000.0        40    한강하이빌      천중로53길 44  서울특별시 강동구 길동
2   2057.0        27     로하스빌      천중로56길 59  서울특별시 강동구 길동
3  18000.0        25     샘아트빌  천호대로187길 73-5  서울특별시 강동구 길동
4   8000.0        30  (104-8)      명일로 221-4  서울특별시 강동구 길동"
1174010700,8,28.03,4,2014,"   deposit  pricemon  building       road           dong
0   2000.0        70     강남리치빌  상암로4가길 16  서울특별시 강동구 암사동
1  10000.0        40      진영빌라   상암로 8-18  서울특별시 강동구 암사동
2   3000.0        55  (490-15)  상암로 79-12  서울특별시 강동구 암사동
3   9000.0        40     조은아트빌   고덕로8길 38  서울특별시 강동구 암사동
4   9000.0        40     조은아트빌   고덕로8길 38  서울특별시 강동구 암사동"
1174010900,5,16.95,10,2017,"   deposit  pricemon building           road           dong
0  14500.0         3    드림하우스  천호대로161길 15-6  서울특별시 강동구 천호동
1   1000.0        65   다성 이즈빌      성안로25길 64  서울특별시 강동구 천호동
2    500.0        48   다성 이즈빌      성안로25길 29  서울특별시 강동구 천호동
3   3000.0        40  성우스타팰리스  진황도로31길 14-10  서울특별시 강동구 천호동
4   1500.0        80  성우스타팰리스   진황도로31길 14-6  서울특별시 강동구 천호동"
1174010200,17,54.81,-1,1987,"   deposit  pricemon building           road           dong
0   4000.0        35  (306-1)  천호대로219가길 5-9  서울특별시 강동구 상일동
1   8000.0        25  (454-1)      상암로81길 54  서울특별시 강동구 상일동
2   5000.0        20  (542-2)       아리수로 232  서울특별시 강동구 고덕동
3   9000.0        15  (642-3)      동남로83길 59  서울특별시 강동구 고덕동
4  10000.0        14  (631-4)  아리수로64길 16-11  서울특별시 강동구 고덕동"
1174010800,10,33.06,5,2006,"   deposit  pricemon     building         road           dong
0    700.0        62     (405-38)   양재대로97길 49  서울특별시 강동구 성내동
1  13500.0         5       메이저빌3차  천호대로174길 29  서울특별시 강동구 성내동
2   6000.0        38  메이저빌(386-8)  양재대로101길 59  서울특별시 강동구 성내동
3   1000.0        50         태양빌딩    성내로18길 37  서울특별시 강동구 성내동
4   1000.0        50  굿모닝빌(387-8)  양재대로101길 23  서울특별시 강동구 성내동"
1174010800,14,47.54,2,2000,"   deposit  pricemon     building           road           dong
0  10000.0        40         건흥주택  강동대로53길 57-16  서울특별시 강동구 성내동
1   1500.0        62        아이파크빌     양재대로83길 62  서울특별시 강동구 성내동
2  15000.0        25     (420-18)       성안로 69-1  서울특별시 강동구 성내동
3   3000.0        50  성내동(435-15)     양재대로85길 86  서울특별시 강동구 성내동
4   1500.0        50         프라임빌      풍성로38길 37  서울특별시 강동구 성내동"
1174010700,12,39.92,-1,1993,"   deposit  pricemon       building           road           dong
0   6000.0        20           상신주택  천호대로186길 23-3  서울특별시 강동구 둔촌동
1   8000.0        10           우신빌라  구천면로53길 36-13  서울특별시 강동구 암사동
2   3000.0        35       (467-40)       선사로6길 16  서울특별시 강동구 천호동
3   2000.0        60  현대타운다동(449-7)        아리수로 74  서울특별시 강동구 암사동
4   2000.0        70         현대빌라3동       암사1가길 42  서울특별시 강동구 암사동"
1174010800,10,32.94,5,2013,"   deposit  pricemon     building         road           dong
0   3000.0        58       드림하우스빌  풍성로35길 55-5  서울특별시 강동구 성내동
1   1000.0        70      (523-3)  성내로13길 49-8  서울특별시 강동구 성내동
2   2000.0        45     (528-12)   성안로9길 26-8  서울특별시 강동구 성내동
3   1000.0        50          버치빌   성안로9길 26-6  서울특별시 강동구 성내동
4   1000.0        50  굿모닝빌(387-8)  양재대로101길 23  서울특별시 강동구 성내동"
1174010700,6,19.525,3,2010,"   deposit  pricemon   building        road           dong
0   2000.0        37      스카이 빌  올림픽로93길 46  서울특별시 강동구 암사동
1   2000.0        40      스카이 빌  올림픽로93길 46  서울특별시 강동구 암사동
2   3000.0        40       라온누리     암사1길 15  서울특별시 강동구 암사동
3   7000.0        28  D&G HOUSE      암사길 38  서울특별시 강동구 암사동
4   6000.0        20      서국빌리지    상암로6길 14  서울특별시 강동구 암사동"
1174010900,9,29.76,2,2012,"   deposit  pricemon  building          road           dong
0   5000.0        52   (39-13)     상암로 160-1  서울특별시 강동구 천호동
1   1000.0        67     동광아트빌     상암로12길 37  서울특별시 강동구 천호동
2  15000.0         3   (29-31)   구천면로68나길 11  서울특별시 강동구 천호동
3  13000.0         5  Eco Vill  양재대로131가길 20  서울특별시 강동구 천호동
4   3138.0        13    혜담하우스1   구천면로62가길 17  서울특별시 강동구 천호동"
1174010800,5,16.5,4,2013,"   deposit  pricemon building          road           dong
0   1000.0        50   드림빌하우스      성안로3길 85  서울특별시 강동구 성내동
1   4000.0        55  (413-2)  양재대로95길 15-6  서울특별시 강동구 성내동
2   5000.0        30    성일그린빌    성안로9길 50-5  서울특별시 강동구 성내동
3   2000.0        49   (83-1)    올림픽로62길 34  서울특별시 강동구 성내동
4   2000.0        40      충암빌     성내로17길 26  서울특별시 강동구 성내동"
