코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1150010300,13,43.84,4,2001,"   deposit         building           road           dong
0  14000.0  경우하이츠맨션(398-16)   강서로18다길 16-6  서울특별시 강서구 화곡동
1   9000.0             한백빌라     까치산로10길 63  서울특별시 강서구 화곡동
2  10000.0   화성빌라30차(55-26)   초록마을로8길 18-3  서울특별시 강서구 화곡동
3  12000.0           강서그린빌라  초록마을로30길 7-11  서울특별시 강서구 화곡동
4  12000.0  살렘하우스6차(56-536)     초록마을로18길 2  서울특별시 강서구 화곡동",12924
1150010300,8,26.32,5,2018,"   deposit building           road           dong
0  21500.0    에이엔캐슬     곰달래로17길 30  서울특별시 강서구 화곡동
1  17900.0    더존퍼스트  초록마을로26길 15-1  서울특별시 강서구 화곡동
2  20900.0    로빈하우스   등촌로13길 36-13  서울특별시 강서구 화곡동
3  20400.0      더누림     화곡로13나길 17  서울특별시 강서구 화곡동
4  20400.0      더누림     화곡로13나길 17  서울특별시 강서구 화곡동",20224
1150010300,9,29.23,2,2018,"   deposit       building          road           dong
0  27500.0   폴라비엘(1038-4)   강서로45다길 105  서울특별시 강서구 화곡동
1  20900.0  미성하르딘(1102-5)    우장산로 109-1  서울특별시 강서구 화곡동
2  22800.0         에스엠파크빌     강서로29길 17  서울특별시 강서구 화곡동
3  19900.0           더뉴리빙  곰달래로57길 63-6  서울특별시 강서구 화곡동
4  22000.0           더클래식  강서로35길 26-15  서울특별시 강서구 화곡동",25236
1150010300,13,42.53,2,2002,"   deposit      building             road           dong
0  12000.0     화성홈타운104동      초록마을로10길 42  서울특별시 강서구 화곡동
1  15500.0  동남주택(868-48)      등촌로13바길 101  서울특별시 강서구 화곡동
2  10500.0     화성홈타운101동      초록마을로10길 50  서울특별시 강서구 화곡동
3  18500.0       보신쉐르빌A동        강서로35길 64  서울특별시 강서구 화곡동
4  15000.0        승현베스트빌  가로공원로76가길 67-11  서울특별시 강서구 화곡동",12898
1150010900,12,40.95,3,2010,"   deposit          building        road           dong
0  13000.0  유진빌리지안1차(592-34)   금낭화로7길 28  서울특별시 강서구 방화동
1  14000.0                동광   양천로20가길 4  서울특별시 강서구 방화동
2  24000.0             동서그린뷰   양천로30길 92  서울특별시 강서구 방화동
3  18500.0               지오빌  방화대로40길 42  서울특별시 강서구 방화동
4  17000.0      한울뜨란채(22-69)   공항대로5길 11  서울특별시 강서구 공항동",14441
1150010300,11,35.76,4,2017,"   deposit        building          road           dong
0  23000.0           남성아트빌    화곡로13가길 29  서울특별시 강서구 화곡동
1  22000.0           신흥뜨란채   강서로26길 5-21  서울특별시 강서구 화곡동
2  22000.0           신흥뜨란채   강서로26길 5-21  서울특별시 강서구 화곡동
3  25000.0   경민아트빌(393-21)  강서로18길 44-18  서울특별시 강서구 화곡동
4  29400.0  M펠리체(103,104동)    곰달래로51길 28  서울특별시 강서구 화곡동",22707.78571
1150010200,13,43.05,2,2014,"   deposit     building           road           dong
0  23000.0  유레카(654-80)   공항대로49길 5-12  서울특별시 강서구 등촌동
1  23500.0        고센아트빌     공항대로53나길 9  서울특별시 강서구 등촌동
2  27500.0       가나아델리움     화곡로66길 132  서울특별시 강서구 등촌동
3  25500.0         포베르빌  등촌로13나길 16-16  서울특별시 강서구 등촌동
4  19000.0           유성    공항대로58가길 27  서울특별시 강서구 등촌동",22597
1150010800,9,29.42,3,2017,"   deposit  building           road           dong
0  17850.0   삼익마곡스테이   남부순환로11길 101  서울특별시 강서구 공항동
1  17000.0    DH 팰리스  방화대로7나길 32-12  서울특별시 강서구 공항동
2  17000.0    DH 팰리스  방화대로7나길 32-12  서울특별시 강서구 공항동
3  10000.0    배경스카이빌    공항대로10가길 11  서울특별시 강서구 공항동
4  17000.0  J.K VILL  방화대로5다길 28-12  서울특별시 강서구 공항동",17662.66667
1150010300,23,75.82,3,2001,"   deposit building         road           dong
0  22000.0   미리내빌리지    화곡로53길 34  서울특별시 강서구 화곡동
1  22000.0   미리내빌리지    화곡로53길 34  서울특별시 강서구 화곡동
2  22000.0   미리내빌리지    화곡로53길 34  서울특별시 강서구 화곡동
3  17000.0   인터시티빌라  곰달래로31나길 34  서울특별시 강서구 화곡동
4  17000.0   인터시티빌라  곰달래로31나길 34  서울특별시 강서구 화곡동",22000
1150010300,9,29.77,5,2019,"   deposit building         road           dong
0  19800.0   혜성팰리스　   국회대로 71-15  서울특별시 강서구 화곡동
1  19800.0   혜성팰리스　   국회대로 71-15  서울특별시 강서구 화곡동
2  25700.0    로빈하우스   월정로28가길 17  서울특별시 강서구 화곡동
3  26000.0    서림그랑빌  등촌로13길 36-1  서울특별시 강서구 화곡동
4  26900.0     라뜰리에    까치산로6길 14  서울특별시 강서구 화곡동",22888
