코드,평,전용면적(㎡),층,건축년도,predicted
1150010300,18,59.58,4,2001,"   deposit  pricemon      building           road           dong
0   1000.0        70         천우하이빌   까치산로14길 50-5  서울특별시 강서구 화곡동
1   3200.0        55  삼광아트빌(46-78)  까치산로14길 41-12  서울특별시 강서구 화곡동
2   1000.0        70        광산맨션A동   강서로17가길 8-12  서울특별시 강서구 화곡동
3   5000.0        60        그레이스빌라    곰달래로58길 7-8  서울특별시 강서구 화곡동
4   3500.0        50         동명아름빌   곰달래로49가길 7-7  서울특별시 강서구 화곡동"
1150010600,12,39.18,5,2016,"   deposit  pricemon      building          road            dong
0   5000.0        55      제이에스아이디움     강서로 279-1  서울특별시 강서구 내발산동
1   3000.0        66  우성쉐르빌(705-6)   우장산로4길 57-1  서울특별시 강서구 내발산동
2   5000.0        65         유성하이츠     강서로47길 49  서울특별시 강서구 내발산동
3   4000.0        70       마곡씨제이빌딩  양천로30길 123-5   서울특별시 강서구 마곡동
4  15000.0        30         성강청안채    강서로45라길 29  서울특별시 강서구 내발산동"
1150010300,18,59.84,2,2007,"   deposit  pricemon        building           road           dong
0  11000.0        40            센트로빌     곰달래로41길 58  서울특별시 강서구 화곡동
1  10000.0        20           한ㆍ터 빌  초록마을로26길 21-8  서울특별시 강서구 화곡동
2   2000.0        62  성재캐슬빌(102-139)     까치산로4라길 22  서울특별시 강서구 화곡동
3   1000.0        60           예솔하이츠    곰달래로47길 114  서울특별시 강서구 화곡동
4   2000.0        80          토석아너스빌    까치산로4길 76-8  서울특별시 강서구 화곡동"
1150010300,14,46.97,-1,1993,"   deposit  pricemon      building         road           dong
0   1000.0        40   우진맨션(98-33)   초록마을로2길 21  서울특별시 강서구 화곡동
1   1000.0        20        강신빌라나동   까치산로26길 12  서울특별시 강서구 화곡동
2   1000.0        50  우성빌라(352-47)  가로공원로84길 57  서울특별시 강서구 화곡동
3    300.0        30       대웅하이츠9차   곰달래로35길 43  서울특별시 강서구 화곡동
4   5000.0        15       화성빌라39차  까치산로18나길 11  서울특별시 강서구 화곡동"
1150010400,4,13.5,6,2015,"   deposit  pricemon       building          road           dong
0    500.0        55            視停軒    양천로47가길 12  서울특별시 강서구 가양동
1    500.0        55            視停軒    양천로47가길 12  서울특별시 강서구 가양동
2    500.0        45          보리수타운    까치산로14길 13  서울특별시 강서구 화곡동
3   1000.0        40  드림타운(1052-17)     화곡로27길 35  서울특별시 강서구 화곡동
4   2000.0        55             킹덤  등촌로13바길 9-10  서울특별시 강서구 화곡동"
1150010300,9,31.2,3,1993,"   deposit  pricemon       building        road           dong
0  12000.0         5           범진빌라  까치산로12길 37  서울특별시 강서구 화곡동
1   1000.0        50     현대맨션(77-5)  화곡로43가길 71  서울특별시 강서구 화곡동
2    500.0        10         문화그린타운   강서로15길 57  서울특별시 강서구 화곡동
3  10000.0         5  쉐라톤빌라(56-508)  초록마을로12길 7  서울특별시 강서구 화곡동
4  10000.0         5  쉐라톤빌라(56-508)  초록마을로12길 7  서울특별시 강서구 화곡동"
1150010300,15,49.23,3,2008,"   deposit  pricemon       building          road           dong
0   9000.0        24  황제아이파크(55-50)   초록마을로12길 18  서울특별시 강서구 화곡동
1   1000.0        55           정가울빌   가로공원로72길 24  서울특별시 강서구 화곡동
2   2000.0        55          하은하이츠  초록마을로8길 81-2  서울특별시 강서구 화곡동
3   4000.0        50           아이캐슬   곰달래로57가길 29  서울특별시 강서구 화곡동
4   5000.0        60         토석아네스빌     강서로26길 61  서울특별시 강서구 화곡동"
1150010300,5,16.38,2,2010,"   deposit  pricemon         building        road           dong
0    500.0        40     신성빌딩(1096-2)  우장산로15길 43  서울특별시 강서구 화곡동
1   2000.0        36             행복드림  화곡로44나길 28  서울특별시 강서구 화곡동
2   1000.0        40               서현     강서로 144  서울특별시 강서구 화곡동
3   2000.0        30    해피하우스(1128-4)    까치산로 184  서울특별시 강서구 화곡동
4    500.0        33  뉴욕레지던스Ⅱ(858-23)   곰달래로38길 6  서울특별시 강서구 화곡동"
1150010300,19,61.72,2,2010,"   deposit  pricemon        building           road           dong
0   2000.0        80  토석아네스빌(24-217)     까치산로11길 19  서울특별시 강서구 화곡동
1   2000.0        55             타운스    초록마을로22길 30  서울특별시 강서구 화곡동
2   1000.0        60           예솔하이츠    곰달래로47길 114  서울특별시 강서구 화곡동
3   2000.0        80          토석아너스빌    까치산로4길 76-8  서울특별시 강서구 화곡동
4  10000.0        20           한ㆍ터 빌  초록마을로26길 21-8  서울특별시 강서구 화곡동"
1150010300,9,29.94,2,2016,"   deposit  pricemon       building           road           dong
0   1000.0        65        도원힐라이프1    초록마을로11길 27  서울특별시 강서구 화곡동
1   3000.0        65         하나타운A동      강서로18다길 7  서울특별시 강서구 화곡동
2   8000.0        20  청라베라체(46-298)  까치산로14가길 5-17  서울특별시 강서구 화곡동
3   2000.0        60          리더스타운   까치산로6길 29-15  서울특별시 강서구 화곡동
4   3000.0        65            아이빌     곰달래로25길 52  서울특별시 강서구 화곡동"
1150010300,11,36.75,2,1991,"   deposit  pricemon  building         road           dong
0   1000.0        30  (869-33)   곰달래로35길 33  서울특별시 강서구 화곡동
1    100.0        20    수정빌라나동   공항대로48길 68  서울특별시 강서구 화곡동
2   3000.0        30  (376-27)  가로공원로72길 28  서울특별시 강서구 화곡동
3   3000.0        35    미주아트빌라   까치산로17길 19  서울특별시 강서구 화곡동
4   3000.0        30    황금아트빌라   까치산로12길 34  서울특별시 강서구 화곡동"
1150010900,8,27.25,3,2010,"   deposit  pricemon     building           road           dong
0   2000.0        20     (575-14)  방화동로16길 54-20  서울특별시 강서구 방화동
1   1000.0        45          하늘채    방화대로7길 53-7  서울특별시 강서구 공항동
2   2000.0        50        예담파크빌   양천로14가길 6-12  서울특별시 강서구 방화동
3   3000.0        20     (575-14)  방화동로16길 54-20  서울특별시 강서구 방화동
4   3000.0        25  천문(612-227)     방화동로5가길 27  서울특별시 강서구 방화동"
1150010300,12,38.98,4,2001,"   deposit  pricemon      building           road           dong
0   1000.0        25         삼성그린빌  까치산로18라길 5-10  서울특별시 강서구 화곡동
1    500.0        58          청운빌라     까치산로12길 38  서울특별시 강서구 화곡동
2   3000.0        45        산호맨션다동   화곡로44가길 6-12  서울특별시 강서구 화곡동
3   7000.0        25  동화빌라(56-339)    초록마을로22길 14  서울특별시 강서구 화곡동
4   1500.0        50        성훈에이스빌  등촌로13다길 40-34  서울특별시 강서구 화곡동"
1150010900,12,39.94,2,2017,"   deposit  pricemon      building           road           dong
0   4500.0        75  대림캐슬(593-63)     금낭화로11길 27  서울특별시 강서구 방화동
1   2000.0        45       예담리치빌에이  방화대로49길 44-10  서울특별시 강서구 방화동
2   5000.0        30         예담리치빌       초원로 16-6  서울특별시 강서구 방화동
3   2000.0        60        우송아르떼빌     방화대로31길 32  서울특별시 강서구 방화동
4   1000.0        80         유원펠리체     방화대로5나길 13  서울특별시 강서구 공항동"
