코드,평수,전용면적(㎡),층,건축년도,predicted,predicted price
1154510300,9,28.8,4,2017,"   deposit building          road           dong
0  17500.0    정우펠리스     금하로24길 13  서울특별시 금천구 시흥동
1  21000.0     리베라움    시흥대로50길 18  서울특별시 금천구 시흥동
2  21000.0     리베라움    시흥대로50길 18  서울특별시 금천구 시흥동
3  22700.0    준 그린빌  독산로43가길 44-1  서울특별시 금천구 시흥동
4  19800.0    한울파크빌     독산로10길 28  서울특별시 금천구 시흥동",18236.5
1154510300,9,29.93,4,2017,"   deposit building        road           dong
0  21000.0     리베라움  시흥대로50길 18  서울특별시 금천구 시흥동
1  21000.0     리베라움  시흥대로50길 18  서울특별시 금천구 시흥동
2  18000.0   백운파빌리온  시흥대로41길 82  서울특별시 금천구 시흥동
3  17000.0  동산골드하우스    독산로33길 4  서울특별시 금천구 시흥동
4  21800.0    세종팰리스   시흥대로56길 8  서울특별시 금천구 시흥동",20626.25
1154510200,16,51.6,4,2002,"   deposit        building           road           dong
0  17000.0            광민아트  시흥대로102길 60-8  서울특별시 금천구 독산동
1  18000.0            금용빌라  시흥대로151길 34-2  서울특별시 금천구 독산동
2  17000.0  정우하이츠(1053-20)    시흥대로100길 21  서울특별시 금천구 독산동
3  17000.0       (시대맨션빌5차)      독산로70길 65  서울특별시 금천구 독산동
4  17000.0           필그린빌라      독산로56길 27  서울특별시 금천구 독산동",15069
1154510300,12,39.43,3,2019,"   deposit       building         road           dong
0  24000.0          타임아트빌   시흥대로40라길 4  서울특별시 금천구 시흥동
1  24000.0          타임아트빌   시흥대로40라길 4  서울특별시 금천구 시흥동
2  26000.0          프라우드빌   독산로24마길 31  서울특별시 금천구 시흥동
3  24800.0          드웰하우스  시흥대로40나길 15  서울특별시 금천구 시흥동
4  17000.0  금강파크빌(804-24)    독산로38길 16  서울특별시 금천구 시흥동",23885
1154510300,23,75.36,5,2002,"   deposit     building           road           dong
0  11000.0  행운빌라(3-161)     독산로50길 151  서울특별시 금천구 시흥동
1  18500.0         한미15     시흥대로24길 41  서울특별시 금천구 시흥동
2  20000.0        산들빌라1  시흥대로57길 19-51  서울특별시 금천구 시흥동
3  15000.0        산들빌라4  시흥대로57길 19-25  서울특별시 금천구 시흥동
4  18000.0           정도     금하로24가길 13  서울특별시 금천구 시흥동",14300
1154510200,9,31.01,7,2019,"   deposit             building        road           dong
0  23500.0  메트로타운A동B동C동(194-13)     독산로 263  서울특별시 금천구 독산동
1  24000.0     서래타운101동102동103동     독산로 233  서울특별시 금천구 독산동
2  22000.0      보람홈타운2차(973-36)  독산로101길 24  서울특별시 금천구 독산동
3  20000.0              노블에스테이트       문성로 2  서울특별시 금천구 독산동
4  20000.0              노블에스테이트       문성로 2  서울특별시 금천구 독산동",24055.5
1154510300,12,39.48,2,1989,"   deposit building        road           dong
0   7000.0     현대빌라     시흥대로 53  서울특별시 금천구 시흥동
1  11000.0     현대빌라     시흥대로 53  서울특별시 금천구 시흥동
2  10000.0      대 도   시흥대로12길 9  서울특별시 금천구 시흥동
3  14000.0     영일빌라  시흥대로12길 72  서울특별시 금천구 시흥동
4  13000.0     현대빌라     시흥대로 53  서울특별시 금천구 시흥동",9356.266234
1154510200,13,42.15,4,2019,"   deposit  building         road           dong
0  35800.0     라온하우스       문성로 48  서울특별시 금천구 독산동
1  35800.0     라온하우스       문성로 48  서울특별시 금천구 독산동
2  34000.0     라온하우스       문성로 48  서울특별시 금천구 독산동
3  30100.0  후암타운101동  시흥대로103길 17  서울특별시 금천구 독산동
4  27500.0    와이피하우스  시흥대로123길 60  서울특별시 금천구 독산동",35137.34286
1154510100,11,36.23,3,1990,"   deposit       building            road           dong
0  11000.0  영화빌라5동(149-3)  시흥대로149가길 29-3  서울특별시 금천구 가산동
1   8500.0        (40-14)        벚꽃로42길 7  서울특별시 금천구 가산동
2  16000.0           궁전빌라       두산로3가길 12  서울특별시 금천구 가산동
3  13000.0             대동   시흥대로153길 74-1  서울특별시 금천구 가산동
4   3500.0           그린빌라   시흥대로145길 60-1  서울특별시 금천구 가산동",9941.210317
1154510200,14,47.57,2,2017,"   deposit    building         road           dong
0  24000.0  뜰안채(188-1)    독산로80길 24  서울특별시 금천구 독산동
1  23000.0       행복연구소  시흥대로143길 17  서울특별시 금천구 독산동
2  23000.0       행복연구소  시흥대로143길 17  서울특별시 금천구 독산동
3  20000.0      리치힐홈타운     독산로92길 9  서울특별시 금천구 독산동
4  35000.0       라온하우스       문성로 48  서울특별시 금천구 독산동",23571
1154510200,9,28.53,5,2019,"   deposit       building         road           dong
0  22600.0  도희하우스(973-26)  독산로101길 8-1  서울특별시 금천구 독산동
1  23800.0          제이에스빌    독산로88길 27  서울특별시 금천구 독산동
2  23800.0          제이에스빌    독산로88길 27  서울특별시 금천구 독산동
3  20400.0            스톤빌    독산로62길 30  서울특별시 금천구 독산동
4  19500.0         메트로하우스    독산로87길 20  서울특별시 금천구 독산동",22626
1154510300,14,46.14,-1,1994,"   deposit building          road           dong
0   3000.0  대흥연립 C동  독산로50다길 8-13  서울특별시 금천구 시흥동
1  12000.0  오성빌라 라동    독산로43가길 17  서울특별시 금천구 시흥동
2   9000.0  중앙하이츠빌라    시흥대로36길 45  서울특별시 금천구 시흥동
3  14000.0     현대빌라       시흥대로 53  서울특별시 금천구 시흥동
4  10000.0     현대빌라       시흥대로 53  서울특별시 금천구 시흥동",10828.33333
1154510200,10,34.26,4,2018,"   deposit             building         road           dong
0  22800.0                한신하이츠  시흥대로143길 19  서울특별시 금천구 독산동
1  20000.0           뜰안채(188-1)    독산로80길 24  서울특별시 금천구 독산동
2  23000.0                 독산첼시  시흥대로142길 31  서울특별시 금천구 독산동
3  18000.0            알펜하우스A동B동     문성로7길 47  서울특별시 금천구 독산동
4  23500.0  메트로타운A동B동C동(194-13)      독산로 263  서울특별시 금천구 독산동",22031.33333
