코드,평수,전용면적(㎡),층,건축년도,predicted
1154510100,7,24.6,4,2015,"   deposit  pricemon        building         road           dong
0   1000.0        60            BH하임  가산로3길 134-6  서울특별시 금천구 가산동
1   2000.0        65            BH하임  가산로3길 134-6  서울특별시 금천구 가산동
2   4000.0        50  리베라움1차101동102동     가산로5길 61  서울특별시 금천구 가산동
3   4000.0        50  리베라움1차101동102동     가산로5길 61  서울특별시 금천구 가산동
4   1000.0        88             DS빌  시흥대로145길 64  서울특별시 금천구 가산동"
1154510200,6,20.47,3,2012,"   deposit  pricemon   building         road           dong
0    200.0        48        장교빌  범안로12길 21-3  서울특별시 금천구 독산동
1   4000.0        47       둥지원룸       가산로 19  서울특별시 금천구 독산동
2   1000.0        55  (1053-22)  시흥대로100길 17  서울특별시 금천구 독산동
3   1000.0        55  (1053-22)  시흥대로100길 17  서울특별시 금천구 독산동
4   1000.0        45      중원리츠빌    독산로51길 19  서울특별시 금천구 독산동"
1154510300,17,54.57,4,2018,"   deposit  pricemon building        road           dong
0   2223.0        29   낙원케렌시아   독산로26길 19  서울특별시 금천구 시흥동
1   2201.0        29   하누리 가동  독산로43가길 33  서울특별시 금천구 시흥동
2    578.0        39  엘림하우스-2  시흥대로48길 29  서울특별시 금천구 시흥동
3   2030.0        26   제일파크타운  독산로28가길 12  서울특별시 금천구 시흥동
4   1467.0        19      아이빌    탑골로3길 18  서울특별시 금천구 시흥동"
1154510200,8,26.81,2,2014,"   deposit  pricemon building          road           dong
0   2000.0        55   신앤이펠리스  범안로12길 21-13  서울특별시 금천구 독산동
1   1000.0        63     베아뚜스     범안로14길 18  서울특별시 금천구 독산동
2   5000.0        50  트윈빌리지B동  남부순환로124길 18  서울특별시 금천구 독산동
3   5000.0        58  트윈빌리지A동    독산로109길 19  서울특별시 금천구 독산동
4   4000.0        45    밀레니엄빌   독산로101길 8-5  서울특별시 금천구 독산동"
1154510300,21,68.61,2,2002,"   deposit  pricemon  building          road           dong
0   2000.0        50   건우 그린빌라    금하로23가길 18  서울특별시 금천구 시흥동
1   3000.0        60    LG베스트빌    시흥대로14길 16  서울특별시 금천구 시흥동
2   5000.0        60   우성하이빌A동    금하로23가길 24  서울특별시 금천구 시흥동
3   3000.0        50   다솔빌리지B동  독산로50길 163-4  서울특별시 금천구 시흥동
4   3000.0        50  쉼터빌리지 나동     시흥대로2나길 3  서울특별시 금천구 시흥동"
1154510200,11,35.62,5,2017,"   deposit  pricemon              building         road           dong
0    500.0        62                 세움아트빌  시흥대로112길 43  서울특별시 금천구 독산동
1    379.0        27  오성드림빌(2차)1동,2동,3동,4동   독산로64다길 12  서울특별시 금천구 독산동
2   1000.0        65         한백아트(1046-22)    독산로49길 26  서울특별시 금천구 독산동
3   2000.0        80                 롯데블르빌   시흥대로98길 30  서울특별시 금천구 독산동
4   2000.0        80                 롯데블르빌   시흥대로98길 30  서울특별시 금천구 독산동"
1154510300,12,39.48,3,1989,"   deposit  pricemon  building          road           dong
0   3000.0        40      현대빌라       시흥대로 53  서울특별시 금천구 시흥동
1   1700.0        48      현대빌라       시흥대로 53  서울특별시 금천구 시흥동
2   2000.0        60    유림빌라맨숀  시흥대로2길 57-10  서울특별시 금천구 시흥동
3   1000.0        50  남광하이츠 A동    독산로50다길 29  서울특별시 금천구 시흥동
4   1000.0        50    영일빌라5차    시흥대로40길 52  서울특별시 금천구 시흥동"
1154510200,13,42.09,2,2013,"   deposit  pricemon      building         road           dong
0   3000.0        65         엘림하우스     문성로 48-8  서울특별시 금천구 독산동
1   3000.0        50           부부애   독산로58가길 20  서울특별시 금천구 독산동
2    120.0        22  리치빌(1021-12)  독산로74길 24-5  서울특별시 금천구 독산동
3   2000.0        50         초원골든빌   독산로58나길 69  서울특별시 금천구 독산동
4   3000.0        50  한신빌(378-179)   독산로58나길 53  서울특별시 금천구 독산동"
1154510200,9,29.55,2,2019,"   deposit  pricemon           building         road           dong
0   2000.0        70             제이골드파크   시흥대로96길 14  서울특별시 금천구 독산동
1  11350.0        12               홍시주택  시흥대로150길 69  서울특별시 금천구 독산동
2  11350.0        12               홍시주택  시흥대로150길 69  서울특별시 금천구 독산동
3   2000.0        56              성윤빌리지   시흥대로84마길 4  서울특별시 금천구 독산동
4   4200.0        80  Gold Mountain(금산)   독산로108길 10  서울특별시 금천구 독산동"
1154510200,13,42.18,1,1991,"   deposit  pricemon       building          road           dong
0   3000.0        50         정훈파크빌라    독산로58나길 35  서울특별시 금천구 독산동
1   5000.0        20         정훈파크빌라    독산로58나길 35  서울특별시 금천구 독산동
2   2000.0        35  미림주택1동(890-3)        문성로 28  서울특별시 금천구 독산동
3   2000.0        35         (청실주택)     독산로70길 77  서울특별시 금천구 독산동
4   7000.0        15         (롯데빌라)  남부순환로130길 55  서울특별시 금천구 독산동"
1154510300,16,53.52,2,1987,"   deposit  pricemon building          road           dong
0   2000.0        50      대 도     시흥대로12길 9  서울특별시 금천구 시흥동
1   3000.0        50  중앙하이츠빌라    시흥대로36길 45  서울특별시 금천구 시흥동
2   2000.0        55  중앙하이츠빌라    시흥대로36길 45  서울특별시 금천구 시흥동
3   1000.0        50   영일빌라5차    시흥대로40길 52  서울특별시 금천구 시흥동
4   2000.0        55   삼미연립가동  시흥대로2길 44-16  서울특별시 금천구 시흥동"
1154510200,4,13.59,2,2012,"   deposit  pricemon building         road           dong
0   3000.0        32      탐진빌  시흥대로147길 14  서울특별시 금천구 독산동
1   2000.0        32      탐진빌  시흥대로147길 14  서울특별시 금천구 독산동
2    300.0        50      장교빌  범안로12길 21-3  서울특별시 금천구 독산동
3    500.0        40    나은하우스   독산로64다길 23  서울특별시 금천구 독산동
4   4000.0        47     둥지원룸       가산로 19  서울특별시 금천구 독산동"
1154510300,16,52.44,3,1983,"   deposit  pricemon  building        road           dong
0   1000.0        55      대성타운   시흥대로39길 7  서울특별시 금천구 시흥동
1   7000.0        20  훼밀리연립 다동  시흥대로38길 47  서울특별시 금천구 시흥동
2  11000.0         5  훼밀리연립 나동  시흥대로38길 51  서울특별시 금천구 시흥동
3   2000.0        50        대도     시흥대로 73  서울특별시 금천구 시흥동
4   3000.0        50        대도     시흥대로 73  서울특별시 금천구 시흥동"
1154510200,14,47.07,4,2014,"   deposit  pricemon      building          road           dong
0   1000.0       110        리치힐홈타운      독산로92길 9  서울특별시 금천구 독산동
1   3000.0        78         대광모던빌  남부순환로128길 44  서울특별시 금천구 독산동
2    476.0        31  아이빌(378-196)    독산로58라길 10  서울특별시 금천구 독산동
3  15000.0        20          영풍타운       가산로5길 7  서울특별시 금천구 독산동
4  12000.0        20        파스텔하우스   시흥대로118길 11  서울특별시 금천구 독산동"
1154510100,21,70.92,2,2002,"   deposit  pricemon      building         road           dong
0  14000.0        30      백운스위트빌가동    두산로3가길 24  서울특별시 금천구 가산동
1   5000.0        35  성민빌라(237-37)    가산로3가길 22  서울특별시 금천구 가산동
2   1500.0        35    아이티빌(83-2)    벚꽃로56길 92  서울특별시 금천구 가산동
3   5000.0        35        두산그린빌라  시흥대로145길 72  서울특별시 금천구 가산동
4   4000.0        70       (880-3)     문성로5가길 8  서울특별시 금천구 독산동"
1154510200,13,43.9,4,2015,"   deposit  pricemon      building          road           dong
0   1000.0       110        리치힐홈타운      독산로92길 9  서울특별시 금천구 독산동
1  15000.0        20          영풍타운       가산로5길 7  서울특별시 금천구 독산동
2    476.0        31  아이빌(378-196)    독산로58라길 10  서울특별시 금천구 독산동
3   3000.0        78         대광모던빌  남부순환로128길 44  서울특별시 금천구 독산동
4   5000.0        50           우진빌    범안로12가길 13  서울특별시 금천구 독산동"
1154510100,7,22.12,2,2010,"   deposit  pricemon    building         road           dong
0   1000.0        40  (휴먼빌40-11)    벚꽃로42길 13  서울특별시 금천구 가산동
1   1000.0        60        BH하임  가산로3길 134-6  서울특별시 금천구 가산동
2   1000.0        60        BH하임  가산로3길 134-6  서울특별시 금천구 가산동
3   2000.0        55        BH하임  가산로3길 134-6  서울특별시 금천구 가산동
4   1000.0        75      씨앤에스타워      벚꽃로 316  서울특별시 금천구 가산동"
