코드,평수,전용면적(㎡),층,건축년도,predicted,predicted price
1153010800,16,51.29,5,2017,"   deposit      building        road           dong
0  25000.0        우림메르디앙  서해안로20길 49  서울특별시 구로구 오류동
1  28000.0     다숲아띠 102동  경인로15가길 15  서울특별시 구로구 오류동
2  28000.0     다숲아띠 101동  경인로15가길 19  서울특별시 구로구 오류동
3  31800.0  양지마을(81-270)  경인로15나길 12  서울특별시 구로구 오류동
4  31800.0  양지마을(81-270)  경인로15나길 12  서울특별시 구로구 오류동",23202
1153010200,14,45.62,2,2018,"   deposit    building           road            dong
0  28000.0     대원파크빌3차    새말로12길 29-3   서울특별시 구로구 구로동
1  22500.0       동부에이스  구로동로47길 10-11   서울특별시 구로구 구로동
2  20500.0  스카이빌(102동)   구로동로5길 23-10  서울특별시 구로구 가리봉동
3  23000.0       유니아트빌     디지털로35길 43   서울특별시 구로구 구로동
4  25500.0      다온캐슬1동     가마산로20다길 3   서울특별시 구로구 구로동",26042.24
1153011000,14,45.46,2,2014,"   deposit building         road           dong
0  23000.0    스마트타운   부일로 871-24  서울특별시 구로구 온수동
1  18000.0   라비앙하우스  부일로5길 22-66  서울특별시 구로구 온수동
2  20000.0   다청림시티빌  부일로1길 26-23  서울특별시 구로구 온수동
3  27500.0    에코그린빌  부일로1길 128-1  서울특별시 구로구 온수동
4  28200.0    에코그린빌  부일로1길 128-1  서울특별시 구로구 온수동",19565.31
1153010700,11,36.97,2,2018,"   deposit       building        road           dong
0  27000.0          다원아트빌   개봉로10길 31  서울특별시 구로구 개봉동
1  27000.0          다원아트빌   개봉로10길 31  서울특별시 구로구 개봉동
2  26900.0          다원아트빌   개봉로10길 31  서울특별시 구로구 개봉동
3  21000.0           이담채2  개봉로17나길 49  서울특별시 구로구 개봉동
4  20000.0  리안하우스(366-10)    개봉로1길 30  서울특별시 구로구 개봉동",25415
1153010700,13,42.82,2,2017,"   deposit       building           road           dong
0  22000.0   리안하우스(326-6)   개봉로17길 18-11  서울특별시 구로구 개봉동
1  22000.0  세종아트빌(68-150)   고척로20길 26-35  서울특별시 구로구 개봉동
2  22000.0  세종아트빌(68-150)   고척로20길 26-35  서울특별시 구로구 개봉동
3  17300.0        삼성쉐르빌A동    고척로27다길 4-4  서울특별시 구로구 개봉동
4  20000.0        꿈애그린빌4차  개봉로17나길 61-13  서울특별시 구로구 개봉동",22086
1153010200,11,35.84,4,1994,"   deposit  building          road           dong
0   9000.0  (798-29)    디지털로27라길 5  서울특별시 구로구 구로동
1   9000.0  (739-41)  구로동로20길 24-3  서울특별시 구로구 구로동
2  11300.0  (745-13)    구로동로12길 24  서울특별시 구로구 구로동
3  10000.0  (807-25)  구로동로12길 4-32  서울특별시 구로구 구로동
4  10500.0   (739-9)    구로동로12길 29  서울특별시 구로구 구로동",9831
1153010800,17,57.12,1,1987,"   deposit     building      road           dong
0   9000.0  우석빌라(가,나,다)  오류로8다길 9  서울특별시 구로구 오류동
1  10000.0  우석빌라(가,나,다)  오류로8다길 9  서울특별시 구로구 오류동
2  10000.0  우석빌라(가,나,다)  오류로8다길 9  서울특별시 구로구 오류동
3  10000.0  우석빌라(가,나,다)  오류로8다길 9  서울특별시 구로구 오류동
4  13000.0  우석빌라(가,나,다)  오류로8다길 9  서울특별시 구로구 오류동",10505.87698
1153010700,8,27.71,3,2002,"   deposit            building          road           dong
0   8500.0       카사펠리즈(345-10)  개봉로11길 18-11  서울특별시 구로구 개봉동
1  10000.0       한성스위트빌(457-9)  경인로35길 64-22  서울특별시 구로구 개봉동
2  10000.0       한성스위트빌(457-9)  경인로35길 64-22  서울특별시 구로구 개봉동
3   9000.0  미건스위트빌(101동)417-17    개봉로23가길 81  서울특별시 구로구 개봉동
4  12000.0             동도아트빌A동     오리로13길 26  서울특별시 구로구 오류동",8717.1
1153010700,12,39.14,6,2015,"   deposit        building          road           dong
0  27000.0           로얄홈타운    개봉로12길 9-1  서울특별시 구로구 개봉동
1  25000.0           로얄홈타운    개봉로12길 9-1  서울특별시 구로구 개봉동
2  25000.0           로얄홈타운    개봉로12길 9-1  서울특별시 구로구 개봉동
3  29000.0  대우스위트힐(306-53)  개봉로17다길 62-6  서울특별시 구로구 개봉동
4  24000.0         삼원아이빌1차    개봉로5길 62-3  서울특별시 구로구 개봉동",19844
1153010800,25,83.88,3,1986,"   deposit         building         road           dong
0  13000.0      화랑주택(108-1)       경인로 20  서울특별시 구로구 오류동
1  16000.0      화랑주택(108-1)       경인로 20  서울특별시 구로구 오류동
2  18000.0      화랑주택(108-1)       경인로 20  서울특별시 구로구 오류동
3   5000.0       성신빌라(가)(다)  오리로10길 44-6  서울특별시 구로구 오류동
4  15000.0  삼영빌라(다)(150-32)     오류로8길 48  서울특별시 구로구 오류동",15085.2619
1153010200,10,32.65,2,1996,"   deposit       building          road            dong
0   8269.0       (781-17)   디지털로27라길 56   서울특별시 구로구 구로동
1   7000.0        (752-8)  구로동로22길 70-5   서울특별시 구로구 구로동
2  10000.0       (763-16)  구로동로22길 69-5   서울특별시 구로구 구로동
3   8500.0       (134-43)    디지털로24가길 2  서울특별시 구로구 가리봉동
4  12000.0  태창(나)(480-34)  구로동로45길 27-1   서울특별시 구로구 구로동",8679.82
1153010700,13,41.92,5,2019,"   deposit        building          road           dong
0  32000.0        화이트캐슬 A동     고척로30길 14  서울특별시 구로구 개봉동
1  32000.0        화이트캐슬 A동     고척로30길 14  서울특별시 구로구 개봉동
2  28000.0  대우스위트힐(306-53)  개봉로17다길 62-6  서울특별시 구로구 개봉동
3  28000.0  대우스위트힐(306-53)  개봉로17다길 62-6  서울특별시 구로구 개봉동
4  28000.0  대우스위트힐(306-53)  개봉로17다길 62-6  서울특별시 구로구 개봉동",31436
1153010700,13,41.92,2,2019,"   deposit        building           road           dong
0  27600.0       화이트 캐슬 B동      고척로30길 12  서울특별시 구로구 개봉동
1  27600.0       화이트 캐슬 B동      고척로30길 12  서울특별시 구로구 개봉동
2  25000.0          디 아트라움   개봉로11나길 14-3  서울특별시 구로구 개봉동
3  30000.0           마이빌7차  개봉로17마길 17-11  서울특별시 구로구 개봉동
4  29800.0  대우스위트힐(306-53)   개봉로17다길 62-6  서울특별시 구로구 개봉동",27615
1153010200,12,39.97,4,2018,"   deposit  building         road           dong
0  27000.0      삼성빌딩     새말로9길 46  서울특별시 구로구 구로동
1  27000.0      삼성빌딩     새말로9길 46  서울특별시 구로구 구로동
2  29500.0  한영선샤인빌리지     새말로9길 49  서울특별시 구로구 구로동
3  28000.0   대원파크빌3차  새말로12길 29-3  서울특별시 구로구 구로동
4  29000.0  한영선샤인빌리지     새말로9길 49  서울특별시 구로구 구로동",27035
1153010900,12,39.33,2,2019,"   deposit building          road           dong
0  16000.0     로제트힐  부일로19길 50-10   서울특별시 구로구 궁동
1  26850.0    퀸즈팰리스     부일로11길 77   서울특별시 구로구 궁동
2  26500.0    퀸즈팰리스     부일로11길 77   서울특별시 구로구 궁동
3  27500.0     아델리안     부일로1길 8-1  서울특별시 구로구 온수동
4  28500.0     아델리안     부일로1길 8-1  서울특별시 구로구 온수동",27251
1153010700,12,41.16,4,2002,"   deposit      building            road           dong
0  13000.0          석윤빌라       경인로31길 11  서울특별시 구로구 개봉동
1  16500.0  성은빌라(307-10)  개봉로17나길 100-15  서울특별시 구로구 개봉동
2  14000.0       중앙아트힐B동    고척로52길 68-19  서울특별시 구로구 개봉동
3  15000.0     현우빌라(464)    경인로35길 56-18  서울특별시 구로구 개봉동
4  15000.0     현우빌라(464)    경인로35길 56-18  서울특별시 구로구 개봉동",12495
1153010600,18,59.95,1,2000,"   deposit        building            road           dong
0  19500.0           성화아트빌    고척로27다길 36-7  서울특별시 구로구 고척동
1  19000.0    삼성파크빌(321-3)      개봉로17마길 33  서울특별시 구로구 개봉동
2  17000.0  장원타운(나)(309-9)  서해안로34가길 11-10  서울특별시 구로구 개봉동
3  14000.0  장원타운(가)(309-8)  서해안로34가길 11-12  서울특별시 구로구 개봉동
4  16000.0  장원타운(가)(309-8)  서해안로34가길 11-12  서울특별시 구로구 개봉동",17914.83333
1153010200,10,33.02,3,2019,"   deposit  building         road           dong
0  27500.0    한나래16차  시흥대로161길 62  서울특별시 구로구 구로동
1  27000.0      삼성빌딩     새말로9길 46  서울특별시 구로구 구로동
2  29500.0  한영선샤인빌리지     새말로9길 49  서울특별시 구로구 구로동
3  27500.0      대보스빌   가마산로20길 32  서울특별시 구로구 구로동
4  27500.0      대보스빌   가마산로20길 32  서울특별시 구로구 구로동",27129
1153011000,17,57.35,3,2018,"   deposit       building        road           dong
0  27000.0           베노아빌  부일로1길 26-1  서울특별시 구로구 온수동
1  23000.0         디아이빌3차  부일로5길 22-6  서울특별시 구로구 온수동
2  23000.0         정선마을2차   오리로21가길 8   서울특별시 구로구 궁동
3  29000.0  대명아트빌(192-30)   부일로19길 56   서울특별시 구로구 궁동
4  22000.0       예지팰리스86차   부일로17길 36   서울특별시 구로구 궁동",26195
1153010700,19,64.23,2,1997,"   deposit        building          road           dong
0  20000.0     금호빌라(351-7)  개봉로11길 27-22  서울특별시 구로구 개봉동
1  22000.0  건영아트빌라(330-11)   개봉로15길 18-3  서울특별시 구로구 개봉동
2  18500.0     원크리스탈(92-7)     고척로 115-6  서울특별시 구로구 개봉동
3  15500.0    한샘쉐르빌(138-7)     경인로33길 29  서울특별시 구로구 개봉동
4  12000.0           덕문빌라   고척로21라길 42-4  서울특별시 구로구 개봉동",19641.66667
1153010900,14,46.51,3,1988,"   deposit building       road          dong
0  10000.0     우신빌라   오리로 1265  서울특별시 구로구 궁동
1  12000.0     우신빌라   오리로 1265  서울특별시 구로구 궁동
2  11000.0     우신빌라   오리로 1265  서울특별시 구로구 궁동
3  10000.0     궁동빌라  부일로19길 34  서울특별시 구로구 궁동
4  15000.0     궁동빌라  부일로19길 34  서울특별시 구로구 궁동",10931.44643
1153011000,19,62.35,2,2016,"   deposit building        road           dong
0  26000.0     베노아빌  부일로1길 26-1  서울특별시 구로구 온수동
1  18500.0    온수빌리브   부일로9길 145  서울특별시 구로구 온수동
2  21000.0   디아이빌3차  부일로5길 22-6  서울특별시 구로구 온수동
3  18000.0     수아트빌    부일로5길 33  서울특별시 구로구 온수동
4  27000.0     베노아빌  부일로1길 26-1  서울특별시 구로구 온수동",16759.5
1153010200,11,35.84,2,1994,"   deposit        building          road           dong
0   7000.0         (752-8)  구로동로22길 70-5  서울특별시 구로구 구로동
1  10000.0        (763-16)  구로동로22길 69-5  서울특별시 구로구 구로동
2  12000.0   태창(나)(480-34)  구로동로45길 27-1  서울특별시 구로구 구로동
3   8269.0        (781-17)   디지털로27라길 56  서울특별시 구로구 구로동
4  11000.0  성신빌라A동(801-24)      도림로 12-8  서울특별시 구로구 구로동",10492.76
1153010800,13,43.52,2,2018,"   deposit   building         road           dong
0  26400.0  다숲아띠 101동   경인로15가길 19  서울특별시 구로구 오류동
1  23500.0       디엔에스  고척로3가길 18-9  서울특별시 구로구 오류동
2  26400.0  다숲아띠 102동   경인로15가길 15  서울특별시 구로구 오류동
3  27500.0      가르텐캐슬  서해안로 2212-1  서울특별시 구로구 오류동
4  24000.0     동건 수목원  서해안로 2261-6  서울특별시 구로구 오류동",25761.7619
1153010900,12,39.86,3,1988,"   deposit building      road          dong
0   7000.0     우신빌라  오리로 1265  서울특별시 구로구 궁동
1   9000.0     우신빌라  오리로 1265  서울특별시 구로구 궁동
2   9000.0     우신빌라  오리로 1265  서울특별시 구로구 궁동
3   8500.0     우신빌라  오리로 1265  서울특별시 구로구 궁동
4   9000.0     우신빌라  오리로 1265  서울특별시 구로구 궁동",8572.707112
1153010800,23,77.4,3,1984,"   deposit         building       road           dong
0  14000.0             삼미주택   오리로10길 9  서울특별시 구로구 오류동
1  14000.0             삼미주택   오리로10길 9  서울특별시 구로구 오류동
2  15000.0  삼영빌라(다)(150-32)   오류로8길 48  서울특별시 구로구 오류동
3  20000.0             현대연립  오류로 62-15  서울특별시 구로구 오류동
4  19000.0       우석빌라(1,2동)   오류로8다길 3  서울특별시 구로구 오류동",13730
1153010800,18,58.62,4,1997,"   deposit      building           road           dong
0  10000.0        우정그린빌라    고척로3길 86-12  서울특별시 구로구 오류동
1  14000.0        월드별장빌라       오리로9길 42  서울특별시 구로구 오류동
2  17000.0            동신      경인로15나길 9  서울특별시 구로구 오류동
3  16500.0  은하맨션(270-74)  개봉로11나길 10-18  서울특별시 구로구 개봉동
4  20000.0  은하맨션(270-74)  개봉로11나길 10-18  서울특별시 구로구 개봉동",14103
1153010900,14,46.38,3,2016,"   deposit building           road          dong
0  21000.0    세종쉐르빌      오리로21길 40  서울특별시 구로구 궁동
1  12000.0    세종쉐르빌      오리로21길 40  서울특별시 구로구 궁동
2  20300.0    세종쉐르빌      오리로21길 40  서울특별시 구로구 궁동
3  28500.0     하나캐슬  오리로21가길 23-33  서울특별시 구로구 궁동
4  27000.0    퀸즈팰리스      부일로11길 77  서울특별시 구로구 궁동",18076.07111
1153010700,20,65.46,4,1975,"   deposit          building          road           dong
0  17000.0                왕궁      개봉로1길 22  서울특별시 구로구 개봉동
1  17000.0                왕궁      개봉로1길 22  서울특별시 구로구 개봉동
2  12000.0  미림빌라 가~라동(108-5)     고척로27마길 3  서울특별시 구로구 개봉동
3   9000.0  미림빌라 가~라동(108-5)     고척로27마길 2  서울특별시 구로구 개봉동
4  10000.0      이화연립(313-33)  개봉로1다길 13-25  서울특별시 구로구 개봉동",15796.25
1153010700,15,49.36,3,2012,"   deposit  building           road           dong
0  22000.0    베스트빌3차      개봉로14길 34  서울특별시 구로구 개봉동
1  18000.0     대우렉스빌    개봉로1나길 46-9  서울특별시 구로구 개봉동
2  20000.0  (323-20)     개봉로17마길 20  서울특별시 구로구 개봉동
3  17000.0      롯데타운      고척로18길 18  서울특별시 구로구 개봉동
4  19000.0     삼성빌리지  고척로21라길 42-10  서울특별시 구로구 개봉동",18853.25
1153010700,14,46.43,5,2002,"   deposit         building          road           dong
0  14000.0    유상빌리지(370-12)     개봉로1길 100  서울특별시 구로구 개봉동
1  12000.0    동우빌라(139-151)    경인로33다길 19  서울특별시 구로구 개봉동
2  12500.0          중앙아트힐A동  고척로52길 68-17  서울특별시 구로구 개봉동
3  12000.0  중앙힐타운-가(457-14)    고척로52마길 37  서울특별시 구로구 개봉동
4  11000.0  중앙힐타운-가(457-14)    고척로52마길 37  서울특별시 구로구 개봉동",12448.16667
1153010800,26,86.92,3,1985,"   deposit         building         road           dong
0  16000.0      화랑주택(108-1)       경인로 20  서울특별시 구로구 오류동
1  13000.0      화랑주택(108-1)       경인로 20  서울특별시 구로구 오류동
2  18000.0      화랑주택(108-1)       경인로 20  서울특별시 구로구 오류동
3   5000.0       성신빌라(가)(다)  오리로10길 44-6  서울특별시 구로구 오류동
4  15000.0  삼영빌라(다)(150-32)     오류로8길 48  서울특별시 구로구 오류동",14564.59524
1153010900,16,53.82,2,1996,"   deposit       building           road           dong
0  15000.0    동오그린빌라트101동      오리로17길 39   서울특별시 구로구 궁동
1  12500.0  우정그린빌라(157-6)     부일로17길 150   서울특별시 구로구 궁동
2  13000.0    정보빌라(282-4)       오리로 1296   서울특별시 구로구 궁동
3  17000.0     우덕맨션(81-4)  오리로21가길 23-31   서울특별시 구로구 궁동
4  15000.0     록지아트빌라105동      경인로 24-15  서울특별시 구로구 오류동",13894
1153010600,21,68.21,4,2003,"   deposit            building          road           dong
0  16000.0              태양뉴그린빌    고척로27가길 25  서울특별시 구로구 고척동
1  15500.0   한백아트리움 2차(319-12)    개봉로17바길 24  서울특별시 구로구 개봉동
2   9000.0  미건스위트빌(105동)417-16    개봉로23가길 95  서울특별시 구로구 개봉동
3  20000.0         대원빌라(340-7)  개봉로15길 46-11  서울특별시 구로구 개봉동
4  25000.0               명문뉴캐슬  개봉로11길 38-28  서울특별시 구로구 개봉동",16670
1153010200,17,57.45,2,1976,"   deposit      building            road            dong
0  15000.0      (171-10)      도림로20가길 36   서울특별시 구로구 구로동
1  10000.0          전원연립      신도림로11길 62  서울특별시 구로구 신도림동
2  11000.0  경남연립(1255-0)  구로중앙로28길 31-31   서울특별시 구로구 구로동
3  10000.0          삼영연립      신도림로11길 57  서울특별시 구로구 신도림동
4   8500.0          삼영연립      신도림로11길 57  서울특별시 구로구 신도림동",12965
1153010900,13,42.88,2,2018,"   deposit building          road          dong
0  26850.0    퀸즈팰리스     부일로11길 77  서울특별시 구로구 궁동
1  16000.0     로제트힐  부일로19길 50-10  서울특별시 구로구 궁동
2  26500.0    퀸즈팰리스     부일로11길 77  서울특별시 구로구 궁동
3  20500.0    세종쉐르빌     오리로21길 40  서울특별시 구로구 궁동
4  21000.0    세종쉐르빌     오리로21길 40  서울특별시 구로구 궁동",26342.5
