코드,평수,전용면적(㎡),층,건축년도,predicted
1153010700,9,29.99,3,2016,"   deposit  pricemon       building         road           dong
0   3000.0        50    드림캐슬(365-9)    개봉로3가길 40  서울특별시 구로구 개봉동
1   2000.0        50           팰리스뷰   경인로33다길 10  서울특별시 구로구 개봉동
2   3000.0        50          하은빌리지    경인로42길 26  서울특별시 구로구 개봉동
3   4000.0        50  로얄하이츠(264-29)  개봉로16길 18-6  서울특별시 구로구 개봉동
4   2500.0        60         트라움팰리스      고척로 194  서울특별시 구로구 고척동"
1153010800,15,48.6,3,2019,"   deposit  pricemon       building          road           dong
0    440.0        30          진영파크빌     경인로31길 28  서울특별시 구로구 개봉동
1  18000.0         6           로제트힐  부일로19길 50-10   서울특별시 구로구 궁동
2    483.0        44  엘림하우스(109-14)  고척로27길 81-14  서울특별시 구로구 개봉동
3   3700.0        12          진성홈타운    경인로33바길 24  서울특별시 구로구 개봉동
4    574.0        51          진성홈타운    경인로33바길 24  서울특별시 구로구 개봉동"
1153010200,4,14.76,5,2013,"   deposit  pricemon  building           road           dong
0    700.0        43       리츠빌  남부순환로 1082-72  서울특별시 구로구 구로동
1   2000.0        45  SP24삼정빌딩   구로동로47길 17-2  서울특별시 구로구 구로동
2   1000.0        45      동해빌딩        구로동로 77  서울특별시 구로구 구로동
3    500.0        45       리츠빌  남부순환로 1082-72  서울특별시 구로구 구로동
4   1000.0        45     신영우리힐     구로동로 214-2  서울특별시 구로구 구로동"
1153010700,9,29.82,5,2012,"   deposit  pricemon      building         road           dong
0   3000.0        50         하은빌리지    경인로42길 26  서울특별시 구로구 개봉동
1   3000.0        47        디자인하우스   개봉로12길 5-9  서울특별시 구로구 개봉동
2   2000.0        60         동부에이스  개봉로17나길 111  서울특별시 구로구 개봉동
3   3500.0        50  로얄하이츠(365-1)    개봉로3가길 14  서울특별시 구로구 개봉동
4   3000.0        50         하은빌리지    경인로42길 26  서울특별시 구로구 개봉동"
1153010700,9,30.34,4,2002,"   deposit  pricemon            building          road           dong
0    500.0        52   미건스위트빌(103동)417-9    개봉로23가길 89  서울특별시 구로구 개봉동
1   1000.0        42       동우빌라(139-151)    경인로33다길 19  서울특별시 구로구 개봉동
2   2000.0        50   한백아트빌라 나동(325-15)  개봉로17라길 20-5  서울특별시 구로구 개봉동
3   1000.0        45  미건스위트빌(102동)417-10    개봉로23가길 83  서울특별시 구로구 개봉동
4   6000.0        35  미건스위트빌(102동)417-10    개봉로23가길 83  서울특별시 구로구 개봉동"
1153010800,24,78.8,3,1983,"   deposit  pricemon   building       road           dong
0  12000.0        10       삼미주택   오리로10길 9  서울특별시 구로구 오류동
1    300.0        30       현대연립  오류로 62-15  서울특별시 구로구 오류동
2   3000.0        45  동양(171-1)  부일로11길 59   서울특별시 구로구 궁동
3   2000.0        45  동양(171-1)  부일로11길 51   서울특별시 구로구 궁동
4   3000.0        45  삼성주택(가나다)    오리로9길 6  서울특별시 구로구 오류동"
1153010800,15,49.51,2,2017,"   deposit  pricemon  building          road           dong
0   3991.0        12     진영에코빌    고척로21가길 28  서울특별시 구로구 개봉동
1   2344.0        20  (306-20)    개봉로17다길 52  서울특별시 구로구 개봉동
2    527.0        29     오성드림빌    고척로27다길 11  서울특별시 구로구 개봉동
3  11800.0        35      로제트힐  부일로19길 50-10   서울특별시 구로구 궁동
4   8000.0        66      로제트힐  부일로19길 50-10   서울특별시 구로구 궁동"
1153010800,21,67.86,2,1985,"   deposit  pricemon          building        road           dong
0   5000.0        60              현대연립   오류로 62-15  서울특별시 구로구 오류동
1   2000.0        50         동양(171-1)   부일로11길 64   서울특별시 구로구 궁동
2   2000.0        50         동양(171-1)   부일로11길 64   서울특별시 구로구 궁동
3   3000.0        60  미주빌라 A,B동(181-1)  개봉로23가길 54  서울특별시 구로구 개봉동
4   3000.0        40           서서울가든맨션  서해안로20길 41  서울특별시 구로구 오류동"
1153010600,6,19.76,4,2013,"   deposit  pricemon building           road           dong
0   7000.0        25      팰리채     경인로47다길 23  서울특별시 구로구 고척동
1    100.0        13    57-47  경인로47다길 11-16  서울특별시 구로구 고척동
2    100.0        13    57-47  경인로47다길 11-16  서울특별시 구로구 고척동
3   2000.0        50   위베스트2차     개봉로11가길 23  서울특별시 구로구 개봉동
4   1000.0        45      팰리채     경인로47다길 23  서울특별시 구로구 고척동"
1153010700,11,36.16,5,2015,"   deposit  pricemon       building         road           dong
0    300.0        22          라다팰리스   고척로21가길 72  서울특별시 구로구 개봉동
1   3000.0        50          하은빌리지    경인로42길 26  서울특별시 구로구 개봉동
2   3000.0        47         디자인하우스   개봉로12길 5-9  서울특별시 구로구 개봉동
3   2041.0        27         비젼파크타운    경서로5길 7-6  서울특별시 구로구 고척동
4   1999.0        26  개봉파크빌2(131-5)  경인로33마길 4-7  서울특별시 구로구 개봉동"
