코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1111017300,12,41.22,4,1994,"   deposit   building         road           dong
0  10000.0   (627-23)    낙산성곽동길 53  서울특별시 종로구 창신동
1  16000.0    (103-1)   대학로5길 20-3  서울특별시 종로구 연건동
2  12000.0   (210-91)  사직로1나길 43-1  서울특별시 종로구 행촌동
3  18000.0  (210-349)   사직로1라길 2-2  서울특별시 종로구 행촌동
4  14000.0   (210-96)  통일로12길 74-4  서울특별시 종로구 행촌동",12020
1111017400,11,35.98,3,2001,"   deposit  building         road            dong
0   8000.0    성준빌라6차  낙산성곽동길 41-1   서울특별시 종로구 창신동
1  19000.0  (206-17)   창경궁로26길 18  서울특별시 종로구 명륜4가
2  10000.0    (90-4)     혜화로3길 54  서울특별시 종로구 명륜1가
3  12600.0    (6-10)     동숭4다길 10   서울특별시 종로구 동숭동
4  18000.0    한서아트빌A  숭인동1가길 15-4   서울특별시 종로구 숭인동",9318.166667
1111018300,26,84.63,3,1986,"   deposit building       road           dong
0  35000.0   럭키평창빌라  평창11길 9-1  서울특별시 종로구 평창동
1  33000.0   현대평창빌라    평창14길 6  서울특별시 종로구 평창동
2  30000.0   럭키평창빌라  평창11길 9-1  서울특별시 종로구 평창동
3  38000.0   럭키평창빌라  평창11길 9-1  서울특별시 종로구 평창동
4  45000.0   현대평창빌라    평창14길 6  서울특별시 종로구 평창동",34520
1111016600,17,55.98,1,1993,"   deposit    building          road            dong
0  12000.0      (5-85)    성균관로15나길 3  서울특별시 종로구 명륜1가
1  17000.0        한일빌라      창신5라길 10   서울특별시 종로구 창신동
2  24500.0  보광아트빌라(나동)     숭인동1길 8-4   서울특별시 종로구 숭인동
3  12000.0       (6-6)    동숭4나길 23-4   서울특별시 종로구 동숭동
4  15000.0        우남빌라  세검정로9길 91-32   서울특별시 종로구 구기동",16141.66667
1111016800,13,42.99,2,1987,"   deposit  building         road           dong
0  13000.0    (25-2)      동숭3길 38  서울특별시 종로구 동숭동
1  15000.0    (25-2)      동숭3길 38  서울특별시 종로구 동숭동
2  15000.0  (23-807)  지봉로11길 33-5  서울특별시 종로구 창신동
3  14500.0    (2-17)     동숭4가길 29  서울특별시 종로구 동숭동
4  10000.0    (32-7)    지봉로12길 90  서울특별시 종로구 숭인동",13305
1111017300,15,50.72,2,1995,"   deposit   building          road            dong
0  10000.0    (1-841)       명륜2길 26  서울특별시 종로구 명륜3가
1  13000.0      (7-3)      동숭4다길 11   서울특별시 종로구 동숭동
2  15000.0    (108-3)      대학로5길 30   서울특별시 종로구 연건동
3   5000.0  (210-424)  통일로12길 64-10   서울특별시 종로구 행촌동
4  12000.0    (616-2)   낙산성곽동길 71-4   서울특별시 종로구 창신동",15420
1111016900,16,54.13,3,2018,"   deposit      building        road            dong
0  40000.0  아마레스휴B(16-5)  성균관로 62-13  서울특별시 종로구 명륜1가
1  40000.0  아마레스휴B(16-5)  성균관로 62-13  서울특별시 종로구 명륜1가
2  30000.0         로코코다움   지봉로12길 15   서울특별시 종로구 숭인동
3  30000.0         로코코다움   지봉로12길 15   서울특별시 종로구 숭인동
4  24000.0           연화빌    지봉로5길 47   서울특별시 종로구 창신동",35125
1111018300,23,76.24,2,2002,"   deposit building         road           dong
0  25000.0      천지인      평창길 3-1  서울특별시 종로구 평창동
1  20000.0      블루빌     백석동길 244  서울특별시 종로구 부암동
2  24000.0   한서아트빌A  숭인동1가길 15-4  서울특별시 종로구 숭인동
3  15000.0     오복빌라    숭인동1다길 22  서울특별시 종로구 숭인동
4  32000.0     동림주택     혜화로6길 47  서울특별시 종로구 혜화동",26519
1111018300,19,62.64,1,2003,"   deposit   building          road           dong
0  22000.0     햇빛잘드는집       평창1길 16  서울특별시 종로구 평창동
1  15000.0  샹그리라빌(나동)     평창24길 9-1  서울특별시 종로구 평창동
2  15000.0  샹그리라빌(나동)     평창24길 9-1  서울특별시 종로구 평창동
3  20000.0       가은빌라  진흥로22가길 32-6  서울특별시 종로구 구기동
4  20000.0       힐탑빌라     사직로1가길 11  서울특별시 종로구 행촌동",20163.66667
1111018100,12,39.45,3,1996,"   deposit   building          road            dong
0  13000.0     평창아트빌라       평창10길 9   서울특별시 종로구 평창동
1  13000.0  (210-422)   통일로12길 68-6   서울특별시 종로구 행촌동
2  13500.0  (210-424)  통일로12길 64-10   서울특별시 종로구 행촌동
3  12000.0    (117-1)     세검정로6다길 1   서울특별시 종로구 신영동
4   9000.0    (1-101)       명륜2길 43  서울특별시 종로구 명륜3가",14750
1111018400,23,76.34,1,2004,"   deposit     building          road           dong
0  25000.0        국제그린빌    자하문로40가길 5  서울특별시 종로구 부암동
1  22000.0   정한빌라(1,2호)     자하문로43길 6  서울특별시 종로구 부암동
2  28000.0  부암빌라(238-5)    자하문로38길 34  서울특별시 종로구 부암동
3   8000.0        카라하우스     종로63나길 13  서울특별시 종로구 숭인동
4  20000.0         가은빌라  진흥로22가길 32-6  서울특별시 종로구 구기동",25820
1111010900,14,46.02,4,1996,"   deposit building          road           dong
0  23000.0    옥인하우스     자하문로17길 6  서울특별시 종로구 옥인동
1  20000.0  (17-14)  자하문로21길 18-4  서울특별시 종로구 신교동
2  24000.0     신덕빌라        옥인길 49  서울특별시 종로구 누상동
3  23000.0   (24-0)    자하문로23길 18  서울특별시 종로구 신교동
4  18000.0   (49-0)     자하문로23길 7  서울특별시 종로구 신교동",20290
