코드,평,전용면적(㎡),층,건축년도,predicted
1111011000,17,56.12,4,2012,"   deposit  pricemon building         road           dong
0  15000.0        75  (145-0)       옥인길 14  서울특별시 종로구 옥인동
1  15000.0        50  (145-0)       옥인길 14  서울특별시 종로구 옥인동
2   3000.0        20     해오름빌      옥인3길 18  서울특별시 종로구 누상동
3   9000.0       100  아름드리청운빌  자하문로 115-18  서울특별시 종로구 청운동
4   3000.0        70  (222-3)   필운대로 34-20  서울특별시 종로구 누하동"
1111014600,16,53.76,2,2000,"   deposit  pricemon  building        road           dong
0   3000.0       100  (135-95)   창덕궁3나길 18  서울특별시 종로구 원서동
1   5000.0        60   (76-30)    창덕궁길 135  서울특별시 종로구 원서동
2   4500.0        50  (135-57)    창덕궁3가길 4  서울특별시 종로구 원서동
3   9000.0        25    (4-22)  창덕궁4길 45-3  서울특별시 종로구 원서동
4   2000.0        50     상원빌라트   창덕궁3가길 10  서울특별시 종로구 원서동"
1111010200,18,59.92,1,1996,"   deposit  pricemon   building         road           dong
0   3000.0       100     (50-4)    자하문로21길 6  서울특별시 종로구 신교동
1   6000.0        50       정희빌라     옥인6가길 62  서울특별시 종로구 누상동
2  16500.0        20       세유빌라   필운대로5나길 36  서울특별시 종로구 누상동
3  22000.0        20  (166-170)       옥인6길 2  서울특별시 종로구 누상동
4  12000.0        15     누상그린빌라  옥인6가길 10-12  서울특별시 종로구 누상동"
1111018300,25,83.79,-1,1988,"   deposit  pricemon building        road           dong
0   3000.0       120   삼성중앙빌라  자하문로42길 50  서울특별시 종로구 신영동
1  23000.0        20   현대구기빌라      비봉길 14  서울특별시 종로구 구기동
2  25000.0        30   현대구기빌라      비봉길 14  서울특별시 종로구 구기동
3  20000.0        40     금강주택  평창12길 8-22  서울특별시 종로구 평창동
4  20000.0        50     금강주택  평창12길 8-22  서울특별시 종로구 평창동"
1111017100,9,30.6,3,2001,"   deposit  pricemon  building        road            dong
0  10000.0        50  (206-17)  창경궁로26길 18  서울특별시 종로구 명륜4가
1  12000.0        25       이지빌      혜화로 42   서울특별시 종로구 혜화동
2   5000.0        40   (189-2)     동숭1길 20   서울특별시 종로구 동숭동
3   1000.0        48  (660-70)    낙산성곽동길 8   서울특별시 종로구 창신동
4   1000.0        60    (70-1)     대학로7길 3   서울특별시 종로구 연건동"
1111014900,4,14.56,4,1997,"   deposit  pricemon building        road           dong
0   1000.0        40  (86-23)    창덕궁4길 14  서울특별시 종로구 원서동
1   1000.0        50     엘빌라트  창덕궁3길 33-6  서울특별시 종로구 원서동
2   5000.0        65   (78-6)    계동길 73-4   서울특별시 종로구 계동
3   5000.0        15  (4-168)    동숭4라길 33  서울특별시 종로구 동숭동
4  14000.0        20   (92-5)     창덕궁3길 4  서울특별시 종로구 원서동"
1111016900,5,18.15,2,2013,"   deposit  pricemon        building          road            dong
0   1000.0        65             진덕재     성균관로4길 33  서울특별시 종로구 명륜2가
1   4000.0        25            선호아트   율곡로17길 7-10   서울특별시 종로구 이화동
2   1000.0        60  GREEN HOUSE B동    혜화로8길 13-6   서울특별시 종로구 혜화동
3   1000.0        60  GREEN HOUSE B동    혜화로8길 13-6   서울특별시 종로구 혜화동
4   5000.0        35          연지스테이트  창경궁로16나길 9-4   서울특별시 종로구 연지동"
1111017500,28,92.97,1,2004,"   deposit  pricemon building        road            dong
0   3000.0       100       이화   종로63다길 37   서울특별시 종로구 숭인동
1  17000.0        10     대경빌라    숭인동1다길 9   서울특별시 종로구 숭인동
2   3000.0        50     베네시안  성균관로 15-16  서울특별시 종로구 명륜3가
3   5000.0        80    산수빌리지    평창길 14-4   서울특별시 종로구 평창동
4   2000.0        90   부암스카이빌  백석동길 304-8   서울특별시 종로구 부암동"
1111016600,8,27.3,3,1997,"   deposit  pricemon building        road            dong
0   4000.0        20  (4-168)    동숭4라길 33   서울특별시 종로구 동숭동
1   2000.0        60   (65-1)   대학로5가길 18   서울특별시 종로구 연건동
2   1000.0        60    (7-5)   동숭4다길 5-1   서울특별시 종로구 동숭동
3   1000.0        60   (70-1)     대학로7길 3   서울특별시 종로구 연건동
4   1000.0        70   (86-8)  창경궁로33길 51  서울특별시 종로구 명륜2가"
1111017000,11,37.28,3,2003,"   deposit  pricemon  building        road            dong
0   7500.0        15    (90-4)    혜화로3길 54  서울특별시 종로구 명륜1가
1  10000.0        50  (206-17)  창경궁로26길 18  서울특별시 종로구 명륜4가
2   1000.0        48  (660-70)    낙산성곽동길 8   서울특별시 종로구 창신동
3  12000.0        25       이지빌      혜화로 42   서울특별시 종로구 혜화동
4   5000.0        40   (189-2)     동숭1길 20   서울특별시 종로구 동숭동"
