코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1114014400,16,52.24,2,1997,"   deposit    building          road            dong
0   8500.0        한성빌라   동호로25길 23-4  서울특별시 중구 장충동2가
1  19000.0   (193-151)     동호로25길 43  서울특별시 중구 장충동2가
2   6500.0        동원빌라  동호로25가길 31-1  서울특별시 중구 장충동2가
3  16000.0        주신빌라    동호로25가길 56  서울특별시 중구 장충동2가
4  20000.0  힐탑세라믹빌라 비동  동호로25가길 13-1  서울특별시 중구 장충동2가",10708
1114013800,13,44.23,2,1988,"   deposit building           road            dong
0  13000.0  (84-10)  퇴계로36나길 19-13   서울특별시 중구 필동2가
1  16000.0     주신빌라     동호로25가길 56  서울특별시 중구 장충동2가
2   8500.0     한성빌라    동호로25길 23-4  서울특별시 중구 장충동2가
3  15000.0   이공아트빌라    필동로8길 32-12    서울특별시 중구 예장동
4  10000.0  (48-11)      장충단로4길 37  서울특별시 중구 장충동1가",14768
1114016500,8,27.36,7,2019,"   deposit      building         road          dong
0  24500.0  소미골드라인(101동)  마장로18길 16-1  서울특별시 중구 황학동
1  24500.0  소미골드라인(101동)  마장로18길 16-1  서울특별시 중구 황학동
2  23000.0           더큐브    마장로16길 27  서울특별시 중구 황학동
3  27000.0          드림밸리   다산로8길 38-1  서울특별시 중구 신당동
4  23500.0  소미골드라인(101동)  마장로18길 16-1  서울특별시 중구 황학동",24075
1114016200,8,26.235,2,2014,"   deposit  building        road          dong
0  20000.0  (333-46)   다산로22길 34  서울특별시 중구 신당동
1  23000.0       블루빌   다산로18길 49  서울특별시 중구 신당동
2  20000.0    동원스위트홈   청구로21길 46  서울특별시 중구 신당동
3  21000.0    동원스위트홈   청구로21길 46  서울특별시 중구 신당동
4  19000.0   (413-2)  동호로20다길 28  서울특별시 중구 신당동",19745
1114016200,18,59.24,2,2001,"   deposit          building        road          dong
0  28000.0               그린빌  동호로7길 47-5  서울특별시 중구 신당동
1  20000.0            청구101동  청구로1길 43-1  서울특별시 중구 신당동
2  14000.0  로얄하이츠빌라(432-567)  동호로11마길 49  서울특별시 중구 신당동
3  15000.0    훼미리타운(432-604)  동호로11라길 40  서울특별시 중구 신당동
4  17000.0              혜인빌라  동호로11바길 48  서울특별시 중구 신당동",20930
1114016200,9,28.19,5,2017,"   deposit  building        road          dong
0  28000.0  (333-66)   다산로24길 14  서울특별시 중구 신당동
1  25000.0    청구퍼스트빌   청구로 83-14  서울특별시 중구 신당동
2  24000.0  (52-406)  다산로42가길 27  서울특별시 중구 신당동
3  20000.0      카사벨라   다산로22길 50  서울특별시 중구 신당동
4  27000.0      드림밸리  다산로8길 38-7  서울특별시 중구 신당동",25042
1114016500,9,28.11,4,2019,"   deposit building         road          dong
0  22000.0     베네스트  난계로11길 18-1  서울특별시 중구 황학동
1  21500.0     베네스트  난계로11길 18-1  서울특별시 중구 황학동
2  21000.0     베네스트  난계로11길 18-1  서울특별시 중구 황학동
3  27000.0     드림밸리   다산로8길 38-7  서울특별시 중구 신당동
4  27000.0     드림밸리   다산로8길 38-7  서울특별시 중구 신당동",23155
1114016200,9,28.33,2,2004,"   deposit            building          road          dong
0  12000.0  Petite ville (쁘띠빌)  청구로21길 33-10  서울특별시 중구 신당동
1  10000.0                브레스빌     다산로24길 46  서울특별시 중구 신당동
2  12000.0               글로리안빌     동호로8가길 41  서울특별시 중구 신당동
3  14000.0                정암빌딩      동호로8길 28  서울특별시 중구 신당동
4   9000.0              양지빌라A동    동호로11자길 25  서울특별시 중구 신당동",13960
1114014300,23,76.53,3,1995,"   deposit   building         road            dong
0  30000.0       각산타운    장충단로4길 46  서울특별시 중구 장충동1가
1  15000.0     이공아트빌라  필동로8길 32-12    서울특별시 중구 예장동
2  26000.0    (117-1)  퇴계로52길 12-6    서울특별시 중구 쌍림동
3  21000.0   (193-73)    동호로25길 20  서울특별시 중구 장충동2가
4  19000.0  (193-151)    동호로25길 43  서울특별시 중구 장충동2가",26215
1114016200,20,66.57,2,1992,"   deposit   building          road          dong
0  20000.0       한양빌라     동호로8다길 27  서울특별시 중구 신당동
1  28000.0      현대파레스  퇴계로88가길 8-21  서울특별시 중구 신당동
2  27000.0  한양주택 (가동)     다산로31길 61  서울특별시 중구 신당동
3  24000.0   백룡 퍼시픽맨션      다산로6길 36  서울특별시 중구 신당동
4  25000.0    현대로얄 빌라     청구로22길 16  서울특별시 중구 신당동",21625
