코드,평,전용면적(㎡),층,건축년도,predicted
1114014400,15,49.91,4,1998,"   deposit  pricemon   building         road            dong
0   2000.0        50  (193-482)  동호로25가길 7-1  서울특별시 중구 장충동2가
1   2000.0        50       한성빌라  동호로25길 23-4  서울특별시 중구 장충동2가
2    500.0        38      옵티칼빌딩    동호로25길 19  서울특별시 중구 장충동2가
3   1000.0        43       금성빌라   동호로25가길 40  서울특별시 중구 장충동2가
4   2500.0        50       한성빌라  동호로25길 23-4  서울특별시 중구 장충동2가"
1114017100,23,75.6,2,1998,"   deposit  pricemon   building          road          dong
0   9000.0        70    푸른마을11차     동호로11길 74  서울특별시 중구 신당동
1   1000.0        60  (432-510)  동호로11마길 16-1  서울특별시 중구 신당동
2   5000.0        30       장미주택  동호로17다길 2-10  서울특별시 중구 신당동
3  16000.0        20   (364-12)     동호로11길 51  서울특별시 중구 신당동
4  30000.0        15       청솔빌라     동호로8가길 51  서울특별시 중구 신당동"
1114016200,8,27.95,6,2011,"   deposit  pricemon building         road          dong
0   1000.0        67     태양맨션    다산로18길 10  서울특별시 중구 신당동
1   4000.0        60     남산빌딩   다산로8길 35-4  서울특별시 중구 신당동
2  10000.0        46    노블레스빌  청구로19길 9-14  서울특별시 중구 신당동
3   5000.0        65    노블레스빌  청구로19길 9-14  서울특별시 중구 신당동
4   1000.0        75     다온빌딩    난계로11길 14  서울특별시 중구 황학동"
1114014400,6,19.43,2,2003,"   deposit  pricemon building          road            dong
0   2000.0        55  (191-8)     동호로 276-9  서울특별시 중구 장충동2가
1   1000.0        50     드림타운    동호로25가길 47  서울특별시 중구 장충동2가
2   1000.0        50      태영빌    동호로25가길 31  서울특별시 중구 장충동2가
3   2000.0        57  (191-8)     동호로 276-9  서울특별시 중구 장충동2가
4   1000.0        50     부자빌라  동호로25길 37-46  서울특별시 중구 장충동2가"
1114016200,15,48.59,-1,1996,"   deposit  pricemon  building          road          dong
0   3000.0        45      성진주택      동호로8길 50  서울특별시 중구 신당동
1   5000.0        30   (323-2)  다산로28길 50-13  서울특별시 중구 신당동
2   5000.0        60  뉴-밀레니엄 빌     동호로8가길 34  서울특별시 중구 신당동
3   5000.0        30      장미주택  동호로17다길 2-10  서울특별시 중구 신당동
4   1000.0        45      세원빌라  동호로11자길 15-1  서울특별시 중구 신당동"
1114016200,7,24.25,4,2001,"   deposit  pricemon   building        road          dong
0   1000.0        45       브레스빌   다산로24길 46  서울특별시 중구 신당동
1   5000.0        50       보성빌딩     다산로6길 3  서울특별시 중구 신당동
2   2000.0        40       서울빌라  동호로11마길 10  서울특별시 중구 신당동
3   1000.0        80       정암빌딩    동호로8길 28  서울특별시 중구 신당동
4   2000.0        40  (432-669)  동호로11다길 25  서울특별시 중구 신당동"
1114016500,5,17.71,9,2015,"   deposit  pricemon        building       road          dong
0   3000.0        75  청계휴먼타운(1542-0)  마장로15길 25  서울특별시 중구 황학동
1   1000.0        50             아미인  난계로11길 16  서울특별시 중구 황학동
2  13500.0        20             아미인  난계로11길 16  서울특별시 중구 황학동
3  10000.0        30             아미인  난계로11길 16  서울특별시 중구 황학동
4   3000.0        60            유진빌딩    다산로 239  서울특별시 중구 무학동"
1114013600,4,14.66,2,2014,"   deposit  pricemon  building         road            dong
0   2000.0        60   (22-22)    퇴계로50길 53    서울특별시 중구 묵정동
1   2000.0        50   아시안프라이즈   장충단로6가길 29  서울특별시 중구 장충동1가
2   5000.0        40  (112-30)    퇴계로56가길 8  서울특별시 중구 장충동2가
3   1000.0        50    (40-1)  동호로30길 31-9  서울특별시 중구 장충동2가
4   2000.0        60   아시안프라이즈   장충단로6가길 29  서울특별시 중구 장충동1가"
1114016200,11,36.32,1,2003,"   deposit  pricemon    building          road          dong
0   2500.0        45  (432-1928)    동호로11라길 41  서울특별시 중구 신당동
1  12000.0        40        동복맨숀     동호로15길 24  서울특별시 중구 신당동
2   1000.0        60        약수원빌    동호로8길 28-5  서울특별시 중구 신당동
3   1000.0        45        세원빌라  동호로11자길 15-1  서울특별시 중구 신당동
4   7000.0        30        청솔빌라    동호로11자길 21  서울특별시 중구 신당동"
1114016200,8,27.74,3,2015,"   deposit  pricemon   building       road          dong
0   2000.0        90        블루빌  다산로18길 49  서울특별시 중구 신당동
1   8000.0        50      민 하우스   청구로10길 7  서울특별시 중구 신당동
2   2000.0        80         공감  동호로14길 32  서울특별시 중구 신당동
3   5000.0        75  casa rojo  다산로22길 13  서울특별시 중구 신당동
4   4000.0        75       카사벨라  다산로22길 50  서울특별시 중구 신당동"
