코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1126010100,8,25.38,1,1995,"   deposit  building           road           dong
0   8500.0  (1175-0)      겸재로48길 18  서울특별시 중랑구 면목동
1   9000.0      현대빌라  용마산로45길 66-40  서울특별시 중랑구 면목동
2   6000.0   (53-12)  용마산로86길 21-36  서울특별시 중랑구 면목동
3   6000.0   (53-12)  용마산로86길 21-36  서울특별시 중랑구 면목동
4  10000.0  (175-50)   동일로95가길 10-8  서울특별시 중랑구 면목동",9090
1126010500,9,29.78,3,2018,"   deposit building        road           dong
0  16000.0    현대아트빌   상봉로26길 50  서울특별시 중랑구 망우동
1  16500.0    현대아트빌   상봉로26길 50  서울특별시 중랑구 망우동
2  22500.0    명문아트빌  용마산로 442-5  서울특별시 중랑구 망우동
3  22500.0    명문아트빌  용마산로 442-5  서울특별시 중랑구 망우동
4  16000.0    현대아트빌   상봉로26길 50  서울특별시 중랑구 망우동",19339.16667
1126010100,16,54.34,3,2013,"   deposit building          road           dong
0  18000.0    하워드빌라   용마산로36길 9-5  서울특별시 중랑구 면목동
1  25000.0    알렌타운홈       겸재로 226  서울특별시 중랑구 면목동
2  23000.0   예그린 B동     면목로65길 33  서울특별시 중랑구 면목동
3  19500.0    하워드빌라   용마산로36길 9-5  서울특별시 중랑구 면목동
4  25000.0   금성프라임빌  용마산로70길 15-4  서울특별시 중랑구 면목동",20805
1126010100,8,27.5,2,2015,"   deposit building           road           dong
0  14500.0    동영하우스   면목로56나길 26-8  서울특별시 중랑구 면목동
1  18000.0    시원하우스  용마산로36길 15-10  서울특별시 중랑구 면목동
2  17000.0    리움하우스      면목로65길 52  서울특별시 중랑구 면목동
3  18000.0      피랜채     겸재로27가길 14  서울특별시 중랑구 면목동
4  15000.0    미소빌리지      면목로79길 20  서울특별시 중랑구 면목동",12439.31333
1126010500,15,48.39,2,1985,"   deposit  building          road           dong
0  11500.0    비룡빌라다동    망우로74가길 13  서울특별시 중랑구 망우동
1  11500.0    비룡빌라다동    망우로74가길 13  서울특별시 중랑구 망우동
2  18000.0  퍼시픽하우스B동  봉우재로64길 53-4  서울특별시 중랑구 망우동
3  12000.0   (384-7)  용마산로112나길 53  서울특별시 중랑구 망우동
4   1000.0      현대빌라     망우로74길 58  서울특별시 중랑구 망우동",11981.66667
1126010400,9,29.26,5,2017,"   deposit  building           road          dong
0  18000.0  (171-26)      공릉로 38-16  서울특별시 중랑구 묵동
1  17000.0     한일그랑빌     중랑천로50길 19  서울특별시 중랑구 묵동
2  17700.0     드림하우스  숙선옹주로3길 20-25  서울특별시 중랑구 묵동
3  20000.0      봉화빌딩     공릉로12나길 12  서울특별시 중랑구 묵동
4  18000.0  VERAHAUS     중랑역로 272-3  서울특별시 중랑구 묵동",17699
1126010100,9,28.61,4,2013,"   deposit building         road           dong
0  15000.0      유진빌    겸재로29길 66  서울특별시 중랑구 면목동
1  16500.0    플로렌스빌    면목로66길 32  서울특별시 중랑구 면목동
2  11500.0    바움하우스    면목로80길 13  서울특별시 중랑구 면목동
3  14000.0    에코팰리스  상봉로19길 5-11  서울특별시 중랑구 면목동
4  15500.0    파인빌라트    상봉로15길 47  서울특별시 중랑구 면목동",14880
1126010100,8,28.06,4,2019,"   deposit building       road           dong
0  25000.0     뉴프라임   겸재로4길 13  서울특별시 중랑구 면목동
1  26000.0     뉴프라임   겸재로4길 13  서울특별시 중랑구 면목동
2  15500.0      도경빌  면목로76길 35  서울특별시 중랑구 면목동
3  24000.0     현진타워    면목로 258  서울특별시 중랑구 면목동
4  24000.0     현진타워    면목로 258  서울특별시 중랑구 면목동",25148.83333
1126010200,8,25.75,7,2018,"   deposit building           road           dong
0  13000.0      공감채  봉우재로33길 63-13  서울특별시 중랑구 상봉동
1  19000.0    대영리치빌    봉우재로37가길 13  서울특별시 중랑구 상봉동
2  20000.0    대성쉐르빌   면목로92라길 15-2  서울특별시 중랑구 상봉동
3  22900.0    상봉팰리스     봉우재로33길 60  서울특별시 중랑구 상봉동
4  19000.0    블레싱 빌      망우로48길 32  서울특별시 중랑구 상봉동",19676
1126010200,5,17.32,4,2012,"   deposit  building          road           dong
0   7000.0       동진빌  중랑천로10길 57-5  서울특별시 중랑구 상봉동
1  11000.0  (115-67)   면목로95길 12-4  서울특별시 중랑구 상봉동
2  10000.0     뉴팰리스빌  중랑천로10길 43-3  서울특별시 중랑구 상봉동
3   8900.0       씨티빌  중랑천로12길 55-6  서울특별시 중랑구 상봉동
4   7000.0    삼호오피스빌  동일로111길 13-2  서울특별시 중랑구 상봉동",7833
