코드,평,전용면적(㎡),층,건축년도,predicted
1126010400,12,39.59,4,2016,"   deposit  pricemon        building           road          dong
0   5000.0        60         토토하우스A동     중랑역로43길 22  서울특별시 중랑구 묵동
1  10000.0        50  하우젠 한아(181-22)  동일로152길 26-19  서울특별시 중랑구 묵동
2   2500.0        75            현대캐슬       중랑역로 140  서울특별시 중랑구 묵동
3  17000.0        15            골드캐슬  숙선옹주로3길 20-33  서울특별시 중랑구 묵동
4   5000.0        50   드림하우스(237-79)   봉화산로3길 234-6  서울특별시 중랑구 묵동"
1126010100,14,45.88,4,2016,"   deposit  pricemon   building          road           dong
0   2000.0        80      골든네스트  용마산로72길 24-9  서울특별시 중랑구 면목동
1   2000.0        62  (172-100)   동일로91길 6-12  서울특별시 중랑구 면목동
2   6000.0        15  (371-168)   면목로28길 17-4  서울특별시 중랑구 면목동
3   4000.0        80      미소빌리지     면목로79길 20  서울특별시 중랑구 면목동
4   6000.0        55  THE 테라 나동     겸재로46길 37  서울특별시 중랑구 면목동"
1126010100,15,48.78,5,2008,"   deposit  pricemon   building         road           dong
0  10000.0        30       중앙아트    겸재로44길 37  서울특별시 중랑구 면목동
1   4500.0        80  미소빌리지(8차)    면목로52길 19  서울특별시 중랑구 면목동
2  14000.0        30      동원하이빌     겸재로48길 7  서울특별시 중랑구 면목동
3  10000.0        30      진주하이츠    겸재로10길 33  서울특별시 중랑구 면목동
4  12000.0        20       동일빌라  망우로30길 45-8  서울특별시 중랑구 면목동"
1126010600,12,40.83,5,2019,"   deposit  pricemon building        road           dong
0   9900.0        19   여성안심주택  신내역로1길 137  서울특별시 중랑구 신내동
1    405.0        31    한일씨티빌  봉우재로71길 69  서울특별시 중랑구 망우동
2    300.0        30   타워파크주택  용마산로99길 21  서울특별시 중랑구 망우동
3    405.0        42    한일씨티빌  봉우재로71길 69  서울특별시 중랑구 망우동
4   2405.0        32    한일씨티빌  봉우재로71길 69  서울특별시 중랑구 망우동"
1126010600,12,40.83,4,2019,"   deposit  pricemon  building        road           dong
0   8500.0        25    여성안심주택  신내역로1길 137  서울특별시 중랑구 신내동
1   2405.0        32     한일씨티빌  봉우재로71길 69  서울특별시 중랑구 망우동
2    405.0        42     한일씨티빌  봉우재로71길 69  서울특별시 중랑구 망우동
3   7000.0        40  (420-39)    용마공원로 51  서울특별시 중랑구 망우동
4   7100.0        22    여성안심주택  신내역로1길 137  서울특별시 중랑구 신내동"
1126010300,5,17.76,4,2018,"   deposit  pricemon     building          road           dong
0   1000.0        53        미래데시앙     중랑역로6길 24  서울특별시 중랑구 중화동
1    500.0        36        햇살좋은집    봉화산로 57-16  서울특별시 중랑구 중화동
2    500.0        35  이레주택(293-8)  동일로126길 13-4  서울특별시 중랑구 중화동
3   1000.0        50          세영빌    봉화산로15길 32  서울특별시 중랑구 중화동
4   2000.0        40       (91-1)   봉화산로27가길 22  서울특별시 중랑구 중화동"
1126010300,8,24.94,2,2015,"   deposit  pricemon     building          road           dong
0   4000.0        40     (299-76)   동일로123나길 24  서울특별시 중랑구 중화동
1  10000.0        27         행복자리   동일로144가길 13  서울특별시 중랑구 중화동
2   3000.0        35  정원팰리스(83-6)  동일로136가길 7-3  서울특별시 중랑구 중화동
3  14000.0         5          더리가    동일로136가길 9  서울특별시 중랑구 중화동
4   2000.0        40       (91-1)   봉화산로27가길 22  서울특별시 중랑구 중화동"
1126010100,12,40.53,2,2014,"   deposit  pricemon       building        road           dong
0   3000.0        40  JHOUSE(64-34)   용마산로79길 4  서울특별시 중랑구 면목동
1   3000.0        70       영우오렌지하우스   면목로57길 12  서울특별시 중랑구 면목동
2   5000.0        50         무지개하우스   면목로79길 16  서울특별시 중랑구 면목동
3   8000.0        25           풀하우스   상봉로17길 30  서울특별시 중랑구 면목동
4   5000.0        60           더하우스  면목로44나길 44  서울특별시 중랑구 면목동"
1126010500,7,22.91,5,2017,"   deposit  pricemon     building            road           dong
0  10000.0        15        힐링하우스  용마산로115가길 22-5  서울특별시 중랑구 망우동
1   2000.0        45     (432-71)   용마산로96길 69-15  서울특별시 중랑구 망우동
2   4000.0        45         연호빌딩      봉우재로 219-1  서울특별시 중랑구 망우동
3  18000.0        10  베스트빌(113-6)  용마산로100길 81-10  서울특별시 중랑구 망우동
4  13000.0        20       세종에코그린   동일로152길 40-14   서울특별시 중랑구 묵동"
1126010500,15,50.49,1,2002,"   deposit  pricemon   building           road           dong
0   8000.0        20   망우동다세대주택      망우로66길 43  서울특별시 중랑구 망우동
1   4000.0        50       명상빌라     봉우재로59길 12  서울특별시 중랑구 망우동
2   2000.0        50   (152-25)    용마산로112길 70  서울특별시 중랑구 망우동
3   2730.0        45   (152-43)  용마산로112길 68-3  서울특별시 중랑구 망우동
4   1000.0        40  (243-140)    중랑역로 175-14   서울특별시 중랑구 묵동"
1126010400,12,40.69,5,2015,"   deposit  pricemon        building          road          dong
0   5000.0        50   드림하우스(237-79)  봉화산로3길 234-6  서울특별시 중랑구 묵동
1   3000.0        80      브라운캐슬(395)      중랑역로 225  서울특별시 중랑구 묵동
2  10000.0        50  묵동쉐르빌(244-166)   동일로157가길 15  서울특별시 중랑구 묵동
3  10000.0        35            송림타워     공릉로2가길 45  서울특별시 중랑구 묵동
4   9000.0        30       (122-197)     동일로154길 8  서울특별시 중랑구 묵동"
1126010100,14,45.835,2,2010,"   deposit  pricemon       building        road           dong
0  12500.0         8     오페라하우스(2차)  용마산로79길 34  서울특별시 중랑구 면목동
1   3000.0        70       영우오렌지하우스   면목로57길 12  서울특별시 중랑구 면목동
2   3000.0        40  JHOUSE(64-34)   용마산로79길 4  서울특별시 중랑구 면목동
3   5000.0        40          서원펠리스   면목로66길 21  서울특별시 중랑구 면목동
4   2000.0        45           스카이빌   동일로95나길 3  서울특별시 중랑구 면목동"
1126010100,12,39.87,2,1992,"   deposit  pricemon    building          road           dong
0   4500.0        50  현대하이츠빌라(라)     면목로72길 54  서울특별시 중랑구 면목동
1   1000.0        35        한양연립   봉우재로20가길 58  서울특별시 중랑구 면목동
2   1000.0        58        진성빌라    용마산로52길 13  서울특별시 중랑구 면목동
3   5000.0        40        현대파크  용마산로86길 9-28  서울특별시 중랑구 면목동
4   4000.0        40        동현빌라   면목로79길 8-30  서울특별시 중랑구 면목동"
1126010400,4,12.4,4,2010,"   deposit  pricemon  building        road          dong
0    500.0        40  MAI BAUM  동일로148길 28  서울특별시 중랑구 묵동
1   2000.0        40        성우  동일로151길 11  서울특별시 중랑구 묵동
2   2000.0        40  (171-29)   공릉로2가길 47  서울특별시 중랑구 묵동
3    500.0        30     영림하우스  동일로144길 49  서울특별시 중랑구 묵동
4    500.0        45  (171-29)   공릉로2가길 47  서울특별시 중랑구 묵동"
