코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1168010600,32,105.75,6,2003,"   deposit building          road           dong
0  49000.0  (954-8)  삼성로76길 23-18  서울특별시 강남구 대치동
1  70000.0      파파빌     삼성로76길 21  서울특별시 강남구 대치동
2  50000.0  (955-4)   역삼로83길 22-1  서울특별시 강남구 대치동
3  37000.0     오렌지빌     선릉로135길 5  서울특별시 강남구 논현동
4  35000.0    월담복지관    논현로158길 19  서울특별시 강남구 신사동",50485
1168010300,13,43.23,4,2018,"   deposit    building         road           dong
0  39000.0       로얄팰리체   개포로17길 9-7  서울특별시 강남구 개포동
1  40000.0   개포동삼성베스트빌    개포로28길 14  서울특별시 강남구 개포동
2  37000.0         다인힐     논현로4길 25  서울특별시 강남구 개포동
3  48000.0  로얄팰리체2차 A동  논현로16길 10-7  서울특별시 강남구 개포동
4  23000.0      1187-8     논현로8길 17  서울특별시 강남구 개포동",40211.65
1168010800,6,18.84,2,2012,"   deposit        building          road           dong
0  15000.0   라인빌리지(149-18)  논현로123길 52-5  서울특별시 강남구 논현동
1  15000.0  THECORNERSTONE  논현로123길 31-1  서울특별시 강남구 논현동
2  16500.0       BLESSHOME  봉은사로49길 37-7  서울특별시 강남구 논현동
3  20000.0       BLESSHOME  봉은사로49길 37-7  서울특별시 강남구 논현동
4  10500.0        (217-32)    논현로122길 25  서울특별시 강남구 논현동",14295
1168010100,20,65.13,3,1989,"   deposit       building         road           dong
0  34000.0       (828-13)   테헤란로10길 38  서울특별시 강남구 역삼동
1  30000.0           노아빌라    논현로68길 32  서울특별시 강남구 역삼동
2  30000.0        (811-1)  강남대로110길 22  서울특별시 강남구 역삼동
3  33000.0  현대하이츠(747-17)     역삼로23길 8  서울특별시 강남구 역삼동
4  30000.0           일산빌라    개포로38길 14  서울특별시 강남구 개포동",34052
1168010500,10,32.24,2,2002,"   deposit building          road           dong
0  16000.0  초석씨엘하우징  봉은사로73길 17-8  서울특별시 강남구 삼성동
1  19000.0   뉴그린하우스    삼성로107길 36  서울특별시 강남구 삼성동
2  17000.0  초석씨엘하우징  봉은사로73길 17-6  서울특별시 강남구 삼성동
3  22500.0      로얄빌    봉은사로67길 46  서울특별시 강남구 삼성동
4  17000.0      벨르빌    삼성로107길 17  서울특별시 강남구 삼성동",16570
1168010600,8,26.62,3,2008,"   deposit         building         road           dong
0  20000.0  Leaders Ville Ⅱ  삼성로71길 33-6  서울특별시 강남구 대치동
1  13000.0         (955-17)  삼성로76길 23-7  서울특별시 강남구 대치동
2  23000.0         (911-20)    삼성로71길 38  서울특별시 강남구 대치동
3  14500.0              아트빌   논현로157길 50  서울특별시 강남구 신사동
4  15000.0          대치동공동주택    삼성로69길 27  서울특별시 강남구 대치동",15447
1168010400,64,210.78,1,1992,"   deposit    building        road           dong
0  73600.0        덕천빌라   학동로11길 22  서울특별시 강남구 논현동
1  67000.0   월드빌리지(A동)  테헤란로16길 31  서울특별시 강남구 역삼동
2  90000.0     논현하이츠빌라   학동로25길 15  서울특별시 강남구 논현동
3  90000.0  논현빌라(42-1)   학동로11길 18  서울특별시 강남구 논현동
4  95000.0  진흥빌라(64-2)   학동로81길 24  서울특별시 강남구 청담동",91192
1168010600,9,29.81,4,2016,"   deposit  building         road           dong
0  28000.0       제이원    삼성로69길 17  서울특별시 강남구 대치동
1  30000.0  팰리스빌(대치)  삼성로71길 27-5  서울특별시 강남구 대치동
2  20500.0      진빌리지    봉은사로70길 9  서울특별시 강남구 삼성동
3   8000.0        희성   선릉로112길 31  서울특별시 강남구 삼성동
4  30000.0  (912-22)    역삼로 464-1  서울특별시 강남구 대치동",28980
1168010500,26,84.735,3,1987,"   deposit building         road           dong
0  36000.0     청라빌라  영동대로114길 19  서울특별시 강남구 삼성동
1  30000.0     한양빌라   도산대로85길 19  서울특별시 강남구 청담동
2  35000.0     경남타운   영동대로71길 18  서울특별시 강남구 대치동
3  35000.0     경남타운   영동대로71길 18  서울특별시 강남구 대치동
4  40000.0     대현빌라   봉은사로63길 37  서울특별시 강남구 삼성동",43568
1168011800,36,119.33,4,2005,"   deposit  building           road           dong
0  40000.0  (947-12)       도곡로2길 45  서울특별시 강남구 도곡동
1  50000.0     도곡필로스   남부순환로381길 56  서울특별시 강남구 도곡동
2  52000.0     도곡하이빌  남부순환로363길 9-6  서울특별시 강남구 도곡동
3  53000.0       탑빌라       도곡로2길 42  서울특별시 강남구 도곡동
4  43000.0   현대탑스빌B동      논현로34길 12  서울특별시 강남구 도곡동",58791.66667
