코드,평,전용면적(㎡),층,건축년도,predicted
1168010100,11,36.67,4,2003,"   deposit  pricemon       building          road           dong
0   5000.0        50         월드쉐르빌2     논현로71길 36  서울특별시 강남구 역삼동
1   3000.0        65  초이스빌라(723-22)  테헤란로34길 33-5  서울특별시 강남구 역삼동
2  10000.0        35           자연의집     논현로68길 13  서울특별시 강남구 역삼동
3   9000.0        40           자연의집     논현로68길 13  서울특별시 강남구 역삼동
4   1000.0        95           폴라리스   논현로64길 31-6  서울특별시 강남구 역삼동"
1168010800,9,30.02,2,2013,"   deposit  pricemon          building            road           dong
0   2000.0       110               메리힐       학동로25길 27  서울특별시 강남구 논현동
1   5000.0       105           (271-9)      봉은사로47길 21  서울특별시 강남구 논현동
2   3000.0       110          (220-19)  논현로120길 220-19  서울특별시 강남구 논현동
3  17000.0        20  블루하우스(Bluehouse)   봉은사로49길 21-10  서울특별시 강남구 논현동
4    500.0        95             유준하우스     강남대로126길 22  서울특별시 강남구 논현동"
1168010300,6,20.38,2,2013,"   deposit  pricemon  building           road           dong
0   1000.0        55     드림하우스       개포로20길 9  서울특별시 강남구 개포동
1   3000.0        50     드림하우스       개포로20길 9  서울특별시 강남구 개포동
2   3000.0        30  (660-35)        언주로6길 4  서울특별시 강남구 개포동
3   1000.0        70   (109-3)  도산대로99길 28-20  서울특별시 강남구 청담동
4   5000.0        43    (35-9)   삼성로135길 37-4  서울특별시 강남구 청담동"
1168010500,5,15.28,3,2012,"   deposit  pricemon       building           road           dong
0   1000.0        62          아이리스빌    영동대로112길 55  서울특별시 강남구 삼성동
1   1000.0        75     영빌딩(153-2)  삼성로100길 23-15  서울특별시 강남구 삼성동
2   2000.0        70     영빌딩(153-2)  삼성로100길 23-15  서울특별시 강남구 삼성동
3   1000.0        70          아이리스빌    영동대로112길 55  서울특별시 강남구 삼성동
4  10000.0        20  창전유니빌(901-68)   삼성로75길 26-14  서울특별시 강남구 대치동"
1168010100,10,34.33,3,1996,"   deposit  pricemon       building          road           dong
0   9000.0        17  아미하우스(695-11)    테헤란로55길 31  서울특별시 강남구 역삼동
1   1000.0        85           신한빌라    언주로104길 41  서울특별시 강남구 역삼동
2   1000.0        55           금영빌딩    테헤란로51길 23  서울특별시 강남구 역삼동
3    100.0        80       (817-28)  테헤란로1길 28-13  서울특별시 강남구 역삼동
4   1000.0        60            골든빌     논현로70길 32  서울특별시 강남구 역삼동"
1168010600,16,51.84,4,2003,"   deposit  pricemon  building          road           dong
0  11000.0        60      진우빌라    선릉로66길 5-1  서울특별시 강남구 대치동
1   3000.0       110  (905-12)      역삼로71길 3  서울특별시 강남구 대치동
2   3000.0       115       J빌딩  선릉로82길 40-14  서울특별시 강남구 대치동
3  26000.0        50        탑빌     역삼로64길 17  서울특별시 강남구 대치동
4  25000.0        40       파인빌  삼성로76길 23-10  서울특별시 강남구 대치동"
1168010800,5,18,5,2013,"   deposit  pricemon building           road           dong
0    500.0        60     아이파크    강남대로120길 70  서울특별시 강남구 논현동
1   1000.0        65  뮴(muum)    강남대로124길 27  서울특별시 강남구 논현동
2    500.0        50      우림빌    강남대로120길 16  서울특별시 강남구 논현동
3   3700.0        40  (188-6)    강남대로120길 74  서울특별시 강남구 논현동
4  10000.0        20      파크빌  언주로114길 29-11  서울특별시 강남구 논현동"
1168010100,7,23.97,2,2002,"   deposit  pricemon building         road           dong
0    120.0        75    소라아트빌   테헤란로22길 63  서울특별시 강남구 역삼동
1    500.0        55     정동빌라    언주로75길 31  서울특별시 강남구 역삼동
2    300.0        95      탑캐슬   테헤란로30길 36  서울특별시 강남구 역삼동
3   3000.0        65       h빌  언주로67길 21-1  서울특별시 강남구 역삼동
4   1000.0        60      아람빌   봉은사로48길 32  서울특별시 강남구 역삼동"
1168010500,6,19.54,1,2013,"   deposit  pricemon    building           road           dong
0   1000.0        80       티7하우스     역삼로74길 5-1  서울특별시 강남구 대치동
1   1000.0        60  삼성빌(46-22)  삼성로115길 47-10  서울특별시 강남구 삼성동
2   1500.0        70     힐스테이트5차   삼성로115길 37-4  서울특별시 강남구 삼성동
3  13000.0        15      (31-4)     봉은사로59길 32  서울특별시 강남구 삼성동
4   1000.0        70         샤론빌       삼성로61길 4  서울특별시 강남구 대치동"
1168010600,9,29.64,3,2004,"   deposit  pricemon  building       road           dong
0   2000.0        80       리치빌  선릉로62길 39  서울특별시 강남구 대치동
1  12000.0        25       파인힐  역삼로81길 25  서울특별시 강남구 대치동
2   2000.0        60  (954-10)  역삼로87길 19  서울특별시 강남구 대치동
3   3000.0        55  (975-19)  도곡로83길 14  서울특별시 강남구 대치동
4   1000.0        73      재상빌라   역삼로71길 5  서울특별시 강남구 대치동"
