코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1162010100,19,61.66,2,2004,"   deposit     building        road           dong
0  25000.0         도원맨션     봉천로 352  서울특별시 관악구 봉천동
1  24000.0        화인빌리지   인헌12다길 12  서울특별시 관악구 봉천동
2  23000.0    (1667-66)  봉천로55길 3-8  서울특별시 관악구 봉천동
3  27500.0  백년빌라(946-7)    장군봉2길 21  서울특별시 관악구 봉천동
4  24000.0       우남하이츠빌    인헌19길 27  서울특별시 관악구 봉천동",23920
1162010200,13,42.06,5,2017,"   deposit building       road           dong
0  33000.0     클래스트  법원단지3길 39  서울특별시 관악구 신림동
1  25000.0     도레맨션  난곡로51길 21  서울특별시 관악구 신림동
2  27200.0   성강케렌시아  법원단지2길 21  서울특별시 관악구 신림동
3  27200.0   성강케렌시아  법원단지2길 21  서울특별시 관악구 신림동
4  27200.0   펠리체빌리지  난곡로24길 64  서울특별시 관악구 신림동",27954
1162010100,19,64.06,1,2002,"   deposit       building        road           dong
0  25000.0          탠디하우스    인헌21길 20  서울특별시 관악구 봉천동
1  24500.0  관악맨션(180-176)    인헌19길 30  서울특별시 관악구 봉천동
2  22000.0      (900-102)   봉천로33길 30  서울특별시 관악구 봉천동
3  27000.0          우영산타빌  낙성대역14길 29  서울특별시 관악구 봉천동
4  22000.0  세신주택(180-232)   인헌길 151-8  서울특별시 관악구 봉천동",20500
1162010200,9,28.88,4,2016,"   deposit building         road           dong
0  20000.0    로얄팰리스    쑥고개로1가길 4  서울특별시 관악구 신림동
1  20000.0    로얄팰리스    쑥고개로1가길 4  서울특별시 관악구 신림동
2  21000.0  1429-19   신림로71길 6-6  서울특별시 관악구 신림동
3  11500.0   크나큰하우스  신림동5가길 31-7  서울특별시 관악구 신림동
4  20000.0  1429-19   신림로71길 6-6  서울특별시 관악구 신림동",20864.25
1162010200,6,20.65,4,2017,"   deposit building         road           dong
0  15000.0     휴플러스       서원6길 6  서울특별시 관악구 신림동
1  14700.0     휴플러스       서원6길 6  서울특별시 관악구 신림동
2  15000.0     산마루빌    문성로30길 39  서울특별시 관악구 신림동
3  18000.0    힐플레이스    신림로58길 43  서울특별시 관악구 신림동
4  12000.0   (89-1)  신림로56길 16-3  서울특별시 관악구 신림동",15743.9
1162010100,4,12.18,4,2012,"   deposit       building       road           dong
0  12000.0        635-129  국회단지18길 3  서울특별시 관악구 봉천동
1  10500.0      (713-101)    당곡6길 85  서울특별시 관악구 봉천동
2  14000.0           리치캐슬    봉천로 577  서울특별시 관악구 봉천동
3  14000.0           리치캐슬    봉천로 577  서울특별시 관악구 봉천동
4  12000.0  드림하우스(41-231)    은천로 159  서울특별시 관악구 봉천동",10181.66667
1162010100,15,50.55,4,2017,"   deposit building          road           dong
0  29800.0     샤인캐슬    봉천로13다길 23  서울특별시 관악구 봉천동
1  21000.0     더 바움      인헌13길 49  서울특별시 관악구 봉천동
2  21000.0     더 바움      인헌13길 49  서울특별시 관악구 봉천동
3  29000.0    청솔빌리지  봉천로45길 21-12  서울특별시 관악구 봉천동
4  26000.0    중앙아트빌    양녕로6길 16-5  서울특별시 관악구 봉천동",27812
1162010200,12,39.97,6,2015,"   deposit building          road           dong
0  23000.0    신사타운빌  남부순환로167길 42  서울특별시 관악구 신림동
1  24000.0      휴캐슬    난곡로63가길 50  서울특별시 관악구 신림동
2  22000.0   타운캐슬7차  남부순환로168다길 6  서울특별시 관악구 신림동
3  27200.0   성강케렌시아     법원단지2길 21  서울특별시 관악구 신림동
4  27200.0   펠리체빌리지     난곡로24길 64  서울특별시 관악구 신림동",23483.16667
1162010200,7,24.2,3,2012,"   deposit       building           road           dong
0  10000.0  동현아트빌(704-44)      난곡로 179-6  서울특별시 관악구 신림동
1  15000.0          양.안빌딩      관천로19길 44  서울특별시 관악구 신림동
2  25000.0          참존둥지빌  남부순환로161가길 50  서울특별시 관악구 신림동
3  11000.0        조원하이모빌딩       조원중앙로 21  서울특별시 관악구 신림동
4  10000.0             성경     조원중앙로1길 47  서울특별시 관악구 신림동",11690
1162010200,9,28.79,2,2019,"   deposit building         road           dong
0  22800.0     라임스빌  난곡로34길 68-8  서울특별시 관악구 신림동
1  22800.0     라임스빌  난곡로34길 68-8  서울특별시 관악구 신림동
2  22000.0  아카데미하우스   신림로18가길 46  서울특별시 관악구 신림동
3  26400.0     위드비엠      난곡로 284  서울특별시 관악구 신림동
4  23000.0  아카데미하우스   신림로18가길 46  서울특별시 관악구 신림동",22752
