코드,평,전용면적(㎡),층,건축년도,predicted
1162010200,26,84.95,3,2004,"   deposit  pricemon      building          road           dong
0   4500.0        85           고려홈     관천로22길 61  서울특별시 관악구 신림동
1   2000.0        40      (10-584)  남부순환로194길 10  서울특별시 관악구 신림동
2    100.0        35      (255-46)     신림로17길 89  서울특별시 관악구 신림동
3  18000.0        30  아트파크(485-26)  남부순환로161길 34  서울특별시 관악구 신림동
4   2000.0        75      (563-23)  남부순환로141가길 5  서울특별시 관악구 신림동"
1162010100,16,53.3,3,2002,"   deposit  pricemon building          road           dong
0   5000.0        60  구성홈타운빌라  남부순환로247길 50  서울특별시 관악구 봉천동
1  16000.0        10    두영하우스    봉천로21나길 30  서울특별시 관악구 봉천동
2   2000.0       100     신화빌딩       쑥고개로 48  서울특별시 관악구 봉천동
3  10000.0        30      샤인빌     봉천로 357-4  서울특별시 관악구 봉천동
4   1500.0        25    이레하우스   낙성대역8길 43-8  서울특별시 관악구 봉천동"
1162010200,14,47.53,5,2014,"   deposit  pricemon       building        road           dong
0   3000.0        45           영모던빌  난곡로61길 9-3  서울특별시 관악구 신림동
1   1000.0        90           하늘명가     쑥고개로 16  서울특별시 관악구 신림동
2   7000.0        70          삼도빌리지   관천로19길 55  서울특별시 관악구 신림동
3   1000.0       105         양지리츠타운     대학5길 32  서울특별시 관악구 신림동
4   3000.0        65  알펜하우스(612-25)  법원단지길 67-7  서울특별시 관악구 신림동"
1162010200,9,29.65,3,2013,"   deposit  pricemon       building         road           dong
0   8000.0        40             신남     조원로14길 8  서울특별시 관악구 신림동
1   1000.0        80         선라이즈동산   남부순환로 1556  서울특별시 관악구 신림동
2   5000.0        53  타운캐슬(1621-32)  문성로25길 11-7  서울특별시 관악구 신림동
3   6500.0        45  장현빌라(1564-11)   쑥고개로2다길 23  서울특별시 관악구 신림동
4  11000.0        35       (611-75)    법원단지9길 34  서울특별시 관악구 신림동"
1162010100,5,15.52,10,2019,"   deposit  pricemon building          road           dong
0  10000.0        33     덕산타워  남부순환로220길 28  서울특별시 관악구 봉천동
1   5000.0        48      하임S    남부순환로 1790  서울특별시 관악구 봉천동
2   3000.0        55   센트럴포인트    남부순환로 1767  서울특별시 관악구 봉천동
3   3000.0        59      라온3  남부순환로214길 14  서울특별시 관악구 봉천동
4   3000.0        55    스마일타운       청룡3길 41  서울특별시 관악구 봉천동"
1162010200,4,12.09,5,2012,"   deposit  pricemon           building       road           dong
0    500.0        47  코지하우스(COZY HOUSE)  관천로 70-16  서울특별시 관악구 신림동
1   1500.0        40                 성민   관천로 56-6  서울특별시 관악구 신림동
2   3000.0        40                 성민   관천로 56-6  서울특별시 관악구 신림동
3   1000.0        54                 백송   신림동5길 38  서울특별시 관악구 신림동
4   1000.0        44             로얄럭스시티  조원로13길 66  서울특별시 관악구 신림동"
1162010100,5,15.12,2,2014,"   deposit  pricemon building          road           dong
0  10000.0        20    금강팰리스     중앙길 28-12  서울특별시 관악구 봉천동
1   1000.0        55  임마누엘하우스   청룡중앙길 23-14  서울특별시 관악구 봉천동
2   3000.0        30      쟈스민      봉천로58길 7  서울특별시 관악구 봉천동
3   4500.0        30      아름실      낙성대역길 23  서울특별시 관악구 봉천동
4   5000.0        20      조은빌  남부순환로245길 34  서울특별시 관악구 봉천동"
1162010100,7,22.31,2,2018,"   deposit  pricemon        building         road           dong
0   3000.0        45             미리내     인헌12길 26  서울특별시 관악구 봉천동
1  12000.0        25          SUN펠리스  국회단지2길 29-1  서울특별시 관악구 봉천동
2  14000.0         5           아모르빌B     당곡2가길 28  서울특별시 관악구 봉천동
3  14500.0         4         (28-30)     행운1바길 22  서울특별시 관악구 봉천동
4   5000.0        80  오렌지하임(1681-16)      행운2길 43  서울특별시 관악구 봉천동"
1162010100,15,51.12,2,1991,"   deposit  pricemon     building           road           dong
0   4000.0        75       동양파크빌라       중앙1나길 21  서울특별시 관악구 봉천동
1   1500.0        85      세종하이츠라동       행운1다길 31  서울특별시 관악구 봉천동
2   2000.0        50         한결빌라  봉천로21나길 27-29  서울특별시 관악구 봉천동
3      0.0        48      한성하이츠빌라      인헌12다길 38  서울특별시 관악구 봉천동
4  11000.0        25  삼정하이츠빌라(다동)        인헌9길 46  서울특별시 관악구 봉천동"
1162010100,5,15.55,2,2016,"   deposit  pricemon building          road           dong
0   1000.0        50    비전하우스  낙성대로3길 33-14  서울특별시 관악구 봉천동
1   3000.0        35     월드타워      인헌1가길 16  서울특별시 관악구 봉천동
2  14500.0         4  (28-30)      행운1바길 22  서울특별시 관악구 봉천동
3  10000.0        20    금강팰리스     중앙길 28-12  서울특별시 관악구 봉천동
4   3000.0        30      쟈스민      봉천로58길 7  서울특별시 관악구 봉천동"
1162010200,18,58.23,2,2003,"   deposit  pricemon   building            road           dong
0  12000.0        40   (562-20)    남부순환로141길 41  서울특별시 관악구 신림동
1    500.0        50  (1659-18)       조원로10길 53  서울특별시 관악구 신림동
2   3000.0        80       선영빌라  남부순환로194길 17-8  서울특별시 관악구 신림동
3  10000.0        15       벽산맨션        약수암길 9-8  서울특별시 관악구 신림동
4     50.0        20   (94-165)      쑥고개로1나길 18  서울특별시 관악구 신림동"
1162010100,6,21.25,2,2012,"   deposit  pricemon   building        road           dong
0   5000.0        35  (1645-54)     인헌9길 25  서울특별시 관악구 봉천동
1   5000.0        35  (1645-54)     인헌9길 25  서울특별시 관악구 봉천동
2   5000.0        45        골든빌      은천로 11  서울특별시 관악구 봉천동
3    500.0        43   (950-12)  봉천로25길 4-3  서울특별시 관악구 봉천동
4  12000.0         7    (716-2)   보라매로6길 42  서울특별시 관악구 봉천동"
1162010200,9,29.84,4,2013,"   deposit  pricemon      building         road           dong
0   5000.0        60          포도원2   조원중앙로2길 76  서울특별시 관악구 신림동
1  16000.0        10        남부스카이빌    관천로11길 49  서울특별시 관악구 신림동
2   5000.0        45      (107-52)     신림로30길 9  서울특별시 관악구 신림동
3  16000.0        20  정현빌(1429-26)  신림로71길 6-14  서울특별시 관악구 신림동
4   5000.0        60         율촌팰리스   관천로11길 123  서울특별시 관악구 신림동"
1162010100,4,12.16,3,2011,"   deposit  pricemon building           road           dong
0   3000.0        29      대학당  남부순환로247나길 42  서울특별시 관악구 봉천동
1   3000.0        20    우리하우스       낙성대로 9-8  서울특별시 관악구 봉천동
2   9000.0        20    우리하우스       낙성대로 9-8  서울특별시 관악구 봉천동
3   2000.0        30    우리하우스       낙성대로 9-8  서울특별시 관악구 봉천동
4   6000.0        15      조은빌   남부순환로245길 34  서울특별시 관악구 봉천동"
1162010200,12,39.93,5,2015,"   deposit  pricemon building        road           dong
0   6000.0        40    와이앤캐슬   법원단지5길 65  서울특별시 관악구 신림동
1   3000.0        45     영모던빌  난곡로61길 9-3  서울특별시 관악구 신림동
2   7000.0        60   우송아르떼빌   법원단지길 116  서울특별시 관악구 신림동
3   4000.0        60  (468-7)     조원로 178  서울특별시 관악구 신림동
4  10000.0        55    다온쉐르빌  신림로53가길 20  서울특별시 관악구 신림동"
1162010200,12,39.85,4,2001,"   deposit  pricemon  building            road           dong
0   3000.0        47  (478-12)       관천로19길 65  서울특별시 관악구 신림동
1  10000.0        25     그린빌리지  남부순환로194길 11-8  서울특별시 관악구 신림동
2  11000.0        25  (412-55)       문성로38길 31  서울특별시 관악구 신림동
3   8000.0        30   (87-32)      신림로58가길 60  서울특별시 관악구 신림동
4   3000.0        30  (231-59)       신림로3가길 29  서울특별시 관악구 신림동"
1162010100,11,36.52,2,2002,"   deposit  pricemon   building          road           dong
0   1000.0        43       벽산아트  남부순환로237길 24  서울특별시 관악구 봉천동
1   8000.0        42  (1622-25)    관악로14나길 32  서울특별시 관악구 봉천동
2   3500.0        37  (1687-28)   남부순환로245길 9  서울특별시 관악구 봉천동
3   5000.0        45  (1688-79)  남부순환로247다길 7  서울특별시 관악구 봉천동
4   2000.0        74   (1524-2)  남부순환로202길 27  서울특별시 관악구 봉천동"
1162010100,15,51.18,1,1987,"   deposit  pricemon building           road           dong
0   5000.0        55     정광빌라       인헌12길 70  서울특별시 관악구 봉천동
1   5000.0        55     광산빌라     인헌16길 26-6  서울특별시 관악구 봉천동
2   1000.0        60     초원빌라     낙성대역14길 39  서울특별시 관악구 봉천동
3   2000.0        70      유맨션     국회단지18길 14  서울특별시 관악구 봉천동
4  12500.0        25     영락빌라  낙성대역14가길 12-7  서울특별시 관악구 봉천동"
1162010100,8,27.65,1,2013,"   deposit  pricemon   building        road           dong
0  14000.0        10  (196-150)  낙성대역10길 28  서울특별시 관악구 봉천동
1   5000.0        45     41-817   은천로35마길 9  서울특별시 관악구 봉천동
2   5000.0        45        골든빌      은천로 11  서울특별시 관악구 봉천동
3   7000.0        40    635-274  국회단지12길 14  서울특별시 관악구 봉천동
4   5000.0        60     897-18     청룡7길 19  서울특별시 관악구 봉천동"
1162010100,5,15.01,5,2012,"   deposit  pricemon building          road           dong
0   2000.0        40    성경아트빌        당곡길 19  서울특별시 관악구 봉천동
1   5000.0        30    드림하우스     인헌12가길 36  서울특별시 관악구 봉천동
2    200.0        53    성경아트빌        당곡길 19  서울특별시 관악구 봉천동
3   5000.0        20      조은빌  남부순환로245길 34  서울특별시 관악구 봉천동
4   1000.0        40   1583-5   청룡중앙길 23-12  서울특별시 관악구 봉천동"
1162010200,11,34.87,5,2002,"   deposit  pricemon     building            road           dong
0   1000.0        50  탐라휠(10-433)  남부순환로194길 31-7  서울특별시 관악구 신림동
1  10000.0        20        미래리치빌     난곡로59길 11-2  서울특별시 관악구 신림동
2   3000.0        47     (478-12)       관천로19길 65  서울특별시 관악구 신림동
3  10000.0        25        그린빌리지  남부순환로194길 11-8  서울특별시 관악구 신림동
4  11000.0        25     (412-55)       문성로38길 31  서울특별시 관악구 신림동"
1162010200,5,15.51,5,2014,"   deposit  pricemon      building        road           dong
0   1000.0        60       J2tower    신림동2길 19  서울특별시 관악구 신림동
1   3000.0        33  성안빌딩(1667-1)  조원중앙로1길 71  서울특별시 관악구 신림동
2   5000.0        40         메종드마야   신림동길 22-2  서울특별시 관악구 신림동
3   2000.0        37         미성엘리트  난곡로63가길 23  서울특별시 관악구 신림동
4   5000.0        34      J&KHOUSE   난곡로64길 15  서울특별시 관악구 신림동"
1162010200,4,13.48,18,2017,"   deposit  pricemon building    road           dong
0   2000.0        56     선인타운  관천로 44  서울특별시 관악구 신림동
1   2000.0        53     선인타운  관천로 44  서울특별시 관악구 신림동
2   1000.0        56     선인타운  관천로 44  서울특별시 관악구 신림동
3    500.0        63     선인타운  관천로 44  서울특별시 관악구 신림동
4   1000.0        63     선인타운  관천로 44  서울특별시 관악구 신림동"
1162010100,3,11.56,9,2019,"   deposit  pricemon building        road           dong
0  10000.0        30   센트럴포인트  남부순환로 1767  서울특별시 관악구 봉천동
1   3000.0        55    스마일타운     청룡3길 41  서울특별시 관악구 봉천동
2   1000.0        64      하임S  남부순환로 1790  서울특별시 관악구 봉천동
3   4000.0        53      하임S  남부순환로 1790  서울특별시 관악구 봉천동
4   3000.0        55   센트럴포인트  남부순환로 1767  서울특별시 관악구 봉천동"
1162010200,5,15.56,5,2013,"   deposit  pricemon      building        road           dong
0   2000.0        37         미성엘리트  난곡로63가길 23  서울특별시 관악구 신림동
1   5000.0        34      J&KHOUSE   난곡로64길 15  서울특별시 관악구 신림동
2   3000.0        40   더집(The ZIP)   관천로16길 64  서울특별시 관악구 신림동
3   1000.0        60       J2tower    신림동2길 19  서울특별시 관악구 신림동
4   3000.0        33  성안빌딩(1667-1)  조원중앙로1길 71  서울특별시 관악구 신림동"
1162010200,5,15.48,3,2017,"   deposit  pricemon     building          road           dong
0   8500.0         7  산마루빌(98-82)      복은14길 17  서울특별시 관악구 신림동
1   1000.0        47  예다올(501-20)     난곡로74길 39  서울특별시 관악구 신림동
2   1000.0        48     (1455-3)      봉천로6길 46  서울특별시 관악구 신림동
3   3000.0        45     (1572-1)  남부순환로152길 76  서울특별시 관악구 신림동
4  10000.0        12          로뎀빌  남부순환로144길 46  서울특별시 관악구 신림동"
1162010200,26,84.95,3,2004,"   deposit  pricemon      building          road           dong
0   4500.0        85           고려홈     관천로22길 61  서울특별시 관악구 신림동
1   2000.0        40      (10-584)  남부순환로194길 10  서울특별시 관악구 신림동
2    100.0        35      (255-46)     신림로17길 89  서울특별시 관악구 신림동
3  18000.0        30  아트파크(485-26)  남부순환로161길 34  서울특별시 관악구 신림동
4   2000.0        75      (563-23)  남부순환로141가길 5  서울특별시 관악구 신림동"
1162010100,24,80.03,2,2006,"   deposit  pricemon   building       road           dong
0   2000.0        37  (196-126)   낙성대역8길 9  서울특별시 관악구 봉천동
1   2000.0        30  (196-126)   낙성대역8길 9  서울특별시 관악구 봉천동
2    500.0        42  (196-126)   낙성대역8길 9  서울특별시 관악구 봉천동
3   1000.0        45  (196-126)   낙성대역8길 9  서울특별시 관악구 봉천동
4   8000.0        20      아인파크빌  낙성대역4길 19  서울특별시 관악구 봉천동"
1162010100,8,27.85,4,2012,"   deposit  pricemon  building        road           dong
0   6000.0        30    로뎀하우스3  봉천로23나길 30  서울특별시 관악구 봉천동
1   6000.0        60      신광빌라     인헌3길 58  서울특별시 관악구 봉천동
2   2000.0        70      광성주택    양녕로6길 24  서울특별시 관악구 봉천동
3   2000.0        75  (1650-7)     인헌3길 54  서울특별시 관악구 봉천동
4   5000.0        50     드림하우스   인헌12가길 36  서울특별시 관악구 봉천동"
1162010300,4,12.6,2,2012,"   deposit  pricemon building       road           dong
0   9000.0        15      늘해랑     승방길 77  서울특별시 관악구 남현동
1   1000.0        54      우리집     승방길 33  서울특별시 관악구 남현동
2   1000.0        55      네스코     승방3길 1  서울특별시 관악구 남현동
3   1000.0        57       금성     승방6길 2  서울특별시 관악구 남현동
4   2000.0        43    라피네하임  남현8길 13-6  서울특별시 관악구 남현동"
1162010200,18,59.7,3,1986,"   deposit  pricemon  building          road           dong
0  12000.0        20   동방파레스바동       서원5길 34  서울특별시 관악구 신림동
1   7000.0        30    대림하이츠빌        서원3길 2  서울특별시 관악구 신림동
2   7000.0        50   덕우하이츠빌라  신림로30길 17-15  서울특별시 관악구 신림동
3   3000.0        60  (1564-0)     쑥고개로2길 21  서울특별시 관악구 신림동
4   5000.0        60     건홍하이츠     난곡로78길 34  서울특별시 관악구 신림동"
1162010200,5,16.5,2,2016,"   deposit  pricemon      building          road           dong
0   2000.0        45         반도하우스      조원로12길 7  서울특별시 관악구 신림동
1    700.0        43      좋은사람 좋은집     조원로21길 10  서울특별시 관악구 신림동
2    500.0        69      (1572-1)  남부순환로152길 76  서울특별시 관악구 신림동
3    500.0        50  성원빌(1667-23)   시흥대로160길 52  서울특별시 관악구 신림동
4   1000.0        40         jk럭스빌      조원로6길 43  서울특별시 관악구 신림동"
