코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1121510500,9,28.95,3,2015,"   deposit building          road           dong
0  20500.0   자양리치빌2     뚝섬로22길 31  서울특별시 광진구 자양동
1  22000.0   자양리치빌A       뚝섬로 470  서울특별시 광진구 자양동
2  18000.0  (197-7)      동일로4가길 4  서울특별시 광진구 자양동
3  22000.0  레몬트리하우스   자양로3길 14-16  서울특별시 광진구 자양동
4  23000.0   에비앙하우스  뚝섬로52다길 14-8  서울특별시 광진구 자양동",20445
1121510300,9,28.64,6,2019,"   deposit building         road           dong
0  28000.0   243-48  자양로18길 90-3  서울특별시 광진구 구의동
1  27500.0  힐 카운티 7     뚝섬로66길 3  서울특별시 광진구 구의동
2  26500.0  힐 카운티 7     뚝섬로66길 3  서울특별시 광진구 구의동
3  21800.0     제이드빌   자양로 178-18  서울특별시 광진구 구의동
4  23500.0   힐카운티11  구의강변로 31-14  서울특별시 광진구 구의동",25642.83333
1121510100,9,29.77,3,2018,"   deposit     building         road           dong
0  21000.0      (632-4)  천호대로103길 16  서울특별시 광진구 중곡동
1  17000.0      (632-4)  천호대로103길 16  서울특별시 광진구 중곡동
2  22000.0        96-41  천호대로127길 43  서울특별시 광진구 중곡동
3  23000.0     (624-15)    동일로64길 27  서울특별시 광진구 중곡동
4  23500.0  드림빌(171-15)    면목로12길 16  서울특별시 광진구 중곡동",19310.2381
1121510100,8,26.243,7,2017,"   deposit building         road           dong
0  22000.0  마인하임158  능동로40길 10-5  서울특별시 광진구 중곡동
1  23000.0     성안빌딩     능동로39길 9  서울특별시 광진구 중곡동
2  43000.0   넥스트플래닛      긴고랑로 43  서울특별시 광진구 중곡동
3  43000.0   넥스트플래닛      긴고랑로 43  서울특별시 광진구 중곡동
4  20000.0  마인하임158  능동로40길 10-5  서울특별시 광진구 중곡동",21718
1121510100,10,33.28,3,2015,"   deposit  building         road           dong
0  22000.0    160-17   긴고랑로16길 75  서울특별시 광진구 중곡동
1  21000.0  (172-77)    능동로51길 28  서울특별시 광진구 중곡동
2  24000.0       리슈빌     긴고랑로3길 6  서울특별시 광진구 중곡동
3  22000.0     31-21   능동로 386-12  서울특별시 광진구 중곡동
4  22000.0      햇빛촌빌  용마산로22길 5-4  서울특별시 광진구 중곡동",21510
1121510100,9,29.91,2,2016,"   deposit          building           road           dong
0  20000.0           (51-24)     긴고랑로22길 39  서울특별시 광진구 중곡동
1  18000.0          The RAUM  용마산로32길 25-11  서울특별시 광진구 중곡동
2  21000.0             유니베네가      능동로53길 28  서울특별시 광진구 중곡동
3  20000.0              헤쎄드빌       능동로46길 8  서울특별시 광진구 중곡동
4  19000.0  와이엔캐슬(중곡동175-61)      동일로78길 21  서울특별시 광진구 중곡동",19370
1121510100,11,36.95,3,2015,"   deposit  building         road           dong
0  24300.0     모던하우스    영화사로7길 18  서울특별시 광진구 중곡동
1  24000.0       리슈빌     긴고랑로3길 6  서울특별시 광진구 중곡동
2  21000.0  (172-77)    능동로51길 28  서울특별시 광진구 중곡동
3  22000.0      햇빛촌빌  용마산로22길 5-4  서울특별시 광진구 중곡동
4  22000.0     31-21   능동로 386-12  서울특별시 광진구 중곡동",24009
1121510300,14,47.04,3,2019,"   deposit building         road           dong
0  36000.0   동서화운트빌     구의로4길 60  서울특별시 광진구 구의동
1  35000.0   동서화운트빌     구의로4길 60  서울특별시 광진구 구의동
2  23000.0    베아누 빌  자양로34길 17-3  서울특별시 광진구 구의동
3  30000.0    힐카운티8      뚝섬로 732  서울특별시 광진구 구의동
4  30000.0    힐카운티9      뚝섬로 734  서울특별시 광진구 구의동",33030
1121510300,11,36.43,2,1986,"   deposit  building         road           dong
0  12000.0  (253-60)   광나루로32길 12  서울특별시 광진구 구의동
1  15000.0    신혼연립A동  자양로45길 24-6  서울특별시 광진구 구의동
2  13000.0   대덕연립(가)   광나루로32길 16  서울특별시 광진구 구의동
3  10000.0  한강빌라(가동)    뚝섬로67길 23  서울특별시 광진구 구의동
4   9000.0  한강빌라(다동)  아차산로58나길 14  서울특별시 광진구 구의동",12070
1121510100,9,28.38,2,2016,"   deposit  building           road           dong
0  17000.0   (33-49)    능동로50길 28-6  서울특별시 광진구 중곡동
1  20000.0      헤쎄드빌       능동로46길 8  서울특별시 광진구 중곡동
2  20000.0   (51-24)     긴고랑로22길 39  서울특별시 광진구 중곡동
3  18000.0  The RAUM  용마산로32길 25-11  서울특별시 광진구 중곡동
4  21000.0     유니베네가      능동로53길 28  서울특별시 광진구 중곡동",17789
1121510200,9,28.8,4,2019,"   deposit  building         road          dong
0  10000.0  (320-65)  능동로32길 16-3  서울특별시 광진구 능동
1  25000.0   (389-3)    능동로24길 55  서울특별시 광진구 능동
2  25000.0   (389-3)    능동로24길 55  서울특별시 광진구 능동
3  27500.0      능동벨류   능동로32길 149  서울특별시 광진구 능동
4  26000.0    대명이튼캐슬  천호대로112길 68  서울특별시 광진구 능동",19760.83333
1121510300,9,30.81,4,2015,"   deposit building          road           dong
0  22000.0    강변리버빌     뚝섬로67길 35  서울특별시 광진구 구의동
1  24000.0     한울타운  자양로28길 73-10  서울특별시 광진구 구의동
2  23000.0     한울타운  자양로28길 73-10  서울특별시 광진구 구의동
3  17500.0   구의동연리지    자양로41길 7-9  서울특별시 광진구 구의동
4  24000.0     한울타운  자양로28길 73-10  서울특별시 광진구 구의동",21058
1121510500,9,29.01,3,2017,"   deposit building        road           dong
0  22000.0     제이파크  뚝섬로22가길 44  서울특별시 광진구 자양동
1  21000.0     그랑시아    자양로6길 22  서울특별시 광진구 자양동
2  16000.0    그레이스빌   자양로13다길 8  서울특별시 광진구 자양동
3  22000.0    그레이스빌   자양로13다길 8  서울특별시 광진구 자양동
4  11000.0    모델하이빌    자양로6길 46  서울특별시 광진구 자양동",21520
1121510200,8,25.8,2,2001,"   deposit   building           road           dong
0  13000.0    (245-4)     능동로36길 110   서울특별시 광진구 능동
1  11000.0  청암(206-2)     광나루로50길 17  서울특별시 광진구 구의동
2  11000.0   (234-20)      긴고랑로1길 24  서울특별시 광진구 중곡동
3  11000.0       새움캐슬     광나루로52길 70  서울특별시 광진구 구의동
4  14000.0   (218-35)  아차산로62길 14-16  서울특별시 광진구 구의동",11597.5
1121510500,19,63.27,-1,1998,"   deposit building        road           dong
0  15000.0     정든타운  뚝섬로52나길 42  서울특별시 광진구 자양동
1  10000.0   영빈아트빌라  광장로1길 8-13  서울특별시 광진구 광장동
2  13000.0   극동그린빌라  영화사로11길 40  서울특별시 광진구 구의동
3  26000.0   금강아트빌라  아차산로41길 36  서울특별시 광진구 자양동
4  26000.0   금강아트빌라  아차산로41길 36  서울특별시 광진구 자양동",13800
1121510300,19,62.65,4,2006,"   deposit     building          road           dong
0  18000.0        용마홈타운    자양로44길 103  서울특별시 광진구 구의동
1  19000.0        미래아트빌   자양로28가길 7-4  서울특별시 광진구 구의동
2  27000.0         에이스빌  아차산로57길 23-1  서울특별시 광진구 구의동
3  27000.0         에이스빌  아차산로57길 23-1  서울특별시 광진구 구의동
4  25000.0  욱현하이브(37-7)    자양로44길 108  서울특별시 광진구 구의동",20910
1121510100,12,41.18,3,2008,"   deposit       building           road           dong
0  16500.0           강변타운       면목로7길 44  서울특별시 광진구 중곡동
1  18000.0  태양아트빌(138-18)  천호대로111길 48-4  서울특별시 광진구 중곡동
2  22800.0         지앤지홈타운     용마산로36길 10  서울특별시 광진구 중곡동
3  12000.0          비젼하우스  용마산로36길 16-12  서울특별시 광진구 중곡동
4  16000.0       (196-31)     용마산로33길 35  서울특별시 광진구 중곡동",16187
1121510100,14,45.84,5,2011,"   deposit building          road           dong
0  19000.0    대광빌리지  긴고랑로27길 13-3  서울특별시 광진구 중곡동
1  19000.0    대광빌리지  긴고랑로27길 13-3  서울특별시 광진구 중곡동
2  23000.0    대진아트빌     용마산로4길 20  서울특별시 광진구 중곡동
3  10000.0    대진아트빌     용마산로4길 20  서울특별시 광진구 중곡동
4  10000.0    우성리치빌     용마산로14길 4  서울특별시 광진구 중곡동",19427.02381
1121510500,7,24.49,3,2019,"   deposit  building            road           dong
0  24800.0     향기빌리지       자양로13가길 8  서울특별시 광진구 자양동
1  15000.0    크로마하우스    자양로15길 105-1  서울특별시 광진구 자양동
2  19000.0  크로마하우스5차   자양번영로11길 19-1  서울특별시 광진구 자양동
3  19000.0     브랙핸즈Ⅴ  자양번영로11길 19-11  서울특별시 광진구 자양동
4  18500.0     브랙핸즈Ⅴ  자양번영로11길 19-11  서울특별시 광진구 자양동",22359.5
1121510100,13,41.95,2,2011,"   deposit       building         road           dong
0  15000.0  공간행복(150-346)  용마산로14길 9-6  서울특별시 광진구 중곡동
1  16000.0           강변타운     면목로7길 44  서울특별시 광진구 중곡동
2  20000.0       (257-29)   긴고랑로10길 52  서울특별시 광진구 중곡동
3  20000.0       (257-29)   긴고랑로10길 52  서울특별시 광진구 중곡동
4  16000.0          한솔벤트빌     동일로78길 7  서울특별시 광진구 중곡동",16870
1121510100,9,29.85,2,2017,"   deposit  building          road           dong
0  20000.0     에덴빌3차  긴고랑로12길 11-7  서울특별시 광진구 중곡동
1  17500.0     헤라힐스3    용마산로8라길 27  서울특별시 광진구 중곡동
2  18500.0     금상빌리지   동일로72길 23-1  서울특별시 광진구 중곡동
3  19950.0   (619-5)     긴고랑로8길 68  서울특별시 광진구 중곡동
4  19000.0  (18-124)    용마산로22길 27  서울특별시 광진구 중곡동",18738.30952
1121510100,14,45.51,3,2019,"   deposit     building            road           dong
0  23000.0      (231-9)       긴고랑로7길 16  서울특별시 광진구 중곡동
1  25000.0  제일주택(258-4)      긴고랑로12길 60  서울특별시 광진구 중곡동
2  23000.0       149-14      긴고랑로27길 13  서울특별시 광진구 중곡동
3  22000.0        121-8     천호대로123길 43  서울특별시 광진구 중곡동
4  28000.0       296-34  용마산로28가길 10-11  서울특별시 광진구 중곡동",23615
1121510900,7,22.29,3,2019,"   deposit  building        road           dong
0  26000.0    대명이튼캐슬   군자로10길 17  서울특별시 광진구 군자동
1  26000.0    대명이튼캐슬   군자로10길 17  서울특별시 광진구 군자동
2  16500.0  스테이빌리지1차   동일로 232-6  서울특별시 광진구 군자동
3  17000.0  스테이빌리지1차   동일로 232-1  서울특별시 광진구 군자동
4  17000.0     미래하우스  능동로27나길 17  서울특별시 광진구 군자동",20161.33333
1121510100,9,29.94,1,2016,"   deposit   building           road           dong
0  17000.0   (104-15)     영화사로9가길 66  서울특별시 광진구 중곡동
1  19000.0         라움  용마산로28가길 10-3  서울특별시 광진구 중곡동
2  20000.0      해솔팰리스  용마산로22길 11-10  서울특별시 광진구 중곡동
3  19500.0  (150-320)     용마산로8가길 56  서울특별시 광진구 중곡동
4  19500.0  (150-320)     용마산로8가길 56  서울특별시 광진구 중곡동",19420.33333
