코드,평,전용면적(㎡),층,건축년도,predicted
1121510100,14,44.98,6,2016,"   deposit  pricemon     building          road           dong
0  15000.0        55         재연빌라     동일로76길 33  서울특별시 광진구 중곡동
1   8000.0        80        금상빌리지   동일로72길 23-1  서울특별시 광진구 중곡동
2   1000.0        65  제일주택(258-4)    긴고랑로12길 60  서울특별시 광진구 중곡동
3   1000.0        50      (693-5)  동일로76길 51-12  서울특별시 광진구 중곡동
4  17000.0        10        에덴빌3차  긴고랑로12길 11-7  서울특별시 광진구 중곡동"
1121510400,18,58.84,5,2017,"   deposit  pricemon  building           road           dong
0    500.0        45       예다움  아차산로40길 59-10  서울특별시 광진구 자양동
1    500.0        40       길린빌   아차산로30길 19-6  서울특별시 광진구 자양동
2  10000.0        30    235-28    자양로32길 22-6  서울특별시 광진구 구의동
3  15000.0        70        현진      자양로49길 26  서울특별시 광진구 구의동
4   1500.0        37  (647-33)     뚝섬로52마길 29  서울특별시 광진구 자양동"
1121510200,6,18.78,2,2018,"   deposit  pricemon   building         road          dong
0   1000.0        65        세리빌     능동로34길 7  서울특별시 광진구 능동
1   3000.0        60   (238-33)  능동로36길 74-1  서울특별시 광진구 능동
2   1000.0        67  우송 하우시스 비   능동로36길 138  서울특별시 광진구 능동
3   1500.0        50   (320-65)  능동로32길 16-3  서울특별시 광진구 능동
4   3000.0        70   (238-33)  능동로36길 74-1  서울특별시 광진구 능동"
1121510500,9,28.4,4,2003,"   deposit  pricemon  building           road           dong
0   4000.0        35  (682-15)        뚝섬로 700  서울특별시 광진구 자양동
1  10000.0        20  (632-31)      자양로11길 41  서울특별시 광진구 자양동
2   2000.0        65     현대그린빌     아차산로45길 26  서울특별시 광진구 자양동
3   9000.0        20  (217-21)    아차산로46나길 12  서울특별시 광진구 자양동
4   1000.0        55       하늘채  아차산로40길 30-14  서울특별시 광진구 자양동"
1121510100,10,31.85,4,2014,"   deposit  pricemon  building          road           dong
0   8000.0        62    도시와 사람  긴고랑로20길 76-1  서울특별시 광진구 중곡동
1   8000.0        60     대호뜨란체    긴고랑로27길 15  서울특별시 광진구 중곡동
2  12000.0        25    123-21      용마산로5길 5  서울특별시 광진구 중곡동
3   5000.0        60  (220-71)   능동로51길 25-8  서울특별시 광진구 중곡동
4  10000.0        43     에덴빌3차  긴고랑로12길 11-7  서울특별시 광진구 중곡동"
1121510500,14,47.7,2,2018,"   deposit  pricemon building           road           dong
0   6000.0        70    경운하이츠  뚝섬로52나길 50-17  서울특별시 광진구 자양동
1  21000.0        30    임흥파크빌       능동로7길 39  서울특별시 광진구 자양동
2  20000.0        15     태정타워      뚝섬로64길 38  서울특별시 광진구 자양동
3   3000.0        70   648-27     뚝섬로52라길 41  서울특별시 광진구 자양동
4   3000.0        70   648-27     뚝섬로52라길 41  서울특별시 광진구 자양동"
1121510100,8,25.85,1,2002,"   deposit  pricemon  building         road           dong
0   1000.0        50     드림하우스  천호대로109길 65  서울특별시 광진구 중곡동
1    500.0        45      정한빌라    영화사로7길 43  서울특별시 광진구 중곡동
2   3000.0        37  (131-12)   천호대로117길 6  서울특별시 광진구 중곡동
3   1000.0        40   (437-1)    능동로24길 46   서울특별시 광진구 능동
4   3000.0        40  (642-12)    능동로39길 25  서울특별시 광진구 중곡동"
1121510100,8,26.28,4,2018,"   deposit  pricemon         building           road           dong
0   4000.0        50              진명가  용마산로22길 19-18  서울특별시 광진구 중곡동
1  12000.0        10         (624-15)      동일로64길 27  서울특별시 광진구 중곡동
2  10000.0        50         (624-15)      동일로64길 27  서울특별시 광진구 중곡동
3   2000.0        65  세종스마트빌(150-164)    능동로48길 64-1  서울특별시 광진구 중곡동
4  20000.0         8        하우징허브 이어짐     긴고랑로30길 39  서울특별시 광진구 중곡동"
1121510300,9,29.82,3,2017,"   deposit  pricemon  building          road           dong
0   3000.0        80    힐카운티10   구의강변로 31-16  서울특별시 광진구 구의동
1   3000.0        80  힐 카운티 13   구의강변로 31-10  서울특별시 광진구 구의동
2   5000.0        70      한미주택   천호대로134길 13  서울특별시 광진구 구의동
3   5000.0        60      한미주택   천호대로134길 13  서울특별시 광진구 구의동
4   5000.0        70      장원캐슬  아차산로55길 57-3  서울특별시 광진구 구의동"
1121510700,5,16.25,3,2012,"   deposit  pricemon     building          road           dong
0   1000.0        50        포츈하우스   동일로22길 17-7  서울특별시 광진구 화양동
1   2000.0        45        채움하우스     능동로15길 22  서울특별시 광진구 화양동
2   6500.0        15  KUBE(11-19)   동일로24길 95-4  서울특별시 광진구 화양동
3   2000.0        45      (12-18)  아차산로33길 73-3  서울특별시 광진구 화양동
4   1000.0        45  sheel tower  광나루로14길 21-1  서울특별시 광진구 화양동"
1121510300,14,47.41,3,2008,"   deposit  pricemon     building          road           dong
0  10000.0        52  삼성아트빌(52-2)     자양로45길 25  서울특별시 광진구 구의동
1  10000.0        45     (222-69)  자양로26길 97-11  서울특별시 광진구 구의동
2  10000.0        50    (257-134)  아차산로53길 29-1  서울특별시 광진구 구의동
3   2000.0        60        강변파크빌       뚝섬로 736  서울특별시 광진구 구의동
4  10000.0        40       (26-6)    자양로50가길 29  서울특별시 광진구 구의동"
