코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1144011400,7,21.96,1,1991,"   deposit building          road           dong
0  10000.0    신촌도미텔  와우산로24길 43-4  서울특별시 마포구 창전동
1  13000.0   애플그린빌라  와우산로26길 9-11  서울특별시 마포구 창전동
2  12000.0     웅지빌라    와우산로30길 78  서울특별시 마포구 창전동
3  12000.0     웅지빌라    와우산로30길 78  서울특별시 마포구 창전동
4  15000.0    범일(다)   와우산로5길 25-9  서울특별시 마포구 상수동",10375
1144012500,4,14.31,3,2012,"   deposit               building             road           dong
0  10000.0                 대명풀하우스        성미산로 5-12  서울특별시 마포구 성산동
1   9000.0  sweet seoul residence  월드컵북로12안길 34-17  서울특별시 마포구 성산동
2   1612.0                  다움파크빌      성미산로11길 114  서울특별시 마포구 성산동
3  13000.0                  그린하우스       성미산로32길 10  서울특별시 마포구 연남동
4   8500.0                    에바다        연남로1길 8-7  서울특별시 마포구 연남동",9175.6
1144012500,22,73.33,1,1982,"   deposit building       road           dong
0  11000.0     성사빌라  모래내로7길 14  서울특별시 마포구 성산동
1  22000.0   동덕주택나동   희우정로 123  서울특별시 마포구 망원동
2   7000.0  (386-2)  모래내로9길 29   서울특별시 마포구 중동
3  13000.0     성사빌라  모래내로7길 14  서울특별시 마포구 성산동
4  20000.0    한아름주택    성지1길 65  서울특별시 마포구 합정동",13445
1144010100,9,29.06,9,2019,"   deposit  building        road           dong
0  34000.0    제스트하우스  마포대로21길 38  서울특별시 마포구 아현동
1  26500.0  벨로하우스 공덕     만리재로 84  서울특별시 마포구 공덕동
2  33000.0       트렌빌  신촌로32길 3-1  서울특별시 마포구 아현동
3  15000.0  벨로하우스 공덕     만리재로 84  서울특별시 마포구 공덕동
4  34000.0    제스트하우스  마포대로21길 38  서울특별시 마포구 아현동",25115
1144012500,8,27.96,6,2019,"   deposit    building      road           dong
0  27000.0        더클래스  성산로8길 40  서울특별시 마포구 성산동
1  27000.0        더클래스  성산로8길 40  서울특별시 마포구 성산동
2  27000.0        더클래스  성산로8길 40  서울특별시 마포구 성산동
3  29000.0        더클래스  성산로8길 40  서울특별시 마포구 성산동
4  26000.0  소노하우스 성산3차  성암로1길 14  서울특별시 마포구 성산동",26125.83333
1144012300,15,50.2,3,2003,"   deposit  building         road           dong
0  23000.0      신보빌라     포은로8길 40  서울특별시 마포구 망원동
1  22000.0        한신     포은로5길 38  서울특별시 마포구 망원동
2  21000.0      정원빌라  망원로7길 31-13  서울특별시 마포구 망원동
3  21500.0       고은빌   성미산로 195-8  서울특별시 마포구 연남동
4  22000.0  경신아트빌라B동   성미산로23길 14  서울특별시 마포구 연남동",22120
1144012200,13,43.21,3,2014,"   deposit       building           road           dong
0  23100.0         노블캐슬7차       포은로5길 30  서울특별시 마포구 망원동
1  24000.0         노블캐슬7차       포은로5길 30  서울특별시 마포구 망원동
2  20000.0  동양하우징(468-25)  방울내로9안길 42-10  서울특별시 마포구 망원동
3  20000.0          새소망교회       방울내로9길 5  서울특별시 마포구 망원동
4  29000.0        바우하우스C동     월드컵로31길 90  서울특별시 마포구 망원동",23890
1144012200,9,28.56,3,2011,"   deposit        building       road           dong
0  10000.0         영진르네상스빌    희우정로 32  서울특별시 마포구 합정동
1  20000.0         대명에르메스1  월드컵로7길 93  서울특별시 마포구 합정동
2  19000.0           진흥시티빌   동교로 32-1  서울특별시 마포구 합정동
3  17000.0  진흥푸르지오(443-17)  희우정로7길 12  서울특별시 마포구 합정동
4  16500.0      진흥빌(449-6)   동교로 16-7  서울특별시 마포구 합정동",15140
1144012400,13,42.11,3,2017,"   deposit         building         road           dong
0  20000.0  노엘 커뮤니티(481-18)   성미산로19길 73  서울특별시 마포구 연남동
1  28000.0            로얄센터빌  월드컵로31길 106  서울특별시 마포구 망원동
2  32000.0             팰리스뷰   모래내로7안길 30  서울특별시 마포구 성산동
3  32000.0             팰리스뷰   모래내로7안길 30  서울특별시 마포구 성산동
4  32000.0       소노하우스 성산3차     성암로1길 14  서울특별시 마포구 성산동",26012
1144012600,9,29.89,5,2019,"   deposit       building       road           dong
0  32000.0         대성에비뉴엘     성암로 49   서울특별시 마포구 중동
1  32600.0         대성에비뉴엘     성암로 49   서울특별시 마포구 중동
2   2000.0  힐하우스(200-413)   새터산7길 25  서울특별시 마포구 성산동
3  28500.0           더클래스   성산로8길 40  서울특별시 마포구 성산동
4  27000.0        DMC 칸타빌  성암로15길 63  서울특별시 마포구 상암동",30902
1144012300,6,20.16,4,2013,"   deposit building        road           dong
0  13000.0      노빌힐   방울내로 68-8  서울특별시 마포구 망원동
1  20000.0     노블캐슬   포은로 109-1  서울특별시 마포구 망원동
2  18000.0  대명풀하우스4  희우정로16길 43  서울특별시 마포구 망원동
3  12000.0      바스크  방울내로9안길 68  서울특별시 마포구 망원동
4   8000.0    현일빌리지  성미산로17길 14  서울특별시 마포구 연남동",14353
1144012300,17,56.48,2,1995,"   deposit building         road           dong
0  22000.0     하나빌라   월드컵로23길 56  서울특별시 마포구 망원동
1  21000.0     진주빌라  월드컵로29길 116  서울특별시 마포구 망원동
2  15000.0       문화  방울내로11길 173  서울특별시 마포구 망원동
3  18000.0     목화빌라   희우정로 106-1  서울특별시 마포구 망원동
4  24000.0       현대   월드컵로11길 13  서울특별시 마포구 망원동",20202
1144011100,18,59.77,2,2014,"   deposit building         road           dong
0  28000.0     문하우스    독막로24길 33  서울특별시 마포구 구수동
1  32000.0   마포나루타운    독막로38길 32  서울특별시 마포구 대흥동
2  31000.0   마포나루타운    독막로38길 32  서울특별시 마포구 대흥동
3  28000.0  근상프리즘4동    독막로24길 25  서울특별시 마포구 구수동
4  22000.0     오렌지빌  독막로32길 28-3  서울특별시 마포구 신수동",21777.6
1144012000,8,26.4,3,2003,"   deposit  building         road           dong
0  12000.0  (401-19)     독막로9길 11  서울특별시 마포구 서교동
1  12000.0      서교주택     양화로8길 26  서울특별시 마포구 서교동
2  13000.0      서교주택     양화로8길 26  서울특별시 마포구 서교동
3  13000.0   A HOUSE  월드컵로8길 45-3  서울특별시 마포구 서교동
4   9000.0      이하우스     독막로9길 30  서울특별시 마포구 서교동",12410
1144012300,9,28.69,3,2011,"   deposit       building          road           dong
0  15500.0         강변르네상스      망원로6길 67  서울특별시 마포구 망원동
1  17000.0           아르헤빌  월드컵로11길 47-7  서울특별시 마포구 망원동
2  17000.0  한강그린빌(236-18)      동교로1길 20  서울특별시 마포구 망원동
3  17000.0            엘림빌    월드컵로23길 39  서울특별시 마포구 망원동
4  15000.0           에벤에셀    방울내로11길 10  서울특별시 마포구 망원동",16856
1144012500,11,37.61,3,1994,"   deposit   building         road           dong
0  13000.0       동산주택     성산로8길 29  서울특별시 마포구 성산동
1  15000.0       정원빌라    연남로13길 39  서울특별시 마포구 성산동
2  15000.0       명심빌라   월드컵북로31길 5  서울특별시 마포구 성산동
3  12000.0  (200-341)     새터산9길 23  서울특별시 마포구 성산동
4  15000.0     예원빌라3동  월드컵로25길 147  서울특별시 마포구 망원동",15688
1144012700,6,20.9,5,2011,"   deposit building           road           dong
0   7000.0     월드원룸  월드컵북로50길 6-10  서울특별시 마포구 상암동
1  10500.0    해피하우스    월드컵북로43길 20  서울특별시 마포구 상암동
2  10000.0    하나아트빌     월드컵북로45길 5  서울특별시 마포구 상암동
3  12000.0     스타캐슬   성미산로1길 26-10  서울특별시 마포구 성산동
4  10000.0     위너스원     월드컵로30길 45  서울특별시 마포구 성산동",10442
1144012000,17,57.02,1,1996,"   deposit building        road           dong
0  25000.0  (328-1)  와우산로33길 49  서울특별시 마포구 서교동
1  16000.0     삼화주택   희우정로 60-3  서울특별시 마포구 합정동
2  20500.0   청탑아트빌라    양화로1길 24  서울특별시 마포구 합정동
3  15000.0       선궁   방울내로1길 43  서울특별시 마포구 망원동
4  23000.0       중앙    동교로9길 15  서울특별시 마포구 망원동",21628.66667
1144012300,16,51.79,5,2008,"   deposit       building           road           dong
0  20000.0          양림펠리스  월드컵로29길 57-18  서울특별시 마포구 망원동
1  20000.0  나성리치빌(429-18)    월드컵로25길 134  서울특별시 마포구 망원동
2  23000.0  나성리치빌(429-18)    월드컵로25길 134  서울특별시 마포구 망원동
3  20000.0   더하우스(440-16)     월드컵로7길 109  서울특별시 마포구 합정동
4  20000.0         더하우스3차       토정로2길 12  서울특별시 마포구 합정동",20845
1144011400,10,33.57,4,2014,"   deposit      building         road           dong
0  22000.0        동원스위트홈     독막로24길 7  서울특별시 마포구 구수동
1  21000.0        동원스위트홈     독막로24길 7  서울특별시 마포구 구수동
2  21000.0  동원스위트홈(16-5)     독막로24길 9  서울특별시 마포구 구수동
3  25000.0         필립하우스  토정로11길 17-1  서울특별시 마포구 상수동
4  25500.0        아름다운공간    토정로 127-5  서울특별시 마포구 상수동",23745.5
1144010500,8,26.45,4,2003,"   deposit  building            road           dong
0  18000.0      누리빌라   마포대로4길 120-33  서울특별시 마포구 마포동
1  12000.0   (236-1)      마포대로4나길 46  서울특별시 마포구 마포동
2  10000.0      진타워텔  마포대로14가길 14-22  서울특별시 마포구 공덕동
3  15000.0  (801-27)       대흥로14길 18  서울특별시 마포구 대흥동
4  11500.0       곶마루       마포대로4다길 4  서울특별시 마포구 마포동",14720
1144012000,5,17.49,3,2010,"   deposit building         road           dong
0  11500.0     노블캐슬  동교로13길 52-5  서울특별시 마포구 서교동
1  12000.0     노블캐슬  동교로13길 52-5  서울특별시 마포구 서교동
2  11000.0     진하우스   양화로7길 61-5  서울특별시 마포구 서교동
3  12000.0     노블캐슬  동교로13길 52-5  서울특별시 마포구 서교동
4  12000.0      센터빌   월드컵로12길 42  서울특별시 마포구 서교동",10857.33333
1144012200,5,16.72,3,2011,"   deposit building       road           dong
0  12000.0   진성르네상스  포은로2가길 20  서울특별시 마포구 합정동
1  11000.0      그린빌  포은로2가길 43  서울특별시 마포구 합정동
2   9500.0      샤인빌  포은로2가길 22  서울특별시 마포구 합정동
3  14700.0    화진리버빌     동교로 60  서울특별시 마포구 합정동
4  13000.0  대명파리지앙2   포은로2길 30  서울특별시 마포구 합정동",11532
1144012200,13,42.33,4,2004,"   deposit       building        road           dong
0  19000.0           미리내빌  성지1길 32-12  서울특별시 마포구 합정동
1  18500.0          다세대주택   포은로5길 6-5  서울특별시 마포구 망원동
2  21000.0          선아아트빌   포은로2나길 32  서울특별시 마포구 합정동
3  24000.0         석우빌라7차  월드컵로19길 79  서울특별시 마포구 망원동
4  19000.0  진흥푸르지오(401-8)  월드컵로23길 76  서울특별시 마포구 망원동",18245
1144012200,8,28.03,2,2015,"   deposit building          road           dong
0  18000.0    진성파인빌  월드컵로5길 44-10  서울특별시 마포구 합정동
1  23000.0    그레이스힐    포은로2길 25-5  서울특별시 마포구 합정동
2  23000.0    그레이스힐    포은로2길 25-5  서울특별시 마포구 합정동
3  25000.0    진성파인빌  월드컵로5길 44-10  서울특별시 마포구 합정동
4  25000.0    미레빌라트    월드컵로23길 70  서울특별시 마포구 망원동",21745.33333
1144012300,10,32.82,5,2015,"   deposit building        road           dong
0  20000.0      바스크  방울내로9안길 68  서울특별시 마포구 망원동
1  27500.0    바우하우스   방울내로3길 26  서울특별시 마포구 망원동
2  27500.0    바우하우스   방울내로3길 26  서울특별시 마포구 망원동
3  25000.0   R해피하우스  월드컵로31길 58  서울특별시 마포구 망원동
4  25000.0    미레빌라트  월드컵로23길 70  서울특별시 마포구 망원동",24327.83333
1144012300,13,41.4,4,1995,"   deposit building         road           dong
0  14500.0   조광그린빌라    동교로3길 129  서울특별시 마포구 망원동
1  24000.0       문화  방울내로11길 173  서울특별시 마포구 망원동
2  12000.0    승화하이츠   성미산로19길 85  서울특별시 마포구 연남동
3  12000.0     진주빌라  월드컵로29길 116  서울특별시 마포구 망원동
4  12000.0     진주빌라  월드컵로29길 116  서울특별시 마포구 망원동",16093
1144012200,8,26.28,2,2011,"   deposit        building       road           dong
0  18000.0  진흥푸르지오(443-17)  희우정로7길 12  서울특별시 마포구 합정동
1  17000.0        (434-10)    포은로2길 9  서울특별시 마포구 합정동
2  17000.0        (434-10)    포은로2길 9  서울특별시 마포구 합정동
3  21000.0         대명에르메스1  월드컵로7길 93  서울특별시 마포구 합정동
4  20000.0         대명에르메스1  월드컵로7길 93  서울특별시 마포구 합정동",16849.5
1144012200,21,67.97,4,2002,"   deposit      building           road           dong
0  33000.0     선우쉐르빌(다동)       포은로 33-1  서울특별시 마포구 합정동
1  24000.0         성전빌리지        희우정로 57  서울특별시 마포구 합정동
2  26000.0      (417-18)        망원로2길 7  서울특별시 마포구 망원동
3  28500.0       수정하이츠2동  희우정로20길 50-12  서울특별시 마포구 망원동
4  22500.0  해븐빌라(385-23)        동교로9길 9  서울특별시 마포구 망원동",28695
1144012200,18,60.18,3,2010,"   deposit  building          road           dong
0  23000.0     세명파크빌  희우정로15길 10-6  서울특별시 마포구 망원동
1  38000.0     리츠하우스    월드컵로 31-15  서울특별시 마포구 합정동
2  28500.0   (430-4)  월드컵로5길 36-19  서울특별시 마포구 합정동
3  26200.0     로즈마리빌     포은로8길 9-6  서울특별시 마포구 망원동
4  29000.0  (453-12)      동교로8길 38  서울특별시 마포구 합정동",27182
1144012500,17,55.41,1,2002,"   deposit building          road           dong
0  23000.0   성산하이츠빌     성미산로3길 56  서울특별시 마포구 성산동
1  22000.0    울타리주택   성미산로19길 108  서울특별시 마포구 연남동
2  22000.0    울타리주택   성미산로19길 108  서울특별시 마포구 연남동
3  19500.0   성산하이츠빌     성미산로3길 56  서울특별시 마포구 성산동
4  20000.0  한아름빌라3차  월드컵로11길 41-7  서울특별시 마포구 망원동",21925
1144012600,18,59.22,3,2002,"   deposit      building           road           dong
0  15000.0      호성그린파크A동      성산로4안길 37  서울특별시 마포구 성산동
1  23000.0         그레이스빌      모래내로7길 41  서울특별시 마포구 성산동
2  20000.0       (223-4)     동교로51안길 28  서울특별시 마포구 연남동
3  18500.0         우리집빌라  월드컵로30가길 16-5  서울특별시 마포구 성산동
4  25000.0  대건주택(223-85)     성미산로 167-4  서울특별시 마포구 연남동",19475
1144011800,12,38.07,4,1991,"   deposit building         road           dong
0  15000.0    연희그랑빌    와우산로1길 33  서울특별시 마포구 당인동
1  15000.0     서교주택     잔다리로 115  서울특별시 마포구 서교동
2  17000.0   (32-0)  와우산로3길 37-7  서울특별시 마포구 당인동
3  15000.0    범일(다)  와우산로5길 25-9  서울특별시 마포구 상수동
4  20000.0    범일(다)  와우산로5길 25-9  서울특별시 마포구 상수동",15685
1144012200,7,22.52,5,2015,"   deposit building        road           dong
0  16000.0   엘에스시티뷰    동교로 30-5  서울특별시 마포구 합정동
1  18500.0    그레이스힐  포은로2길 25-5  서울특별시 마포구 합정동
2  17800.0    그레이스힐  포은로2길 25-5  서울특별시 마포구 합정동
3  26000.0   노블캐슬7차    포은로5길 30  서울특별시 마포구 망원동
4  20000.0    한솔빌리지  망원로6길 31-5  서울특별시 마포구 망원동",17011.7
