코드,평,전용면적(㎡),층,건축년도,predicted
1144010700,20,64.49,3,2004,"   deposit  pricemon   building         road           dong
0   4000.0        60      힐탑빌라트   마포대로4나길 42  서울특별시 마포구 마포동
1   1000.0        94    염리동서원빌라  마포대로11길 108  서울특별시 마포구 염리동
2  20000.0        20       수정빌라     독막로32길 9  서울특별시 마포구 신수동
3   1000.0        50        미래텔    대흥로6길 6-8  서울특별시 마포구 용강동
4   3000.0        75  대명아트빌(B동)    대흥로11안길 5  서울특별시 마포구 신수동"
1144012500,13,42.24,1,1995,"   deposit  pricemon building        road           dong
0   3000.0        45    유동빌리지  성미산로15길 29  서울특별시 마포구 성산동
1   7000.0        50     삼화빌라   연남로11길 21  서울특별시 마포구 연남동
2   3000.0        65     광성빌라  월드컵로26길 52  서울특별시 마포구 성산동
3   1000.0        55     황제빌라   성산로4안길 43  서울특별시 마포구 성산동
4  10000.0        35  삼호빌라 B동    성미산로2길 6  서울특별시 마포구 성산동"
1144010900,13,44.56,2,1981,"   deposit  pricemon  building           road           dong
0   1000.0        48   (147-0)    백범로15길 11-3  서울특별시 마포구 대흥동
1  10000.0        50  (93-118)    독막로19길 39-1  서울특별시 마포구 상수동
2  15000.0         5   (6-276)   와우산로26길 64-3  서울특별시 마포구 창전동
3   1000.0        75   (6-224)  와우산로26길 54-20  서울특별시 마포구 창전동
4   5000.0        50   (487-5)   대흥로30길 44-22  서울특별시 마포구 염리동"
1144010200,4,13.92,3,2012,"   deposit  pricemon  building         road           dong
0   2000.0        50     미네하우스      효창목4길 4  서울특별시 마포구 공덕동
1   2000.0        50  (185-19)     새창로4다길 3  서울특별시 마포구 도화동
2   1000.0        50  (185-19)     새창로4다길 3  서울특별시 마포구 도화동
3   1000.0        55      솔하우스  토정로37길 21-9  서울특별시 마포구 용강동
4   1000.0        40       미래빌  대흥로6길 14-11  서울특별시 마포구 용강동"
1144011500,9,28.32,1,1991,"   deposit  pricemon  building         road           dong
0   4000.0        55      이조빌라   와우산로26길 22  서울특별시 마포구 창전동
1   7000.0        35      대도주택   어울마당로2길 20  서울특별시 마포구 당인동
2    500.0        35   (86-12)    와우산로14길 9  서울특별시 마포구 상수동
3   4000.0        70  (93-118)  독막로19길 39-1  서울특별시 마포구 상수동
4   1000.0        65     연희그랑빌    와우산로1길 33  서울특별시 마포구 당인동"
1144012000,7,21.49,4,2018,"   deposit  pricemon   building        road           dong
0   2000.0       100       시티하임  월드컵로16길 53  서울특별시 마포구 서교동
1   1000.0        95      젤뚜하우스  월드컵로16길 64  서울특별시 마포구 서교동
2   1000.0       110       지후주택    양화로1길 92  서울특별시 마포구 합정동
3  10000.0        50  서교스위트하우스2  월드컵로14길 16  서울특별시 마포구 서교동
4   5000.0        55     홍우(洪宇)  양화로7길 66-3  서울특별시 마포구 서교동"
1144012500,25,82.52,3,2000,"   deposit  pricemon building         road           dong
0  11000.0        70     보영빌라  월드컵북로20길 34  서울특별시 마포구 성산동
1   5000.0       150     화이트빌     연희로1길 53  서울특별시 마포구 연남동
2  20000.0        25  성산동상가주택      성미산로 27  서울특별시 마포구 성산동
3  20000.0        25  성산동상가주택      성미산로 27  서울특별시 마포구 성산동
4    500.0        40     서인빌라    동교로 44-11  서울특별시 마포구 합정동"
1144012700,6,21,2,2013,"   deposit  pricemon building            road           dong
0   1000.0        55      진성빌     매봉산로2길 19-5  서울특별시 마포구 상암동
1   1000.0        55      진성빌     매봉산로2길 19-5  서울특별시 마포구 상암동
2   1500.0        45    리솜하우스       매봉산로2길 64  서울특별시 마포구 상암동
3    500.0        45    수정빌리지     월드컵북로44길 77  서울특별시 마포구 상암동
4   1000.0        50  (11-19)  월드컵북로44길 76-10  서울특별시 마포구 상암동"
1144012500,7,21.83,2,2012,"   deposit  pricemon building           road           dong
0  12000.0        10     에버그린    성미산로1길 26-7  서울특별시 마포구 성산동
1   1000.0        50    금동파인빌      성미산로 57-4  서울특별시 마포구 성산동
2   3000.0        30     예그리나     월드컵북로9길 44  서울특별시 마포구 성산동
3   3000.0        35  (568-7)  월드컵북로6길 53-11  서울특별시 마포구 연남동
4   1000.0        50      올리빌   성미산로19길 46-5  서울특별시 마포구 연남동"
1144010500,6,20.78,3,2015,"   deposit  pricemon  building         road           dong
0   2000.0        52       지산재   대흥로6길 10-8  서울특별시 마포구 용강동
1   1000.0        40       미래빌  대흥로6길 14-11  서울특별시 마포구 용강동
2   1000.0        50  (185-19)     새창로4다길 3  서울특별시 마포구 도화동
3   1000.0        55      솔하우스  토정로37길 21-9  서울특별시 마포구 용강동
4   2000.0        50  (185-19)     새창로4다길 3  서울특별시 마포구 도화동"
