코드,평수,전용면적(㎡),층,건축년도,predicted,predicted price
1135010500,4,14.7,4,2013,"   deposit building         road           dong
0   6000.0   에든버러캐슬   동일로246길 46  서울특별시 노원구 상계동
1  10000.0    에스엔타워  동일로242가길 22  서울특별시 노원구 상계동
2  10000.0    에스엔타워  동일로242가길 22  서울특별시 노원구 상계동
3   9500.0    삼정하우스  동일로241나길 11  서울특별시 노원구 상계동
4   7000.0    수락래미안   동일로239가길 6  서울특별시 노원구 상계동",7501
1135010200,19,63.57,1,1993,"   deposit   building          road           dong
0  16000.0   현대그린빌라A동    광운로19가길 23  서울특별시 노원구 월계동
1  13000.0  (534-145)     월계로44길 49  서울특별시 노원구 월계동
2   5500.0        하나빌  월계로44가길 51-7  서울특별시 노원구 월계동
3  18500.0       대명빌라        광운로 84  서울특별시 노원구 월계동
4  13000.0    범하하이츠빌라     광운로12길 12  서울특별시 노원구 월계동",13388.33333
1135010500,17,57.18,3,2000,"   deposit building       road           dong
0  15000.0     영신빌라   상계로9길 16  서울특별시 노원구 상계동
1  16000.0    동일하이츠  수락산로 13-1  서울특별시 노원구 상계동
2  10000.0    내경빌라B  상계로11길 20  서울특별시 노원구 상계동
3  12000.0     가토빌라  상계로35길 30  서울특별시 노원구 상계동
4  13000.0     가토빌라  상계로35길 30  서울특별시 노원구 상계동",14629
1135010200,16,54.25,3,2003,"   deposit      building          road           dong
0  10000.0  현대빌라(472-31)       광운로 4-5  서울특별시 노원구 월계동
1  13000.0         허니하우스  월계로44가길 51-9  서울특별시 노원구 월계동
2   7000.0         허니하우스  월계로44가길 51-9  서울특별시 노원구 월계동
3   9000.0          영시티빌     월계로44길 66  서울특별시 노원구 월계동
4  12000.0         정은아트빌    월계로44가길 28  서울특별시 노원구 월계동",11118
1135010400,20,64.6,5,2004,"   deposit   building           road           dong
0  26000.0  동해빌라트101동  한글비석로1길 81-12  서울특별시 노원구 하계동
1  16000.0  (1048-37)    동일로237다길 20  서울특별시 노원구 상계동
2  13000.0    성문하이빌B동     덕릉로115길 25  서울특별시 노원구 상계동
3  18000.0      드림데시앙     동일로178길 14  서울특별시 노원구 공릉동
4  16000.0    (587-9)     동일로178길 49  서울특별시 노원구 공릉동",15182
1135010500,15,49.95,4,2002,"   deposit      building          road           dong
0   9000.0       범하훼미리타운   덕릉로119가길 32  서울특별시 노원구 상계동
1   7000.0        (47-3)     덕릉로134길 4  서울특별시 노원구 상계동
2  15000.0  상계빌라(1087-8)    동일로237길 80  서울특별시 노원구 상계동
3  13000.0         진주아트빌      상계로33길 7  서울특별시 노원구 상계동
4  12000.0         한신빌라트  한글비석로31가길 39  서울특별시 노원구 상계동",9000
1135010200,8,25.66,6,2019,"   deposit       building       road           dong
0  25000.0        시원하림스위트  광운로17길 13  서울특별시 노원구 월계동
1   9000.0        534-133  월계로44길 63  서울특별시 노원구 월계동
2  20000.0  네오하임(NEOHEIM)  광운로19길 21  서울특별시 노원구 월계동
3  20800.0  네오하임(NEOHEIM)  광운로19길 21  서울특별시 노원구 월계동
4  24000.0        시원하림스위트  광운로17길 13  서울특별시 노원구 월계동",18816
1135010300,5,16,4,2013,"   deposit       building          road           dong
0  11000.0            진성빌  동일로184길 69-7  서울특별시 노원구 공릉동
1  13000.0  네모하우스(503-32)  동일로186길 53-6  서울특별시 노원구 공릉동
2   7500.0           더하우스    공릉로 119-23  서울특별시 노원구 공릉동
3   9000.0           하나캐슬    동일로178길 26  서울특별시 노원구 공릉동
4   6000.0       (338-62)     공릉로29길 20  서울특별시 노원구 공릉동",9379.97619
1135010300,14,46.23,2,1986,"   deposit  building         road           dong
0  11000.0      경춘빌라       노원로 41  서울특별시 노원구 공릉동
1  14000.0      둥지빌라  동일로192다길 27  서울특별시 노원구 공릉동
2  13000.0      노원빌라  동일로192다길 31  서울특별시 노원구 공릉동
3  15000.0  (499-46)   동일로186길 13  서울특별시 노원구 공릉동
4  16500.0      유성빌라    공릉로 199-1  서울특별시 노원구 공릉동",12750
1135010500,20,66.15,4,1996,"   deposit     building            road           dong
0  10000.0         청목빌라    상계로35가길 6-10  서울특별시 노원구 상계동
1  10000.0         청목빌라    상계로35가길 6-10  서울특별시 노원구 상계동
2  15000.0         호연빌라    상계로31길 50-10  서울특별시 노원구 상계동
3  13000.0       현대빌라1차       상계로35길 46  서울특별시 노원구 상계동
4  12500.0  천우빌라 13차 가동  한글비석로44가길 14-2  서울특별시 노원구 상계동",10480
