코드,평수,전용면적(㎡),층,건축년도,predicted
1135010300,8,24.87,4,2015,"   deposit  pricemon  building           road           dong
0   2000.0        35  (415-82)      공릉로41가길 9  서울특별시 노원구 공릉동
1  10000.0        30      팰리스가      공릉로 104-9  서울특별시 노원구 공릉동
2    500.0        40        다온  동일로178길 29-18  서울특별시 노원구 공릉동
3    500.0        55    호산나하우스     동일로184길 26  서울특별시 노원구 공릉동
4   3000.0        35     아트갤러리  동일로178길 29-10  서울특별시 노원구 공릉동"
1135010300,7,21.65,5,2013,"   deposit  pricemon     building           road           dong
0   2000.0        45          일마래     동일로182길 12  서울특별시 노원구 공릉동
1    500.0        40  파크빌(559-26)  동일로182길 63-19  서울특별시 노원구 공릉동
2   1000.0        34     (513-57)  동일로186길 36-20  서울특별시 노원구 공릉동
3   1000.0        40     골든HOUSE2     동일로196길 21  서울특별시 노원구 공릉동
4   1000.0        45       해오라기힐스  동일로186길 53-40  서울특별시 노원구 공릉동"
1135010500,5,18,2,2012,"   deposit  pricemon  building            road           dong
0   1000.0        40        루체      동일로239길 36  서울특별시 노원구 상계동
1   1000.0        42    송원레지던스     상계로1길 54-12  서울특별시 노원구 상계동
2   5000.0        10      원하우스  동일로237나길 35-12  서울특별시 노원구 상계동
3   3000.0        30      레나힐스      동일로242라길 9  서울특별시 노원구 상계동
4    500.0        35  (404-16)       상계로17길 52  서울특별시 노원구 상계동"
1135010300,7,21.62,2,2015,"   deposit  pricemon building          road           dong
0   1000.0        40      장가빌    공릉로 152-11  서울특별시 노원구 공릉동
1   1000.0        40      장가빌    공릉로 152-11  서울특별시 노원구 공릉동
2   1000.0        40    375-9    동일로196길 14  서울특별시 노원구 공릉동
3   3000.0        35   청마타운A동     공릉로27길 90  서울특별시 노원구 공릉동
4   3000.0        45    명승화운트  동일로180길 47-4  서울특별시 노원구 공릉동"
1135010300,13,43.2,4,2003,"   deposit  pricemon building          road           dong
0   7500.0        12     풍산주택    공릉로43가길 25  서울특별시 노원구 공릉동
1   1500.0        40     스마일룸    동일로179길 36  서울특별시 노원구 공릉동
2   4000.0        40   삼성그린빌라      섬밭로 64-2  서울특별시 노원구 공릉동
3   1000.0        55     공릉빌라  동일로186길 3-28  서울특별시 노원구 공릉동
4   2000.0        60    혜양빌라트  동일로186길 36-3  서울특별시 노원구 공릉동"
1135010500,6,20.74,3,2013,"   deposit  pricemon   building            road           dong
0   2000.0        30       원하우스  동일로237나길 35-12  서울특별시 노원구 상계동
1    500.0        40         루체      동일로239길 36  서울특별시 노원구 상계동
2   3000.0        46  상계 예인빌라1차       상계로18길 48  서울특별시 노원구 상계동
3   1500.0        40   (404-17)       상계로17길 50  서울특별시 노원구 상계동
4   3188.0        17     수락리버타운          누원로 19  서울특별시 노원구 상계동"
1135010200,4,12.07,3,2011,"   deposit  pricemon   building        road           dong
0   1000.0        40   MAI BAUM  광운로7길 10-7  서울특별시 노원구 월계동
1   1000.0        40   MAI BAUM  광운로7길 10-7  서울특별시 노원구 월계동
2   1000.0        40   MAI BAUM  광운로7길 10-7  서울특별시 노원구 월계동
3   2000.0        41  J&J HOUSE   석계로13길 40  서울특별시 노원구 월계동
4   2000.0        31  J&J HOUSE   석계로13길 40  서울특별시 노원구 월계동"
1135010300,4,12.01,3,2012,"   deposit  pricemon  building           road           dong
0   8000.0         5     스톤게이트     동일로190길 46  서울특별시 노원구 공릉동
1   2000.0        35     스톤게이트     동일로190길 46  서울특별시 노원구 공릉동
2   2000.0        35     스톤게이트     동일로190길 46  서울특별시 노원구 공릉동
3   2000.0        30  공감대House  동일로178길 29-13  서울특별시 노원구 공릉동
4   1000.0        45       위드빌   동일로186길 53-4  서울특별시 노원구 공릉동"
1135010500,5,16.92,2,2012,"   deposit  pricemon  building            road           dong
0   1000.0        42    송원레지던스     상계로1길 54-12  서울특별시 노원구 상계동
1   1000.0        40        루체      동일로239길 36  서울특별시 노원구 상계동
2   5000.0        10      원하우스  동일로237나길 35-12  서울특별시 노원구 상계동
3    500.0        35  (404-16)       상계로17길 52  서울특별시 노원구 상계동
4    300.0        40  (404-16)       상계로17길 52  서울특별시 노원구 상계동"
1135010300,8,24.87,3,2015,"   deposit  pricemon building           road           dong
0   1000.0        45    티케하우스      공릉로43가길 1  서울특별시 노원구 공릉동
1   2000.0        50   힐스퀘어A동     공릉로43가길 20  서울특별시 노원구 공릉동
2   1000.0        40   441-47   공릉로43가길 16-7  서울특별시 노원구 공릉동
3   1000.0        40     한미동산  동일로186길 53-17  서울특별시 노원구 공릉동
4   3000.0        50   힐스퀘어A동     공릉로43가길 20  서울특별시 노원구 공릉동"
