코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1165010100,24,79.32,4,2004,"   deposit building         road           dong
0  47000.0      샤인빌    방배로25길 49  서울특별시 서초구 방배동
1  28000.0       석영   방배천로34길 41  서울특별시 서초구 방배동
2  28000.0    선영아트빌    방배로25길 36  서울특별시 서초구 방배동
3  38000.0     미래빌라  효령로27길 80-1  서울특별시 서초구 방배동
4  28500.0    삼성하이츠  효령로2길 29-10  서울특별시 서초구 방배동",35765
1165010200,9,29.98,3,2016,"   deposit   building          road           dong
0  23950.0     아름다운공간  강남대로6길 82-11  서울특별시 서초구 양재동
1  28000.0  주원베르빌102동      동산로 80-1  서울특별시 서초구 양재동
2  29000.0      주원베르빌        동산로 80  서울특별시 서초구 양재동
3  27300.0      세화하우징   강남대로8길 23-9  서울특별시 서초구 양재동
4  28000.0      주원베르빌        동산로 80  서울특별시 서초구 양재동",25519
1165010800,18,60.32,5,2019,"   deposit       building          road           dong
0  62000.0  서리풀 월드메르디앙 레브   명달로11길 17-2  서울특별시 서초구 서초동
1  45000.0       펜타트럼 1단지  반포대로24길 42-1  서울특별시 서초구 서초동
2  40000.0      (1451-60)     효령로52길 29  서울특별시 서초구 서초동
3  40000.0      (1451-60)     효령로52길 29  서울특별시 서초구 서초동
4  35500.0      (1659-11)   서초중앙로22길 32  서울특별시 서초구 서초동",52410
1165010800,5,18.12,2,2014,"   deposit    building              road           dong
0  17000.0        모던하임         명달로28길 15  서울특별시 서초구 서초동
1  16000.0        모던하임         명달로28길 15  서울특별시 서초구 서초동
2  14500.0        스마트빌      서초중앙로2길 72-3  서울특별시 서초구 서초동
3  17000.0      서초폴라리스  남부순환로337가길 11-12  서울특별시 서초구 서초동
4  16000.0  (1487-136)           명달로4길 5  서울특별시 서초구 서초동",16482.5
1165010200,11,37.35,2,1994,"   deposit      building         road           dong
0   4000.0       (245-4)       언남길 29  서울특별시 서초구 양재동
1  18500.0        화평빌라비동    매헌로12길 10  서울특별시 서초구 양재동
2  20000.0        효성파크빌라   언남1길 16-16  서울특별시 서초구 양재동
3  17500.0          장원빌라    동산로10길 64  서울특별시 서초구 양재동
4  20000.0  뉴아트빌라(248-5)  마방로4길 16-12  서울특별시 서초구 양재동",10260
1165010800,24,78.88,1,1982,"   deposit  building           road           dong
0  34000.0    영동빌라A동      주흥7길 10-1  서울특별시 서초구 반포동
1  35000.0  (1522-3)   반포대로13길 50-5  서울특별시 서초구 서초동
2  25000.0      성원빌라  반포대로23길 64-15  서울특별시 서초구 서초동
3  25000.0   성원빌라(3)     반포대로27길 61  서울특별시 서초구 서초동
4  36500.0  (1647-9)    사임당로 111-12  서울특별시 서초구 서초동",33430
1165010100,13,44.18,2,2017,"   deposit  building          road           dong
0  38000.0   (793-2)      동광로15길 6  서울특별시 서초구 방배동
1  23500.0  (829-34)    방배천로32길 17  서울특별시 서초구 방배동
2  48000.0    데코 아트빌   방배로32길 67-3  서울특별시 서초구 방배동
3  37000.0  (916-12)  방배로13길 53-14  서울특별시 서초구 방배동
4  37000.0  (916-12)  방배로13길 53-14  서울특별시 서초구 방배동",30546
1165010200,33,107.76,4,1993,"   deposit building         road           dong
0  25000.0       삼성     양재천로 145  서울특별시 서초구 양재동
1  50000.0  양재동다산빌라    매헌로14길 11  서울특별시 서초구 양재동
2  57000.0       현대     바우뫼로1길 5  서울특별시 서초구 우면동
3  50000.0    신구빌라트  효령로5길 25-10  서울특별시 서초구 방배동
4  43000.0  효성하이츠맨션    효령로21길 16  서울특별시 서초구 방배동",39560
1165010200,6,19.8,1,2003,"   deposit  building          road           dong
0  17000.0    양재베스트빌      마방로2길 27  서울특별시 서초구 양재동
1  14000.0  (857-28)     방배로25길 62  서울특별시 서초구 방배동
2  10000.0    삼성파크빌라     서초대로 49-7  서울특별시 서초구 방배동
3  18000.0    현대힐빌리지   강남대로6길 65-9  서울특별시 서초구 양재동
4   8000.0  (876-13)  서초대로25길 16-4  서울특별시 서초구 방배동",12289
1165010200,9,29.77,4,2017,"   deposit building          road           dong
0  26500.0    대명아트빌    강남대로6길 125  서울특별시 서초구 양재동
1  27300.0     공동주택        언남길 80  서울특별시 서초구 양재동
2  28000.0      마이빌        동산로 90  서울특별시 서초구 양재동
3  25000.0    하우징허브  강남대로8길 39-34  서울특별시 서초구 양재동
4  28000.0    주원베르빌        동산로 80  서울특별시 서초구 양재동",26583
