코드,평,전용면적(㎡),층,건축년도,predicted
1165010200,10,31.55,3,2005,"   deposit  pricemon        building             road           dong
0   7000.0        25           양재그린빌        매헌로16길 26  서울특별시 서초구 양재동
1  14000.0        10          썬빌리지5동        논현로31길 27  서울특별시 서초구 양재동
2  12000.0        30          썬빌리지4동        논현로31길 25  서울특별시 서초구 양재동
3  10000.0        27          썬빌리지3동        논현로31길 23  서울특별시 서초구 양재동
4   2000.0        65  양재베스트빌(11-113)  남부순환로350길 29-11  서울특별시 서초구 양재동"
1165010100,5,17.43,4,2017,"   deposit  pricemon  building         road           dong
0   1000.0        55  (914-24)    효령로27길 19  서울특별시 서초구 방배동
1   5000.0        40       비쥬빌    동광로14길 82  서울특별시 서초구 방배동
2   3000.0        73      리더스빌  방배로18길 13-1  서울특별시 서초구 방배동
3   1000.0        60   퍼스트캐슬A동   서초대로28길 15  서울특별시 서초구 방배동
4   3000.0        52      방배캐슬  방배로28길 17-5  서울특별시 서초구 방배동"
1165010700,18,59.73,1,1989,"   deposit  pricemon  building        road           dong
0   1000.0        65     반포빌라트    주흥11길 11  서울특별시 서초구 반포동
1   2000.0        70  (1484-2)   반포대로9길 17  서울특별시 서초구 서초동
2   1000.0        70  (728-11)   주흥길 31-15  서울특별시 서초구 반포동
3  12000.0        15      신광주택  신반포로45길 85  서울특별시 서초구 잠원동
4   1000.0        80    골드라인빌딩  강남대로97길 18  서울특별시 서초구 잠원동"
1165010800,15,49.03,-1,1986,"   deposit  pricemon   building           road           dong
0    150.0        66       동성빌라  반포대로23길 64-11  서울특별시 서초구 서초동
1   3000.0        50   (1613-1)        서리풀길 26  서울특별시 서초구 서초동
2  12000.0        30  서초실버타운(A)       서운로9길 50  서울특별시 서초구 서초동
3   9000.0        10        유니빌   반포대로19길 9-12  서울특별시 서초구 서초동
4   5000.0        80       동천빌라      명달로22길 28  서울특별시 서초구 서초동"
1165010600,12,38.54,2,2001,"   deposit  pricemon building            road           dong
0  21000.0         5       호빈  강남대로109길 73-35  서울특별시 서초구 잠원동
1   2000.0        50     장현빌라      주흥9길 26-11  서울특별시 서초구 반포동
2   2000.0        93      다인빌         잠원로 114  서울특별시 서초구 잠원동
3   2000.0        90    서우빌라트    신반포로45길 29-6  서울특별시 서초구 잠원동
4  10000.0        83  (731-2)          주흥길 36  서울특별시 서초구 반포동"
1165010200,10,34.51,7,1997,"   deposit  pricemon building       road           dong
0   8000.0        35     서방빌딩   바우뫼로 144  서울특별시 서초구 양재동
1   2000.0        80   상헌새티스빌  강남대로2길 56  서울특별시 서초구 양재동
2   1000.0        75     서방빌딩   바우뫼로 144  서울특별시 서초구 양재동
3  13000.0        27   썬빌리지3동  논현로31길 23  서울특별시 서초구 양재동
4  15000.0        20   썬빌리지1동  논현로31길 19  서울특별시 서초구 양재동"
1165010800,17,57.77,2,2007,"   deposit  pricemon     building             road           dong
0   5000.0        95  서초에버빌(1439)  남부순환로339길 64-23  서울특별시 서초구 서초동
1  20000.0        30    (1508-21)        명달로26길 42  서울특별시 서초구 서초동
2   4000.0        80        서초아트빌    강남대로39길 26-10  서울특별시 서초구 서초동
3   8000.0        50        필민하우스       주흥13길 27-6  서울특별시 서초구 반포동
4   3000.0       100        꿈이있는집        명달로26길 48  서울특별시 서초구 서초동"
1165010100,19,62.64,3,1991,"   deposit  pricemon       building           road           dong
0  16000.0        70       대도빌라(12)      방배로40길 31  서울특별시 서초구 방배동
1  10000.0        50  한신빌라(530-109)      효령로12길 13  서울특별시 서초구 방배동
2   4000.0        60           동호주택  서초대로19길 10-18  서울특별시 서초구 방배동
3   5000.0        80           대광빌라       동광로3길 80  서울특별시 서초구 방배동
4   2000.0        80           상아빌라    논현로5길 15-13  서울특별시 서초구 양재동"
1165010700,20,64.48,3,2002,"   deposit  pricemon building        road           dong
0  20000.0        70    서래의아침  동광로42길 6-3  서울특별시 서초구 반포동
1   2500.0        65     대청빌라     주흥9길 10  서울특별시 서초구 반포동
2   2000.0       120     그랜드빌  강남대로79길 56  서울특별시 서초구 반포동
3  20000.0        45     청아빌라   명달로26길 22  서울특별시 서초구 서초동
4  12000.0        65   프로방스빌라    동광로42길 5  서울특별시 서초구 반포동"
1165010800,14,47.64,6,2002,"   deposit  pricemon      building             road           dong
0  25000.0        20  소망빌라(1666-7)    서초대로54길 29-20  서울특별시 서초구 서초동
1  26000.0        15         서초드림빌  남부순환로339길 64-25  서울특별시 서초구 서초동
2   4000.0        90          성환빌딩       서초대로54길 39  서울특별시 서초구 서초동
3  24000.0         5        정연베스트빌     사평대로55길 82-6  서울특별시 서초구 반포동
4  35000.0        15  세원플러스빌(1429)     남부순환로335길 13  서울특별시 서초구 서초동"
1165010200,8,27,4,1992,"   deposit  pricemon building           road           dong
0   3000.0        40   라이프타운A  강남대로6길 108-16  서울특별시 서초구 양재동
1   1000.0        60     신성빌딩  강남대로6길 133-19  서울특별시 서초구 양재동
2   2000.0        60     홍익빌라      강남대로8길 86  서울특별시 서초구 양재동
3  18000.0        10     홍익빌라      강남대로8길 86  서울특별시 서초구 양재동
4   5000.0        50     요한빌라       청두곶3길 17  서울특별시 서초구 방배동"
1165010700,8,27.03,2,2011,"   deposit  pricemon     building         road           dong
0   9000.0        40         프라임2   주흥11길 12-3  서울특별시 서초구 반포동
1   2000.0        55      (709-4)  사평대로55길 127  서울특별시 서초구 반포동
2   1000.0        70       리베하임1차     주흥길 65-4  서울특별시 서초구 반포동
3   3000.0        50      세종빌리지5차     주흥11길 27  서울특별시 서초구 반포동
4   3000.0        55  리베하임(728-8)    주흥길 31-21  서울특별시 서초구 반포동"
1165010100,22,72.75,4,2005,"   deposit  pricemon building       road           dong
0   5000.0       125  (870-3)  방배로25길 53  서울특별시 서초구 방배동
1  37000.0        20    송림하이빌  효령로27길 82  서울특별시 서초구 방배동
2  37100.0        20    송림하이빌  효령로27길 82  서울특별시 서초구 방배동
3  37000.0        20    송림하이빌  효령로27길 82  서울특별시 서초구 방배동
4  31500.0        20     영광빌딩  방배천로34길 3  서울특별시 서초구 방배동"
1165010800,31,103.62,4,1998,"   deposit  pricemon building          road           dong
0  10000.0       125   롯데뉴빌리지  남부순환로347길 57  서울특별시 서초구 서초동
1  35000.0       100     송단62      명달로28길 7  서울특별시 서초구 서초동
2  12000.0       110       박하    사평대로22길 36  서울특별시 서초구 반포동
3  10000.0       130     호원주택   명달로22길 44-9  서울특별시 서초구 서초동
4   3000.0       130     서전빌라     잠원로 201-6  서울특별시 서초구 잠원동"
1165010800,11,37.27,1,2002,"   deposit  pricemon     building          road           dong
0   5000.0        64         명하우스   명달로26길 29-5  서울특별시 서초구 서초동
1  28500.0         8  예림하이츠(1508)     명달로28길 40  서울특별시 서초구 서초동
2   7000.0        30         기성주택  효령로74길 34-19  서울특별시 서초구 서초동
3   7000.0        30         기성주택  효령로74길 34-19  서울특별시 서초구 서초동
4  25000.0        10          이도빌    서리풀3길 20-5  서울특별시 서초구 서초동"
1165010100,8,27.78,5,2013,"   deposit  pricemon building          road           dong
0  20000.0         3    방배비체빌    서초대로28길 36  서울특별시 서초구 방배동
1   1000.0        50     트윈캐슬    서초대로22길 46  서울특별시 서초구 방배동
2  19000.0        20    바우하우스  서초대로30길 27-6  서울특별시 서초구 방배동
3   4000.0        45    드림하이2   방배천로4길 15-8  서울특별시 서초구 방배동
4   1000.0       105    진흥펠리체    방배로20길 8-3  서울특별시 서초구 방배동"
