코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1141011700,13,43.94,1,1986,"   deposit   building        road            dong
0  14000.0       동보빌라   연희로 44-29  서울특별시 서대문구 연희동
1  17000.0       동진빌라   연희로36길 26  서울특별시 서대문구 연희동
2   5000.0  (533-125)  홍제천로 54-12  서울특별시 서대문구 연희동
3   5000.0  (533-125)  홍제천로 54-12  서울특별시 서대문구 연희동
4  15000.0    (9-190)    포방터2길 22  서울특별시 서대문구 홍은동",13768
1141011000,20,65,2,1994,"   deposit  building            road             dong
0  15000.0  (1-1171)    북아현로22길 74-1  서울특별시 서대문구 북아현동
1  18000.0      대흥주택      세무서7길 12-6   서울특별시 서대문구 홍제동
2  22000.0    동아아트맨션      북아현로22길 34  서울특별시 서대문구 북아현동
3  19000.0    유림아트빌라       홍제내2가길 43   서울특별시 서대문구 홍제동
4  18000.0   현대훼미리빌라  북아현로22나길 99-16  서울특별시 서대문구 북아현동",18337
1141011900,10,33.78,1,1990,"   deposit      building          road             dong
0  10000.0       (75-47)  거북골로14가길 9-6  서울특별시 서대문구 북가좌동
1  10000.0       (75-47)  거북골로14가길 9-6  서울특별시 서대문구 북가좌동
2  15500.0          송재빌라  거북골로23길 58-7  서울특별시 서대문구 북가좌동
3   9000.0  조은빌라(11-337)    홍은중앙로5길 39   서울특별시 서대문구 홍은동
4  10000.0       (5-132)      명지대5길 15  서울특별시 서대문구 남가좌동",9323
1141011700,17,57.12,1,2002,"   deposit building           road            dong
0  24500.0    샬롬아트빌  연희로10가길 51-28  서울특별시 서대문구 연희동
1  13500.0    명지월드빌       가좌로2길 39  서울특별시 서대문구 홍은동
2  13500.0    명지월드빌       가좌로2길 39  서울특별시 서대문구 홍은동
3  26000.0       서림      신촌로3가길 13  서울특별시 서대문구 창천동
4  13500.0     레미안빌     연희로41라길 36  서울특별시 서대문구 홍은동",18216.66667
1141011800,24,78.36,2,1994,"   deposit    building          road             dong
0  22000.0        그린빌라    거북골로23길 70  서울특별시 서대문구 북가좌동
1  22000.0        그린빌라    거북골로23길 70  서울특별시 서대문구 북가좌동
2  16000.0        석산빌라  연희로41길 69-13   서울특별시 서대문구 홍은동
3   5000.0        일양빌라     백련사길 11-8   서울특별시 서대문구 홍은동
4  18000.0  남경빌리지(3-5)    증가로12나길 98  서울특별시 서대문구 북가좌동",16781.66667
1141012000,23,75.33,4,2013,"   deposit       building           road             dong
0  29000.0       (278-16)  증가로28안길 23-15  서울특별시 서대문구 북가좌동
1  22000.0   동화빌라(344-15)      증가로31길 32  서울특별시 서대문구 북가좌동
2  20000.0  세종파크빌리지(3-72)     증가로24바길 19  서울특별시 서대문구 북가좌동
3  18000.0          파텍빌리지    증가로4길 38-27   서울특별시 서대문구 홍은동
4  22000.0    수정빌라(227-0)      가재울로14길 9  서울특별시 서대문구 남가좌동",20222
1141011900,9,29.46,5,2019,"   deposit building           road             dong
0  15000.0    빌리브캐슬  거북골로20길 53-15  서울특별시 서대문구 북가좌동
1  22000.0   신안휴먼타운  거북골로20길 43-13  서울특별시 서대문구 북가좌동
2  22000.0   신안휴먼타운  거북골로20길 43-13  서울특별시 서대문구 북가좌동
3  26500.0   신안휴먼타운  거북골로20길 43-13  서울특별시 서대문구 북가좌동
4  26500.0   신안휴먼타운  거북골로20길 43-13  서울특별시 서대문구 북가좌동",20805
1141011700,15,49.27,2,1986,"   deposit  building        road            dong
0  16000.0      동보빌라   연희로 44-27  서울특별시 서대문구 연희동
1  15000.0  (724-22)    홍연6안길 19  서울특별시 서대문구 연희동
2  15000.0      동진빌라   연희로36길 26  서울특별시 서대문구 연희동
3   9000.0   (8-105)   홍은중앙로 136  서울특별시 서대문구 홍은동
4  10500.0   화성빌라-다동  모래내로17길 35  서울특별시 서대문구 홍은동",15675
1141011700,9,29.73,4,2016,"   deposit    building          road            dong
0  24000.0         수미안    연희로8길 28-8  서울특별시 서대문구 연희동
1  14500.0     아델하우스1차     포방터2다길 18  서울특별시 서대문구 홍은동
2  14500.0     아델하우스1차     포방터2다길 18  서울특별시 서대문구 홍은동
3  10000.0        퍼스트힐  연희로39길 47-33  서울특별시 서대문구 홍은동
4  26000.0  연희궁의아침(천동)     연희로10길 24  서울특별시 서대문구 연희동",18623.5
1141011000,15,50.23,1,2013,"   deposit     building         road             dong
0  26000.0  인욱빌(267-17)    세무서10길 19   서울특별시 서대문구 홍제동
1  38000.0       힐스타빌리지  북아현로22나길 21  서울특별시 서대문구 북아현동
2  34000.0       힐스타빌리지  북아현로22나길 21  서울특별시 서대문구 북아현동
3  29000.0     힐스타빌리지3차  북아현로22마길 19  서울특별시 서대문구 북아현동
4  21700.0        광명쉐르빌       송죽길 69   서울특별시 서대문구 홍제동",16987
