코드,평,전용면적(㎡),층,건축년도,predicted
1141011600,11,35.25,3,2002,"   deposit  pricemon building        road            dong
0   1000.0        65       A동   신촌로7안길 16  서울특별시 서대문구 창천동
1   2000.0        50      그린빌    신촌로7안길 8  서울특별시 서대문구 창천동
2   2000.0        40  연세타운하우스    연희로2길 13  서울특별시 서대문구 창천동
3   2000.0        65      그린빌    신촌로7안길 8  서울특별시 서대문구 창천동
4   2000.0        80   정웅에이스빌  연희로2안길 7-7  서울특별시 서대문구 창천동"
1141011800,51,169.29,2,2005,"   deposit  pricemon   building        road             dong
0  20000.0       215      화산아트빌   연희로28길 33   서울특별시 서대문구 연희동
1   5000.0       140  동도아카데미하우스     백련사길 32   서울특별시 서대문구 홍은동
2    500.0        50    (5-195)   명지대1라길 40  서울특별시 서대문구 남가좌동
3  20000.0       215      화산아트빌   연희로28길 33   서울특별시 서대문구 연희동
4  17000.0        50   스위스현대빌라트  연희로41다길 16   서울특별시 서대문구 홍은동"
1141011600,21,68.51,2,2009,"   deposit  pricemon  building       road            dong
0    200.0        61     언제나미소  신촌로7안길 54  서울특별시 서대문구 창천동
1   2000.0        30  (194-22)   연희로8길 26  서울특별시 서대문구 연희동
2  15000.0        45      명문주택  연희로 81-18  서울특별시 서대문구 연희동
3  21000.0         5      명문주택  연희로 81-18  서울특별시 서대문구 연희동
4   2000.0        38  (194-22)   연희로8길 26  서울특별시 서대문구 연희동"
1141011800,5,17.8,2,2011,"   deposit  pricemon building          road            dong
0   4000.0        20  (401-7)     거북골로 8-11  서울특별시 서대문구 홍은동
1    500.0        35  (375-0)       명지길 125  서울특별시 서대문구 홍은동
2   3000.0        25  그레이스하우스  증가로10길 82-14  서울특별시 서대문구 홍은동
3   2000.0        35  그레이스하우스  증가로10길 82-14  서울특별시 서대문구 홍은동
4    500.0        47   프라임하우스   증가로8길 82-16  서울특별시 서대문구 홍은동"
1141011800,13,41.71,4,2016,"   deposit  pricemon building         road             dong
0   1818.0        24    명진하이빌  증가로6길 82-22   서울특별시 서대문구 홍은동
1   2000.0        70     블리스빌   거북골로22길 13  서울특별시 서대문구 북가좌동
2   1983.0        17      우리빌   증가로20가길 29  서울특별시 서대문구 북가좌동
3   1000.0        75  연희미다스파크      연희로 233   서울특별시 서대문구 연희동
4   3000.0        50    현대아트빌  연희로33길 29-6   서울특별시 서대문구 연희동"
1141011700,4,13.43,4,2003,"   deposit  pricemon  building         road            dong
0    500.0        40  (287-18)     연희로8길 11  서울특별시 서대문구 연희동
1    500.0        50  (287-18)     연희로8길 11  서울특별시 서대문구 연희동
2   1000.0        30      현대빌딩  증가로4길 72-15  서울특별시 서대문구 홍은동
3   6000.0        30  (350-13)  연희로4길 13-21  서울특별시 서대문구 연희동
4   1000.0        50      아키빌2    신촌로7안길 12  서울특별시 서대문구 창천동"
1141011900,11,37.15,4,2010,"   deposit  pricemon building          road             dong
0   1000.0        50   해밀타운A동  증가로29길 20-27  서울특별시 서대문구 북가좌동
1  14500.0        10   청마베스트빌    증가로6길 25-5  서울특별시 서대문구 남가좌동
2   3000.0        50   동화빌라3차  증가로24다길 12-5  서울특별시 서대문구 북가좌동
3   2000.0        56  (375-0)       명지길 125   서울특별시 서대문구 홍은동
4   2000.0        56  (375-0)       명지길 125   서울특별시 서대문구 홍은동"
1141011900,13,43.06,3,2007,"   deposit  pricemon       building         road             dong
0   3000.0        50          프렌치빌라   수색로10길 6-4  서울특별시 서대문구 북가좌동
1   6000.0        50  우창홈타운(282-32)    증가로26길 16  서울특별시 서대문구 북가좌동
2  12000.0         5       (296-17)  증가로23다길 3-4  서울특별시 서대문구 북가좌동
3   2000.0        70          파인하우스    연희로 193-7   서울특별시 서대문구 연희동
4   3000.0        50          영주아트빌    증가로29길 20  서울특별시 서대문구 북가좌동"
1141011600,4,13.46,4,2011,"   deposit  pricemon     building         road            dong
0   2000.0        43      (90-46)    신촌로7안길 79  서울특별시 서대문구 창천동
1   3000.0        40      (90-46)    신촌로7안길 79  서울특별시 서대문구 창천동
2   1000.0        55  YonE Studio    연세로2다길 31  서울특별시 서대문구 창천동
3   3000.0        40      (90-47)    신촌로7안길 75  서울특별시 서대문구 창천동
4   4000.0        35      (62-18)  연세로5다길 22-8  서울특별시 서대문구 창천동"
1141011800,9,30.4,2,2019,"   deposit  pricemon       building         road             dong
0   4000.0        65       (410-36)  증가로10길 70-8   서울특별시 서대문구 홍은동
1   1783.0        23  청년미래공동체주택(임대)   연희로41가길 33   서울특별시 서대문구 홍은동
2   3000.0        61            다영빌     증가로6길 45   서울특별시 서대문구 홍은동
3   2000.0        67            여울목    거북골로24길 2  서울특별시 서대문구 북가좌동
4   1500.0        60            다영빌     증가로6길 45   서울특별시 서대문구 홍은동"
