코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1129013600,33,110.04,1,1989,"   deposit      building        road            dong
0  23000.0       (50-21)  돌곶이로28길 72   서울특별시 성북구 장위동
1  12000.0  단독형(332-480)  돌곶이로11길 16   서울특별시 성북구 석관동
2  18000.0          상신빌라  보국문로 172-4   서울특별시 성북구 정릉동
3   3000.0          우남빌라    화랑로19길 7  서울특별시 성북구 상월곡동
4  11000.0   정원빌라(914-1)   정릉로10라길 8   서울특별시 성북구 정릉동",14888
1129013300,18,58.11,3,1997,"   deposit          building        road           dong
0  18000.0              태성맨션   솔샘로18길 31  서울특별시 성북구 정릉동
1  13500.0  청구하이츠맨션(266-128)  보국문로18길 29  서울특별시 성북구 정릉동
2   6500.0              호웅빌라    서경로5길 17  서울특별시 성북구 정릉동
3  18000.0           시티빌리지빌라   정릉로29길 19  서울특별시 성북구 정릉동
4  12000.0            기원아트빌라    솔샘로7길 20  서울특별시 성북구 정릉동",14533
1129013300,9,28.56,2,2017,"   deposit   building       road           dong
0  16900.0        위미빌  정릉로27길 33  서울특별시 성북구 정릉동
1  16300.0        위미빌  정릉로27길 33  서울특별시 성북구 정릉동
2  16000.0       숙이네빌   서경로 17-6  서울특별시 성북구 정릉동
3  17000.0        위미빌  정릉로27길 33  서울특별시 성북구 정릉동
4  19800.0  대성아트빌 152  보국문로8나길 5  서울특별시 성북구 정릉동",16572
1129013900,9,29.02,6,2019,"   deposit building          road           dong
0  22500.0    반아크하임  돌곶이로22길 62-6  서울특별시 성북구 석관동
1  23000.0    반아크하임  돌곶이로22길 62-6  서울특별시 성북구 석관동
2  20000.0    포레스트빌  돌곶이로22가길 3-1  서울특별시 성북구 석관동
3  20000.0    포레스트빌  돌곶이로22가길 3-1  서울특별시 성북구 석관동
4  22500.0   더샵 팰리스  화랑로32길 108-9  서울특별시 성북구 석관동",22280
1129012000,18,60.91,1,2002,"   deposit  building         road             dong
0  20000.0     벧엘하이츠    보문로29길 48  서울특별시 성북구 삼선동5가
1  13000.0    (18-0)  삼선교로22길 3-6  서울특별시 성북구 삼선동5가
2  23000.0      스크린빌    보문로31길 60  서울특별시 성북구 삼선동3가
3  25000.0  (133-45)    보문로22길 53  서울특별시 성북구 안암동3가
4  25000.0     현도빌라트  삼선교로8길 43-6  서울특별시 성북구 삼선동1가",18588.33333
1129013800,8,25.6,1,2019,"   deposit      building        road            dong
0  19800.0  반석리치빌(491-1)  아리랑로19길 52   서울특별시 성북구 정릉동
1  18500.0          이스트빌  화랑로22가길 26   서울특별시 성북구 석관동
2  19000.0       시트린 하우스   화랑로21길 44  서울특별시 성북구 상월곡동
3  19500.0        모던하우스Ⅰ   화랑로27길 12   서울특별시 성북구 장위동
4  21000.0        모던하우스Ⅰ   화랑로27길 12   서울특별시 성북구 장위동",18973
1129013800,19,61.91,1,2002,"   deposit       building          road            dong
0  17000.0        태영하이츠빌라     장위로 161-2   서울특별시 성북구 장위동
1  16000.0      동성쉐르빌(가)동  장위로26길 17-24   서울특별시 성북구 장위동
2  14000.0        경성아트빌2차   장위로22길 23-4   서울특별시 성북구 장위동
3  15000.0           우성빌라    장월로1길 56-3  서울특별시 성북구 상월곡동
4  16000.0  청구빌라(231-413)  장위로16길 17-10   서울특별시 성북구 장위동",15465
1129013300,23,75.96,1,1992,"   deposit  building           road           dong
0  21500.0      충신빌라     보국문로36길 30  서울특별시 성북구 정릉동
1  14000.0      덕인빌라  돌곶이로41길 22-11  서울특별시 성북구 장위동
2  20000.0  (68-923)      장월로8가길 21  서울특별시 성북구 장위동
3  20000.0      지산빌라     보국문로22길 19  서울특별시 성북구 정릉동
4  12000.0   도림하이츠빌라    보국문로4길 13-6  서울특별시 성북구 정릉동",19728
1129013300,18,60.89,2,1997,"   deposit building            road            dong
0  16000.0   명산그린빌라  보국문로16가길 43-23   서울특별시 성북구 정릉동
1  20000.0   대림주택B동        화랑로1길 46  서울특별시 성북구 하월곡동
2  10000.0     동성빌라      보국문로17길 24   서울특별시 성북구 정릉동
3  13000.0     가양빌라    보국문로38길 33-4   서울특별시 성북구 정릉동
4  15000.0   소안파크5차       서경로21길 50   서울특별시 성북구 정릉동",15200
1129013500,9,29.43,3,2018,"   deposit building         road           dong
0  20000.0     리치타운    종암로 82-19  서울특별시 성북구 종암동
1  18000.0    로얄팰리스  종암로22길 39-5  서울특별시 성북구 종암동
2  18000.0    로얄팰리스  종암로22길 39-5  서울특별시 성북구 종암동
3  18000.0    로얄팰리스  종암로22길 39-5  서울특별시 성북구 종암동
4  17000.0    로얄팰리스  종암로22길 39-5  서울특별시 성북구 종암동",19867.33333
1129010100,8,25.18,4,2019,"   deposit building         road              dong
0  23000.0     더 라온     성북로8길 53     서울특별시 성북구 성북동
1  23000.0     더 라온     성북로8길 53     서울특별시 성북구 성북동
2  28000.0  아스테르빌-2     성북로8길 27     서울특별시 성북구 성북동
3  14000.0      청호제    성북로10길 42     서울특별시 성북구 성북동
4  27700.0   디에이원파크  동소문로13가길 24  서울특별시 성북구 동소문동4가",22625
1129013900,9,29.18,4,2019,"   deposit   building          road           dong
0  19000.0      반아크하임  돌곶이로22길 62-6  서울특별시 성북구 석관동
1  19300.0       이스트빌    화랑로22가길 26  서울특별시 성북구 석관동
2  20500.0  (338-608)   화랑로18길 25-1  서울특별시 성북구 석관동
3  19500.0    스위트빌 2차    돌곶이로11길 25  서울특별시 성북구 석관동
4  20000.0       스타캐슬     화랑로24길 69  서울특별시 성북구 석관동",19324
1129010700,9,29.88,5,2019,"   deposit building         road              dong
0  27200.0   디에이원파크  동소문로13가길 24  서울특별시 성북구 동소문동4가
1  28000.0   디에이원파크  동소문로13가길 24  서울특별시 성북구 동소문동4가
2  20000.0   타임스카이뷰   삼선교로16길 74   서울특별시 성북구 삼선동2가
3  26500.0    한강뉴스타   보문로29길 113   서울특별시 성북구 삼선동3가
4  21000.0    타임아트빌   삼선교로10길 57   서울특별시 성북구 삼선동2가",27410
1129013800,16,53.64,4,2002,"   deposit        building          road           dong
0  10000.0     반석그린빌라7차 B동    장위로10길 4-7  서울특별시 성북구 장위동
1  14000.0   청구빌라(219-158)    장위로11가길 68  서울특별시 성북구 장위동
2  16000.0           전망좋은집     장월로8가길 28  서울특별시 성북구 장위동
3  10000.0  명신아트빌(231-162)  장위로16길 43-18  서울특별시 성북구 장위동
4  16000.0       충효쉐르빌(가)동   장위로20길 3-12  서울특별시 성북구 장위동",13195
1129013300,20,67.03,2,2008,"   deposit      building            road           dong
0  16000.0           오션빌       서경로18길 39  서울특별시 성북구 정릉동
1  21500.0       한성쁘레뜨레빌      서경로 106-10  서울특별시 성북구 정릉동
2  15000.0          라니스빌      길음로15가길 23  서울특별시 성북구 정릉동
3  20000.0  삼보빌라(16-266)     정릉로38길 30-7  서울특별시 성북구 정릉동
4  16000.0          플러스빌  보국문로16가길 56-10  서울특별시 성북구 정릉동",17243
1129013400,9,29.2,2,2011,"   deposit building          road            dong
0  23000.0    천우네오젠  종암로14길 32-19   서울특별시 성북구 종암동
1  19000.0      쉐누빌     오패산로5길 47  서울특별시 성북구 하월곡동
2  23000.0     웰하우스    종암로19가길 40   서울특별시 성북구 종암동
3  16000.0    노블하우스    북악산로1나길 29   서울특별시 성북구 정릉동
4   8500.0   더하우스6차     한천로80길 33   서울특별시 성북구 석관동",12137
1129013900,17,57.72,5,2008,"   deposit       building         road           dong
0  16000.0          휴먼빌1차    화랑로42길 31  서울특별시 성북구 석관동
1  19000.0         장위동드림빌       장위로 12  서울특별시 성북구 장위동
2  18000.0   삼보빌라(16-266)  정릉로38길 30-7  서울특별시 성북구 정릉동
3  17000.0  다오아트빌(290-44)    보국문로24길 9  서울특별시 성북구 정릉동
4  12000.0           예건C동    화랑로42길 14  서울특별시 성북구 석관동",14528
1129010100,8,26.8,4,2019,"   deposit building         road              dong
0  23000.0     더 라온     성북로8길 53     서울특별시 성북구 성북동
1  23000.0     더 라온     성북로8길 53     서울특별시 성북구 성북동
2  28000.0  아스테르빌-2     성북로8길 27     서울특별시 성북구 성북동
3  14000.0      청호제    성북로10길 42     서울특별시 성북구 성북동
4  27700.0   디에이원파크  동소문로13가길 24  서울특별시 성북구 동소문동4가",24320
1129012300,25,81.11,2,2003,"   deposit      building          road             dong
0  18000.0  구성안암동스위트빌(B)   보문로22길 53-8  서울특별시 성북구 안암동3가
1  25000.0         양지빌라트            51  서울특별시 성북구 안암동3가
2  25000.0      (133-45)     보문로22길 53  서울특별시 성북구 안암동3가
3  15000.0  양지빌라트(170-0)  보문로29가길 17-4  서울특별시 성북구 삼선동5가
4   3000.0       동양빌라트A동       보문사길 78  서울특별시 성북구 보문동6가",20410
1129013900,4,12.38,6,2010,"   deposit building        road             dong
0  10000.0  D.S 하우징  돌곶이로22길 42    서울특별시 성북구 석관동
1   6000.0   (60-1)  장월로1길 56-9   서울특별시 성북구 상월곡동
2  11000.0      지니빌     정릉로 338    서울특별시 성북구 정릉동
3   8500.0     비전타운    삼양로9길 19    서울특별시 성북구 길음동
4   9000.0    (2-2)   지봉로23길 50  서울특별시 성북구 보문동2가",8851.416667
1129013600,14,46.99,3,2002,"   deposit building          road           dong
0  17000.0   유진아트빌라  종암로14길 26-25  서울특별시 성북구 종암동
1  14000.0    이화 A동    장위로16길 5-8  서울특별시 성북구 장위동
2  12000.0    우성파크빌        장월로 40  서울특별시 성북구 장위동
3  12000.0    대영아트빌   장위로20길 29-9  서울특별시 성북구 장위동
4   8000.0    토암쉐르빌  장위로22길 17-10  서울특별시 성북구 장위동",14105
1129012300,7,22.93,5,2019,"   deposit building         road             dong
0  27000.0     그랑캐슬  아리랑로4가길 8-4  서울특별시 성북구 동선동5가
1  22000.0     그랑캐슬  아리랑로4가길 8-4  서울특별시 성북구 동선동5가
2  26500.0    타임아트빌   삼선교로18길 44  서울특별시 성북구 삼선동5가
3  26500.0    타임아트빌   삼선교로18길 44  서울특별시 성북구 삼선동5가
4  27000.0     그랑캐슬  아리랑로4가길 8-4  서울특별시 성북구 동선동5가",19389
1129013300,16,52.72,2,2016,"   deposit  building          road           dong
0  27000.0  정릉동 공동주택    아리랑로5길 111  서울특별시 성북구 정릉동
1  27500.0      에코그린  보국문로12길 24-6  서울특별시 성북구 정릉동
2  27500.0      에코그린  보국문로12길 24-6  서울특별시 성북구 정릉동
3  27500.0      에코그린  보국문로12길 24-6  서울특별시 성북구 정릉동
4  25000.0    정릉포레스트     보국문로8길 42  서울특별시 성북구 정릉동",21150.59
1129013500,20,65.46,1,1976,"   deposit  building           road            dong
0   6000.0  (305-88)   한천로101가길 9-9   서울특별시 성북구 장위동
1  13000.0   태양맨션 B동    아리랑로19다길 32   서울특별시 성북구 정릉동
2  18000.0      월곡빌라     오패산로3가길 37  서울특별시 성북구 하월곡동
3  12000.0      행운주택  종암로19다길 42-16   서울특별시 성북구 종암동
4  12000.0      행운주택  종암로19다길 42-16   서울특별시 성북구 종암동",10600
1129011500,9,29.71,2,2019,"   deposit building        road             dong
0  26000.0    타임아트빌  삼선교로18길 44  서울특별시 성북구 삼선동5가
1  26000.0    타임아트빌  삼선교로18길 44  서울특별시 성북구 삼선동5가
2  27000.0    한강뉴스타  보문로29길 113  서울특별시 성북구 삼선동3가
3  19000.0  (93-10)  삼선교로22길 44  서울특별시 성북구 삼선동5가
4  26000.0    한강뉴스타  보문로29길 113  서울특별시 성북구 삼선동3가",25260
1129013500,22,72.74,2,1983,"   deposit      building           road            dong
0  12000.0          행운주택  종암로19다길 42-16   서울특별시 성북구 종암동
1  12000.0          행운주택  종암로19다길 42-16   서울특별시 성북구 종암동
2  13000.0       태양맨션 B동    아리랑로19다길 32   서울특별시 성북구 정릉동
3  11000.0  정수빌라(431-70)      정릉로24길 85   서울특별시 성북구 정릉동
4  18000.0          월곡빌라     오패산로3가길 37  서울특별시 성북구 하월곡동",12077.3
1129011400,12,39.41,3,2001,"   deposit  building       road             dong
0   8500.0    성종그린빌1    삼선교로 68  서울특별시 성북구 삼선동3가
1   5000.0       코지빌    삼선교로 61  서울특별시 성북구 삼선동4가
2  16500.0     월드빌라트  보문로29길 88  서울특별시 성북구 삼선동3가
3  15000.0  동선동다세대주택  보문로30길 53  서울특별시 성북구 동선동2가
4  13000.0      굿모닝빌    삼선교로 64  서울특별시 성북구 삼선동3가",7505
1129013800,8,27.07,4,2017,"   deposit building          road           dong
0  15000.0   포레스트캐슬   장위로19길 21-7  서울특별시 성북구 장위동
1  13000.0     부림빌라     장위로 179-5  서울특별시 성북구 장위동
2  20000.0   지와이펠리체     화랑로22길 17  서울특별시 성북구 석관동
3  22500.0      아람채  화랑로40길 22-21  서울특별시 성북구 석관동
4  12000.0     부림빌라     장위로 179-5  서울특별시 성북구 장위동",15144
1129010700,15,49.85,3,2015,"   deposit building          road             dong
0  33000.0    타임아트빌   삼선교로2길 7-16  서울특별시 성북구 삼선동1가
1  16000.0    낙원트윈빌    삼선교로18가길 3  서울특별시 성북구 삼선동3가
2   6500.0  J&K 하우스  삼선교로10길 14-5  서울특별시 성북구 삼선동1가
3  33000.0  준공공임대주택      성북로9길 24    서울특별시 성북구 성북동
4  30100.0  삼성아트빌2차   성북로4길 27-20    서울특별시 성북구 성북동",27165
