코드,평,전용면적(㎡),층,건축년도,predicted
1129013300,4,13.44,2,2008,"   deposit  pricemon building          road             dong
0   1000.0        40   (75-5)   지봉로23길 5-15  서울특별시 성북구 보문동2가
1    500.0        48     마이바움     종암로23길 12    서울특별시 성북구 종암동
2   1000.0        45     마이바움     종암로23길 12    서울특별시 성북구 종암동
3   3000.0        41     브라운힐  지봉로23길 13-22  서울특별시 성북구 보문동2가
4    500.0        50  (134-4)    보문로13나길 22  서울특별시 성북구 보문동7가"
1129013800,12,40.61,3,2016,"   deposit  pricemon building       road            dong
0   8000.0        40    하베하우스    장위로6길 7   서울특별시 성북구 장위동
1    100.0        16     서도휴빌  장월로1마길 23  서울특별시 성북구 하월곡동
2   1575.0        21    창조인빌C  오패산로1길 53  서울특별시 성북구 하월곡동
3   4190.0         9    창조인빌C  오패산로1길 53  서울특별시 성북구 하월곡동
4   3952.0         9    창조인빌A  오패산로1길 57  서울특별시 성북구 하월곡동"
1129013300,18,59.77,2,2012,"   deposit  pricemon  building          road             dong
0    755.0        44       골든빌  종암로19나길 12-1    서울특별시 성북구 종암동
1  10000.0        70        동성     보문로25길 24  서울특별시 성북구 보문동2가
2   2520.0        21     송학에버빌     한천로66길 41    서울특별시 성북구 석관동
3   1000.0        80  (607-33)     북악산로3길 52    서울특별시 성북구 정릉동
4   4000.0        75       라온빌   종암로21길 37-9    서울특별시 성북구 종암동"
1129013300,23,77.24,5,2008,"   deposit  pricemon  building          road             dong
0   2000.0        40   (116-0)     지봉로24길 11  서울특별시 성북구 보문동2가
1  12000.0        30    45-159  종암로13길 30-13    서울특별시 성북구 종암동
2  12000.0        30    45-159  종암로13길 30-13    서울특별시 성북구 종암동
3   8000.0        70   (135-0)    보문로13나길 32  서울특별시 성북구 보문동7가
4   7000.0        45  현대베스트빌A동  돌곶이로41길 25-5    서울특별시 성북구 장위동"
1129010200,15,48.5,2,2002,"   deposit  pricemon building          road             dong
0   9000.0        30    정승빌리지    성북로5길 54-1  서울특별시 성북구 성북동1가
1   2000.0        40      능현빌    창경궁로43길 29  서울특별시 성북구 성북동1가
2  15000.0         7    대명아트빌  성북로14나길 11-4    서울특별시 성북구 성북동
3   2500.0        45  (48-13)    북악산로 867-4    서울특별시 성북구 돈암동
4  12000.0        55    사보이빌라     성북로31길 48    서울특별시 성북구 성북동"
1129013300,22,72.75,1,1991,"   deposit  pricemon      building           road           dong
0   2000.0        75  현대빌라(227-89)      서경로11길 32  서울특별시 성북구 정릉동
1      0.0        10          녹원주택  보국문로16길 67-11  서울특별시 성북구 정릉동
2   5000.0        30          한전주택     정릉로10다길 49  서울특별시 성북구 정릉동
3    500.0        55          현대빌라     장위로21가길 56  서울특별시 성북구 장위동
4   2000.0        50       신궁전맨션6차      장위로13길 21  서울특별시 성북구 장위동"
1129010900,12,40.58,2,2014,"   deposit  pricemon building          road              dong
0   4000.0        55  (10-13)    동소문로15길 94  서울특별시 성북구 동소문동7가
1  10000.0        40      그린빌   동소문로13나길 40  서울특별시 성북구 동소문동6가
2   1000.0        50   (42-0)       삼선교로 65   서울특별시 성북구 삼선동4가
3   2000.0        30  J&K 하우스  삼선교로10길 14-5   서울특별시 성북구 삼선동1가
4   4000.0        20  J&K 하우스  삼선교로10길 14-5   서울특별시 성북구 삼선동1가"
1129012800,21,71.04,4,2017,"   deposit  pricemon           building          road             dong
0    629.0        52                미소가   종암로22길 34-5    서울특별시 성북구 종암동
1    500.0        30          (266-516)  보국문로18길 12-6    서울특별시 성북구 정릉동
2  25000.0         5  그린힐스(Green Hills)   삼양로9길 10-27    서울특별시 성북구 길음동
3   2459.0        13               현인빌라    보국문로8다길 44    서울특별시 성북구 정릉동
4   2849.0        37                늘푸른  보문로22길 54-11  서울특별시 성북구 안암동3가"
1129013800,16,52.08,3,2018,"   deposit  pricemon building        road            dong
0    515.0        30    투모로우빌  장위로11길 110   서울특별시 성북구 장위동
1   4666.0        10    창조인빌C   오패산로1길 53  서울특별시 성북구 하월곡동
2   2170.0        28   해마루빌IV   장위로29길 14   서울특별시 성북구 장위동
3   2124.0        28   90-293   오패산로1길 47  서울특별시 성북구 하월곡동
4   3225.0        42    창조인빌B   오패산로1길 55  서울특별시 성북구 하월곡동"
1129013300,28,91.86,3,1998,"   deposit  pricemon      building         road            dong
0    500.0        30          동인주택     장월로1라길 4  서울특별시 성북구 상월곡동
1   6500.0        50          광진빌라   보국문로36길 20   서울특별시 성북구 정릉동
2  21000.0        20         부성하이빌    종암로11길 18   서울특별시 성북구 종암동
3  23000.0        20         부성하이빌    종암로11길 18   서울특별시 성북구 종암동
4   1000.0        50  그린빌라(607-25)  북악산로3길 38-5   서울특별시 성북구 정릉동"
1129013300,22,72.6,4,1997,"   deposit  pricemon  building         road            dong
0   8000.0        55  (29-147)     화랑로9길 12  서울특별시 성북구 하월곡동
1  10000.0        50   동방뉴타운빌B    서경로 41-19   서울특별시 성북구 정릉동
2  15000.0        25      시온빌딩    정릉로42길 20   서울특별시 성북구 정릉동
3    300.0        15     영풍헤르츠   보국문로8다길 40   서울특별시 성북구 정릉동
4    500.0        40     춘헌하이츠  정릉로27길 71-7   서울특별시 성북구 정릉동"
1129013500,18,59.62,3,2016,"   deposit  pricemon building       road            dong
0   5000.0        50    종암힐스톤  월곡로10길 42   서울특별시 성북구 종암동
1    650.0        30    라인빌라트  장위로11가길 7   서울특별시 성북구 장위동
2   2124.0        28   90-293  오패산로1길 47  서울특별시 성북구 하월곡동
3   2284.0        30   해마루빌IV  장위로29길 14   서울특별시 성북구 장위동
4   2170.0        28   해마루빌IV  장위로29길 14   서울특별시 성북구 장위동"
1129013600,14,44.78,5,2018,"   deposit  pricemon building       road            dong
0   7236.0        16    창조인빌B  오패산로1길 55  서울특별시 성북구 하월곡동
1   1764.0        23   90-293  오패산로1길 47  서울특별시 성북구 하월곡동
2   4147.0         9   90-293  오패산로1길 47  서울특별시 성북구 하월곡동
3   1881.0        25    창조인빌A  오패산로1길 57  서울특별시 성북구 하월곡동
4   1899.0        25    창조인빌B  오패산로1길 55  서울특별시 성북구 하월곡동"
1129013300,14,47.64,4,1994,"   deposit  pricemon      building         road           dong
0   3000.0        60        현대빌라3차  보국문로16나길 15  서울특별시 성북구 정릉동
1  10000.0        20     건원하이츠빌라7차     솔샘로3길 22  서울특별시 성북구 정릉동
2   8000.0        15  태형빌라(76-234)    장월로28길 32  서울특별시 성북구 장위동
3   1000.0        40        영일아트빌라     월계로22길 6  서울특별시 성북구 장위동
4  10000.0        10        가만그린빌라    정릉로12길 40  서울특별시 성북구 정릉동"
1129013500,18,58.86,3,2018,"   deposit  pricemon building       road            dong
0   2124.0        28   90-293  오패산로1길 47  서울특별시 성북구 하월곡동
1   2284.0        30   해마루빌IV  장위로29길 14   서울특별시 성북구 장위동
2   2170.0        28   해마루빌IV  장위로29길 14   서울특별시 성북구 장위동
3   5000.0        50    종암힐스톤  월곡로10길 42   서울특별시 성북구 종암동
4    650.0        30    라인빌라트  장위로11가길 7   서울특별시 성북구 장위동"
