코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1120010200,17,57.31,3,2007,"   deposit  building         road             dong
0  29000.0      성은빌딩  왕십리로31가길 12  서울특별시 성동구 하왕십리동
1  28000.0     청기와빌라     무학로10길 3    서울특별시 성동구 홍익동
2  28000.0  (797-18)    마조로19길 21    서울특별시 성동구 마장동
3  35000.0    뉴센트빌6차    마장로23길 11    서울특별시 성동구 홍익동
4  33000.0       삼성빌    왕십리로31길 7  서울특별시 성동구 하왕십리동",25758.1
1120011500,6,20.64,5,2012,"   deposit   building       road             dong
0  12000.0   (301-86)  연무장3길 3-7  서울특별시 성동구 성수동2가
1  15000.0  (299-105)  광나루로4길 10  서울특별시 성동구 성수동2가
2   8200.0        에덴빌   광나루로4길 6  서울특별시 성동구 성수동2가
3   9000.0        에덴빌   광나루로4길 6  서울특별시 성동구 성수동2가
4  10000.0  (299-149)  광나루로4길 17  서울특별시 성동구 성수동2가",10943
1120011800,14,45.64,2,2019,"   deposit  building        road           dong
0  31500.0     소담빌리지  송정16길 1-20  서울특별시 성동구 송정동
1  15000.0  (73-583)    송정12마길 3  서울특별시 성동구 송정동
2  28000.0     소담빌리지  송정16길 1-20  서울특별시 성동구 송정동
3  15000.0       애림가   송정16길 6-1  서울특별시 성동구 송정동
4  20000.0       가림빌  광나루로11길 51  서울특별시 성동구 송정동",20850
1120010800,12,38.89,2,1993,"   deposit   building         road             dong
0  11000.0  (265-110)   독서당로63길 63    서울특별시 성동구 응봉동
1  13000.0       성덕주택     행당로1길 20  서울특별시 성동구 금호동1가
2  16500.0   (167-27)    행당로5길 3-5  서울특별시 성동구 금호동1가
3   7000.0   (265-77)  독서당로59나길 15    서울특별시 성동구 응봉동
4   8000.0  (265-114)   독서당로63가길 5    서울특별시 성동구 응봉동",11757.66667
1120011400,20,66.08,3,2006,"   deposit  building       road             dong
0  22000.0    정주베스트빌   둘레9가길 26  서울특별시 성동구 성수동1가
1  30000.0     강변빌리지    둘레23길 6  서울특별시 성동구 성수동2가
2  20000.0  (532-28)  성수이로 17-1  서울특별시 성동구 성수동2가
3  20000.0  (532-28)  성수이로 17-1  서울특별시 성동구 성수동2가
4  25000.0    파크빌라B동    둘레길 145  서울특별시 성동구 성수동2가",22950
1120011200,12,38.99,1,1995,"   deposit   building         road             dong
0  16000.0    (615-0)    무수막5가길 34  서울특별시 성동구 금호동3가
1   6000.0   (1187-0)  금호산10길 7-12  서울특별시 성동구 금호동3가
2  12000.0   (501-68)    금호산9가길 55  서울특별시 성동구 금호동2가
3  13000.0  (656-576)   성수일로1길 6-1  서울특별시 성동구 성수동1가
4   7000.0      성수빌라B     둘레5길 7-1  서울특별시 성동구 성수동1가",12545
1120010500,10,32.98,4,2017,"   deposit building           road           dong
0  26000.0    오렌지타운   마장로39나길 17-1  서울특별시 성동구 마장동
1  21000.0    청계더하임       살곶이길 150  서울특별시 성동구 사근동
2  23000.0     아트빌라  왕십리로21마길 3-16  서울특별시 성동구 행당동
3  24000.0   미네하우스2       무학로6길 17  서울특별시 성동구 홍익동
4  24000.0    리더스파크       무학로10길 6  서울특별시 성동구 홍익동",25187.41667
1120011500,14,45.09,1,1992,"   deposit  building       road             dong
0  18000.0    강변성수빌라     둘레길 27  서울특별시 성동구 성수동1가
1  13000.0  진흥로얄빌라A동  성덕정길 56-7  서울특별시 성동구 성수동1가
2  25000.0    정안맨션6차  뚝섬로17길 15  서울특별시 성동구 성수동2가
3   7000.0     성수빌라B   둘레5길 7-1  서울특별시 성동구 성수동1가
4  15000.0      진주타운   둘레19길 23  서울특별시 성동구 성수동2가",14674
1120010800,16,51.66,1,1994,"   deposit  building          road             dong
0  17000.0      도림주택   독서당로60가길 24    서울특별시 성동구 응봉동
1  17000.0      도림주택   독서당로60가길 24    서울특별시 성동구 응봉동
2  14000.0      그린빌라   독서당로62가길 45    서울특별시 성동구 응봉동
3  11000.0  (265-76)   독서당로59나길 13    서울특별시 성동구 응봉동
4  16000.0      초원빌라  금호산9가길 59-15  서울특별시 성동구 금호동2가",15328.75
1120010800,18,60.16,2,2003,"   deposit   building           road             dong
0  25000.0   대우빌(10차)    독서당로62가길 12    서울특별시 성동구 응봉동
1  15000.0   노블레스빌라8동  독서당로63길 43-14    서울특별시 성동구 응봉동
2  15000.0  노블레스빌라13동   독서당로63길 43-5    서울특별시 성동구 응봉동
3  14000.0     (15-4)    금호로16길 7-11  서울특별시 성동구 금호동1가
4  14000.0     (15-4)    금호로16길 7-11  서울특별시 성동구 금호동1가",21705
