코드,평,전용면적(㎡),층,건축년도,predicted
1120011200,7,21.6,2,2018,"   deposit  pricemon  building        road             dong
0   2000.0        70  (13-143)      상원8길 4  서울특별시 성동구 성수동1가
1   4000.0        70    위더스하임Ⅱ    뚝섬로3가길 7  서울특별시 성동구 성수동1가
2   2500.0        70   JS해피하우스    동호로 99-2  서울특별시 성동구 금호동4가
3   3000.0        77    위더스하임Ⅰ   뚝섬로3나길 20  서울특별시 성동구 성수동1가
4   1000.0        45     그레이스힐  아차산로 15-26  서울특별시 성동구 성수동1가"
1120010900,11,37.65,2,2007,"   deposit  pricemon   building         road             dong
0   1000.0        80   (138-14)  왕십리로 273-25    서울특별시 성동구 행당동
1    500.0        70     삼인베스트빌     마조로1길 20    서울특별시 성동구 행당동
2   3000.0        40     (1-61)   마조로9길 12-8    서울특별시 성동구 행당동
3   2000.0        55     (1-62)   마조로9길 12-6    서울특별시 성동구 행당동
4  12000.0        20  삼성빌11차 A동   금호산9길 55-1  서울특별시 성동구 금호동2가"
1120011500,5,16.8,5,2012,"   deposit  pricemon  building         road             dong
0    400.0        50        청운    아차산로7나길 7  서울특별시 성동구 성수동2가
1    500.0        50        청운    아차산로7나길 7  서울특별시 성동구 성수동2가
2   2000.0        50  (321-52)  성수일로4가길 9-4  서울특별시 성동구 성수동2가
3   3000.0        35       파크빌    광나루로2가길 6  서울특별시 성동구 성수동2가
4   3000.0        33  성수.보람 빌라    광나루로2길 23  서울특별시 성동구 성수동2가"
1120010300,5,16.82,3,2012,"   deposit  pricemon   building        road             dong
0   3000.0        50        파크힐  왕십리로31길 17  서울특별시 성동구 하왕십리동
1   1000.0        60        파크힐  왕십리로31길 17  서울특별시 성동구 하왕십리동
2   2000.0        50  에코하우스(1동)  무학로6길 18-1    서울특별시 성동구 도선동
3   1000.0        50  에코하우스(1동)  무학로6길 18-1    서울특별시 성동구 도선동
4   2000.0        45  에코하우스(1동)  무학로6길 18-1    서울특별시 성동구 도선동"
1120010500,5,17.09,4,2013,"   deposit  pricemon  building          road           dong
0   5000.0        45  좋은사람 좋은집  마조로12길 12-11  서울특별시 성동구 마장동
1   1000.0        60   광장아트하우스     마조로19길 23  서울특별시 성동구 마장동
2   2000.0        30       안윤재     마조로 64-20  서울특별시 성동구 마장동
3   4000.0        45     준리첸시아        마조로 54  서울특별시 성동구 마장동
4   5000.0        50        둥지      마조로14길 2  서울특별시 성동구 마장동"
1120010800,18,58.68,2,1994,"   deposit  pricemon  building          road           dong
0      0.0        30  (265-21)   독서당로59다길 14  서울특별시 성동구 응봉동
1   4000.0        70      그린빌라   독서당로62가길 45  서울특별시 성동구 응봉동
2   1000.0        65  (265-32)   독서당로59나길 24  서울특별시 성동구 응봉동
3   3000.0        55      소망빌라   독서당로60가길 20  서울특별시 성동구 응봉동
4    300.0        30  (117-25)  고산자로8가길 17-1  서울특별시 성동구 행당동"
1120010700,13,42.86,5,2004,"   deposit  pricemon building        road           dong
0    500.0        45  행당동상가주택  마조로5길 4-10  서울특별시 성동구 행당동
1   1000.0        50    에덴의 집    사근동4길 11  서울특별시 성동구 사근동
2   3000.0        55      하바빌    사근동9가길 9  서울특별시 성동구 사근동
3   5000.0        60  대호아트빌B동   독서당로62길 6  서울특별시 성동구 응봉동
4   7000.0        50  대호아트빌B동   독서당로62길 6  서울특별시 성동구 응봉동"
1120011400,5,16.52,2,2012,"   deposit  pricemon  building          road             dong
0   1000.0        45     그레이스힐    아차산로 15-26  서울특별시 성동구 성수동1가
1   1000.0        45     해피하우스  왕십리로14길 14-1  서울특별시 성동구 성수동1가
2   3000.0        25      라온누리     연무장7가길 12  서울특별시 성동구 성수동2가
3   1000.0        55  성수.보람 빌라     광나루로2길 23  서울특별시 성동구 성수동2가
4  13000.0        23  (321-52)   성수일로4가길 9-4  서울특별시 성동구 성수동2가"
1120011500,6,21.09,4,2019,"   deposit  pricemon  building          road             dong
0   3000.0        50  성수리치빌 A동     뚝섬로1가길 29  서울특별시 성동구 성수동1가
1  14000.0        20   성수빌리지A동     뚝섬로17길 30  서울특별시 성동구 성수동2가
2   1000.0        65   뚝섬리치빌B동  왕십리로10길 5-27  서울특별시 성동구 성수동1가
3   4000.0        70      장한빌라     광나루로2길 36  서울특별시 성동구 성수동2가
4   1000.0        65     백송아트빌   광나루로4길 11-1  서울특별시 성동구 성수동2가"
1120010500,4,13.06,5,2013,"   deposit  pricemon building         road           dong
0   3000.0        45       둥지     마조로14길 2  서울특별시 성동구 마장동
1    500.0        50      파크빌    마장로44길 13  서울특별시 성동구 마장동
2   3000.0        50  광장아트하우스    마조로19길 23  서울특별시 성동구 마장동
3   4000.0        45      로젠빌  왕십리로28가길 15  서울특별시 성동구 도선동
4   5000.0        45      로젠빌  왕십리로28가길 15  서울특별시 성동구 도선동"
