코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1171010100,15,50.22,2,2003,"   deposit      building            road           dong
0  16000.0  라빌레뜨(309-26)     도곡로64길 36-1  서울특별시 송파구 잠실동
1  17000.0      (241-14)  백제고분로19길 27-18  서울특별시 송파구 잠실동
2  21000.0  선한사람들(225-6)    백제고분로13길 5-1  서울특별시 송파구 잠실동
3  11000.0   정강주택(321-2)  백제고분로18길 16-23  서울특별시 송파구 잠실동
4  20000.0           우원빌     백제고분로20길 21  서울특별시 송파구 잠실동",18009.79167
1171010800,8,25.07,3,2019,"   deposit building         road           dong
0  18000.0    서강팰리스   동남로2길 13-1  서울특별시 송파구 문정동
1  16000.0  (45-16)  동남로2길 13-21  서울특별시 송파구 문정동
2  25000.0     센트럴인      송이로 242  서울특별시 송파구 문정동
3  23000.0   (49-2)   동남로2길 21-8  서울특별시 송파구 문정동
4  23000.0      예우재     송이로38길 8  서울특별시 송파구 문정동",18858
1171010700,15,49.8,2,2008,"   deposit        building          road           dong
0  23000.0            필하우스  송이로23길 46-30  서울특별시 송파구 가락동
1  18000.0            리치웰빌  동남로13길 23-16  서울특별시 송파구 가락동
2  20000.0  헤리티지(HERITAGE)   송이로24길 12-1  서울특별시 송파구 가락동
3  26000.0           엘지빌리지   송이로34길 11-1  서울특별시 송파구 문정동
4  26500.0           엘지빌리지   송이로34길 11-1  서울특별시 송파구 문정동",23585.39286
1171010600,6,19.68,2,2019,"   deposit building            road           dong
0  20000.0     승빈빌딩     백제고분로28길 21  서울특별시 송파구 삼전동
1  20000.0   (65-4)  백제고분로28길 23-24  서울특별시 송파구 삼전동
2  14000.0  (171-5)   백제고분로32길 46-7  서울특별시 송파구 삼전동
3  16000.0  (33-15)       삼전로4길 3-1  서울특별시 송파구 삼전동
4  16000.0   (61-0)   백제고분로28길 16-1  서울특별시 송파구 삼전동",18655
1171010400,10,32.59,6,2016,"   deposit building            road           dong
0  22000.0  (182-6)     송파대로34가길 22  서울특별시 송파구 송파동
1  28500.0  (94-25)     백제고분로42길 38  서울특별시 송파구 송파동
2  32000.0  (94-25)     백제고분로42길 38  서울특별시 송파구 송파동
3  26000.0   111-46  백제고분로42길 17-18  서울특별시 송파구 송파동
4  38500.0   송파아트빌라       가락로21길 48  서울특별시 송파구 송파동",26635.5
1171011100,9,29.99,3,2019,"   deposit       building            road           dong
0  26000.0  티크아트빌(115-18)       가락로33길 13  서울특별시 송파구 방이동
1  27000.0  티크아트빌(115-18)       가락로33길 13  서울특별시 송파구 방이동
2  28000.0           스윗자이      위례성대로8길 67  서울특별시 송파구 방이동
3  26000.0          리치하우스  백제고분로48나길 3-17  서울특별시 송파구 방이동
4  28000.0          성우하우스   백제고분로48길 4-15  서울특별시 송파구 방이동",24740
1171011100,25,84.15,1,1992,"   deposit  building            road           dong
0  30000.0      대성빌라  백제고분로50길 15-10  서울특별시 송파구 방이동
1  27000.0      한양빌라   백제고분로50길 41-5  서울특별시 송파구 방이동
2  26500.0   송파씨티빌리지      마천로27길 6-1  서울특별시 송파구 오금동
3  20000.0     송파빌리지      마천로 195-10  서울특별시 송파구 오금동
4  34500.0  현대타운(나동)       중대로31길 16  서울특별시 송파구 오금동",29995
1171011200,14,47.47,3,2013,"   deposit  building            road           dong
0  24500.0      까멜리아     중대로38길 4-23  서울특별시 송파구 오금동
1  20500.0     솔지해담은     성내천로8가길 4-5  서울특별시 송파구 오금동
2  22000.0     더원아트빌  백제고분로48길 41-23  서울특별시 송파구 방이동
3  31000.0     제이디파크      위례성대로8길 14  서울특별시 송파구 방이동
4  20000.0  (152-22)       가락로39길 24  서울특별시 송파구 방이동",22045
1171010800,12,39.57,2,2016,"   deposit building       road           dong
0  29000.0      아이린    새말로 178  서울특별시 송파구 문정동
1  30000.0     아이존빌  송이로34길 15  서울특별시 송파구 문정동
2  24000.0   (96-3)  송이로36길 43  서울특별시 송파구 문정동
3  24000.0   (96-3)  송이로36길 43  서울특별시 송파구 문정동
4  20000.0   (96-3)  송이로36길 43  서울특별시 송파구 문정동",27878.33333
1171010400,11,37.71,3,2014,"   deposit building            road           dong
0  26000.0    진흥펠리체      송파대로40길 12  서울특별시 송파구 송파동
1  24000.0  진흥하임빌A동   백제고분로41길 6-60  서울특별시 송파구 송파동
2  19000.0   (95-5)      송파대로40길 14  서울특별시 송파구 송파동
3  26000.0   (36-3)  백제고분로41길 36-35  서울특별시 송파구 송파동
4  25000.0    서영빌리지   송파대로36길 32-14  서울특별시 송파구 송파동",24714.66667
1171010500,6,19.32,3,2017,"   deposit  building         road           dong
0  17000.0  (219-19)     삼학사로4길 9  서울특별시 송파구 석촌동
1  16800.0   (244-8)  가락로5길 19-14  서울특별시 송파구 석촌동
2  14000.0   (166-3)   송파대로45길 18  서울특별시 송파구 석촌동
3  15000.0   (166-3)   송파대로45길 18  서울특별시 송파구 석촌동
4  13500.0        예당  가락로5길 15-12  서울특별시 송파구 석촌동",16757.5
1171010100,13,41.46,3,2003,"   deposit building            road           dong
0  18900.0     우리빌라      올림픽로10길 42  서울특별시 송파구 잠실동
1  20000.0     하늘마루     삼전로13길 5-19  서울특별시 송파구 잠실동
2  20000.0     하늘마루     삼전로13길 5-19  서울특별시 송파구 잠실동
3  19000.0   초롱빌라쓰리   백제고분로12길 8-14  서울특별시 송파구 잠실동
4  18000.0  (298-5)  백제고분로12길 12-11  서울특별시 송파구 잠실동",19914
1171011200,13,43.21,5,2018,"   deposit        building            road           dong
0  11000.0  그랑밸리(102동1~2호)     중대로31길 18-9  서울특별시 송파구 오금동
1  32000.0        중앙클래식하우스         마천로 100  서울특별시 송파구 오금동
2  29000.0        중앙클래식하우스         마천로 100  서울특별시 송파구 오금동
3  38000.0             파인빌       오금로49길 41  서울특별시 송파구 오금동
4  35000.0           라온펠리체  백제고분로50길 29-28  서울특별시 송파구 방이동",38533.5
1171010600,17,56.28,2,1992,"   deposit     building           road           dong
0  26500.0  웅진빌라(174-8)  백제고분로32길 29-9  서울특별시 송파구 삼전동
1  22000.0         호암주택      삼전로10길 43  서울특별시 송파구 삼전동
2  21000.0         호암주택      삼전로10길 43  서울특별시 송파구 삼전동
3  22000.0         호암주택      삼전로10길 43  서울특별시 송파구 삼전동
4  20000.0        성원하이츠  백제고분로34길 4-17  서울특별시 송파구 석촌동",17613.69048
1171010600,16,51.44,3,2010,"   deposit      building            road           dong
0  23500.0    스카이빌(34-6)        삼전로4길 13  서울특별시 송파구 삼전동
1  27000.0          정원빌라  백제고분로27길 28-13  서울특별시 송파구 삼전동
2  23000.0  선경베르빌(104-8)  백제고분로27길 12-17  서울특별시 송파구 삼전동
3  22000.0          삼성타운     삼전로10길 29-1  서울특별시 송파구 삼전동
4  15000.0    예가원(66-21)       삼학사로3길 50  서울특별시 송파구 삼전동",23741.20833
1171010700,9,29.78,4,2015,"   deposit building        road           dong
0  20000.0    보스턴파크   송이로27길 13  서울특별시 송파구 가락동
1  20000.0     아이리스  동남로9길 17-5  서울특별시 송파구 가락동
2  22000.0     아이리스  동남로9길 17-5  서울특별시 송파구 가락동
3  21000.0    이스트파크   송이로17길 33  서울특별시 송파구 가락동
4  22000.0    이스트파크   송이로17길 33  서울특별시 송파구 가락동",20513
1171010700,9,29.95,3,2014,"   deposit  building          road           dong
0  22000.0  (123-18)   동남로13길 48-5  서울특별시 송파구 가락동
1  24000.0      리센츠빌     동남로13길 25  서울특별시 송파구 가락동
2  20000.0       런던빌   오금로44나길 9-1  서울특별시 송파구 가락동
3  21000.0      아이리스    동남로9길 17-5  서울특별시 송파구 가락동
4  20000.0    썬사인하우스  중대로12길 18-16  서울특별시 송파구 가락동",21209
1171010600,9,29.98,3,2019,"   deposit building            road           dong
0  25000.0  (171-5)   백제고분로32길 46-1  서울특별시 송파구 삼전동
1  25000.0  (171-5)   백제고분로32길 46-7  서울특별시 송파구 삼전동
2  27500.0      시드빌   백제고분로31길 11-1  서울특별시 송파구 삼전동
3  29000.0      시드빌   백제고분로31길 11-1  서울특별시 송파구 삼전동
4  28000.0     삼익주택  백제고분로28길 39-25  서울특별시 송파구 삼전동",25766.81319
