코드,평,전용면적(㎡),층,건축년도,predicted
1171010100,10,34.14,4,2002,"   deposit  pricemon    building            road           dong
0  14000.0        10        여울주택       삼전로13길 15  서울특별시 송파구 잠실동
1  13000.0        15    (300-12)  백제고분로12길 20-13  서울특별시 송파구 잠실동
2   3000.0        45        영재빌라    도곡로62길 15-10  서울특별시 송파구 잠실동
3   8000.0        50  Jae Myoung   백제고분로14길 4-30  서울특별시 송파구 잠실동
4   1000.0        60        아람빌라   백제고분로7길 40-42  서울특별시 송파구 잠실동"
1171011100,5,17.34,4,2018,"   deposit  pricemon building            road           dong
0   1000.0        60  (118-5)     백제고분로48나길 7  서울특별시 송파구 방이동
1  10000.0        47  (131-8)     가락로36길 9-14  서울특별시 송파구 방이동
2   1000.0        55      다온빌    백제고분로48가길 11  서울특별시 송파구 방이동
3   1000.0        60  (131-8)     가락로36길 9-14  서울특별시 송파구 방이동
4   5000.0        40     해오름빌  백제고분로48나길 3-14  서울특별시 송파구 방이동"
1171010400,7,22.34,4,2008,"   deposit  pricemon  building            road           dong
0   6000.0        35       연선재       토성로15길 17  서울특별시 송파구 풍납동
1   1000.0        45  (135-19)      오금로20길 4-4  서울특별시 송파구 송파동
2   1000.0        55    (10-9)  백제고분로41길 35-17  서울특별시 송파구 송파동
3   9000.0         7      마이바움     백제고분로44길 13  서울특별시 송파구 송파동
4   5000.0        47     (3-5)  백제고분로33길 31-12  서울특별시 송파구 석촌동"
1171010400,14,47.82,2,2004,"   deposit  pricemon building           road           dong
0   4000.0        92  (45-12)  백제고분로45길 5-14  서울특별시 송파구 송파동
1   8000.0        35   (21-3)  백제고분로41길 8-20  서울특별시 송파구 송파동
2   4000.0        65   (11-8)  백제고분로41길 27-6  서울특별시 송파구 송파동
3   5000.0        62   (11-8)  백제고분로41길 27-6  서울특별시 송파구 송파동
4  11000.0        55    청록빌라A   송파대로42길 32-1  서울특별시 송파구 송파동"
1171010700,6,21.18,3,2010,"   deposit  pricemon     building          road           dong
0    500.0        55        상원하우스   송이로20길 4-24  서울특별시 송파구 가락동
1   2000.0        47  아이빌(114-14)  중대로12길 10-10  서울특별시 송파구 가락동
2   5000.0        30     (144-17)   송이로23길 16-7  서울특별시 송파구 가락동
3   3000.0        45      와이앤드비큐브     동남로13길 34  서울특별시 송파구 가락동
4   3000.0        40      (144-2)  송이로23길 22-10  서울특별시 송파구 가락동"
1171010100,14,47.76,4,2002,"   deposit  pricemon   building            road           dong
0  24000.0         5    (235-1)        삼전로7길 29  서울특별시 송파구 잠실동
1   5000.0        55    (228-5)   올림픽로12길 60-11  서울특별시 송파구 잠실동
2  10000.0        30  쉔빌(301-1)  백제고분로12길 24-19  서울특별시 송파구 잠실동
3   5000.0        70      J.J빌라   백제고분로7길 16-43  서울특별시 송파구 잠실동
4  16900.0        10   (231-11)   백제고분로15길 23-5  서울특별시 송파구 잠실동"
1171010500,12,40.99,2,2001,"   deposit  pricemon  building            road           dong
0   1000.0        70    드림레이크빌   석촌호수로18길 16-3  서울특별시 송파구 석촌동
1  10000.0        31       도원빌      삼학사로14길 24  서울특별시 송파구 석촌동
2  13000.0        20     리치하이빌        가락로9길 16  서울특별시 송파구 석촌동
3  12000.0        40  (150-22)  백제고분로36가길 19-7  서울특별시 송파구 석촌동
4   3000.0        70    청호센트레빌      송파대로47길 15  서울특별시 송파구 석촌동"
1171010700,13,42.21,4,2013,"   deposit  pricemon  building          road           dong
0  10000.0        50  (173-23)   오금로44나길 3-1  서울특별시 송파구 가락동
1   3200.0        27    더존에이스빌   오금로34길 8-17  서울특별시 송파구 가락동
2   9000.0        40     라비앙로즈  동남로13길 23-27  서울특별시 송파구 가락동
3   3500.0        68       캐스빌     오금로40길 58  서울특별시 송파구 가락동
4  13000.0        30     문정스타뷰  송파대로22길 5-14  서울특별시 송파구 문정동"
1171010800,5,17.49,3,2012,"   deposit  pricemon building         road           dong
0   1000.0        50      예다움  동남로8길 29-14  서울특별시 송파구 문정동
1   3000.0        40   (34-7)  동남로6길 29-22  서울특별시 송파구 문정동
2   1000.0        45    성원아트빌    새말로5길 4-6  서울특별시 송파구 문정동
3   2255.0        15  (83-23)    새말로 114-1  서울특별시 송파구 문정동
4   1000.0        52      예다움  동남로8길 29-14  서울특별시 송파구 문정동"
1171010700,40,131.62,3,1988,"   deposit  pricemon    building         road           dong
0   2500.0        40       원앙빌리지     가락로21길 6  서울특별시 송파구 송파동
1   3000.0        80      광동주택 7   위례성대로4길 12  서울특별시 송파구 방이동
2  10000.0        90  오륜아트빌라(6차)    마천로 79-11  서울특별시 송파구 오금동
3    300.0        30  오륜아트빌라(6차)    마천로 79-11  서울특별시 송파구 오금동
4    500.0        37     (46-11)  백제고분로24길 10  서울특별시 송파구 삼전동"
