코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1147010300,10,34.36,4,2012,"   deposit        building            road           dong
0  15000.0   유진소르베(234-15)       월정로15길 20  서울특별시 양천구 신월동
1  10500.0           세진아트빌   남부순환로31길 36-1  서울특별시 양천구 신월동
2  17000.0  그랜드비스타(207-77)  남부순환로64길 37-11  서울특별시 양천구 신월동
3  13000.0           큐브하우스         월정로 256  서울특별시 양천구 신월동
4  13000.0           보성팰리스   가로공원로56길 37-3  서울특별시 양천구 신월동",14793
1147010100,16,54.13,5,2002,"   deposit       building         road           dong
0  15000.0         정은빌라B동  중앙로45길 34-5  서울특별시 양천구 신정동
1  17000.0           세진주택    목동로13길 17  서울특별시 양천구 신정동
2  18000.0           세진주택    목동로13길 17  서울특별시 양천구 신정동
3  17000.0  이화쉐르빌(1023-2)    은행정로1길 11  서울특별시 양천구 신정동
4  15000.0        삼성파크빌B동  은행정로15길 9-1  서울특별시 양천구 신정동",17444.33333
1147010300,8,27.95,5,2015,"   deposit      building            road           dong
0  13000.0         자라하우스  가로공원로67길 12-19  서울특별시 양천구 신월동
1  17500.0  M 펠리체(122-6)        곰달래로9길 7  서울특별시 양천구 신월동
2  16500.0      조은팰리스26차      오목로4길 23-3  서울특별시 양천구 신월동
3  14000.0      SK스마트빌ll     월정로33길 20-1  서울특별시 양천구 신월동
4  17000.0         MJ파크빌     월정로38길 4-16  서울특별시 양천구 신월동",15963
1147010200,18,59.9,-1,2002,"   deposit   building            road          dong
0  12000.0        모던빌    목동중앙남로9가길 19  서울특별시 양천구 목동
1   5000.0  덕수하이츠맨션B동  목동중앙본로26길 39-4  서울특별시 양천구 목동
2   3400.0      효성하이츠    목동중앙남로3가길 43  서울특별시 양천구 목동
3  12000.0     금강빌라A동    목동중앙남로16길 23  서울특별시 양천구 목동
4  11000.0      마이홈빌라     오목로54길 12-1  서울특별시 양천구 목동",9392
1147010300,12,40.81,3,1988,"   deposit  building          road           dong
0   9000.0    대흥(가동)  지양로10길 17-10  서울특별시 양천구 신월동
1   9000.0  동보2차(B동)      지양로13길 8  서울특별시 양천구 신월동
2   9000.0   형제주택 가동      지양로7길 17  서울특별시 양천구 신월동
3   8000.0      정원빌라    남부순환로80길 8  서울특별시 양천구 신월동
4   8000.0  새한빌라(1동)   남부순환로66길 10  서울특별시 양천구 신월동",8938.333333
1147010300,15,49.48,3,1982,"   deposit   building         road           dong
0   8500.0       유성연립    곰달래로9길 49  서울특별시 양천구 신월동
1   7000.0       유성연립    곰달래로9길 49  서울특별시 양천구 신월동
2   3000.0  동우주택(153)  가로공원로58길 13  서울특별시 양천구 신월동
3  11000.0  대경4차(가,나)    오목로13길 39  서울특별시 양천구 신월동
4  10000.0        신반도  가로공원로67길 16  서울특별시 양천구 신월동",7681.5
1147010300,22,72.23,2,1982,"   deposit  building          road           dong
0   9000.0  대광(17-5)   남부순환로29길 45  서울특별시 양천구 신월동
1  13000.0  대광(17-5)   남부순환로29길 45  서울특별시 양천구 신월동
2  14000.0        대근     중앙로57길 56  서울특별시 양천구 신월동
3  12000.0        재현      화곡로3길 20  서울특별시 양천구 신월동
4  14000.0    덕화연립나동  곰달래로13길 19-1  서울특별시 양천구 신월동",13005
1147010200,15,50.64,1,2002,"   deposit      building             road          dong
0  15000.0         산정빌타운     목동중앙본로11길 20  서울특별시 양천구 목동
1  18500.0         유니카벨리     목동중앙본로24길 14  서울특별시 양천구 목동
2  12000.0          소호빌라     목동중앙본로20길 30  서울특별시 양천구 목동
3  18000.0   다나네스트빌(643)  목동중앙남로16마길 27-9  서울특별시 양천구 목동
4  23000.0  효성파크빌(764-1)       목동중앙로3길 17  서울특별시 양천구 목동",15783
1147010200,9,29.51,2,2011,"   deposit       building             road          dong
0  14500.0         대명시티파크      목동중앙북로 52-1  서울특별시 양천구 목동
1  16500.0          동광탑스빌  목동중앙본로28길 37-16  서울특별시 양천구 목동
2  21000.0  엘지하이츠(505-12)     목동중앙북로10길 21  서울특별시 양천구 목동
3  14000.0          대림글로빌   목동중앙남로3가길 20-4  서울특별시 양천구 목동
4  15000.0           썬샤인빌   목동중앙로13길 19-37  서울특별시 양천구 목동",15155
1147010100,20,64.56,4,1993,"   deposit      building          road           dong
0  13000.0          청구빌라     중앙로27길 23  서울특별시 양천구 신정동
1  13000.0          청구빌라     중앙로27길 23  서울특별시 양천구 신정동
2  18000.0          금산빌라      신정중앙로 54  서울특별시 양천구 신정동
3  16000.0        미도파히아츠  은행정로13길 17-1  서울특별시 양천구 신정동
4  13500.0  중앙빌라(968-10)     오목로30길 28  서울특별시 양천구 신정동",15273.33333
