코드,평,전용면적(㎡),층,건축년도,predicted
1147010300,12,41.2,-1,1988,"   deposit  pricemon     building           road           dong
0    500.0        30     새한빌라(A동)      지양로10길 22  서울특별시 양천구 신월동
1    500.0        35      형제주택 나동     지양로7길 17-2  서울특별시 양천구 신월동
2   1500.0        30        뉴선경 가     오목로3길 5-13  서울특별시 양천구 신월동
3    800.0        30      동광주택 나동  남부순환로70길 19-8  서울특별시 양천구 신월동
4    200.0        30  금강주택(947-6)     지양로7길 24-7  서울특별시 양천구 신월동"
1147010100,20,67.08,2,1983,"   deposit  pricemon building        road           dong
0   1000.0        40       대경    신목로4길 24  서울특별시 양천구 신정동
1   2000.0        40   태성빌라맨션   중앙로29길 60  서울특별시 양천구 신정동
2  12000.0         5    코끼리연립  은행정로19가길 8  서울특별시 양천구 신정동
3   5000.0        30    코끼리연립  은행정로19가길 8  서울특별시 양천구 신정동
4  11000.0         5      아리랑  은행정로17길 43  서울특별시 양천구 신정동"
1147010300,8,25.76,3,2013,"   deposit  pricemon      building          road           dong
0   3000.0        35  이멋진세상(445-8)        월정로 36  서울특별시 양천구 신월동
1   4500.0        30        명솔M펠리스     오목로 64-35  서울특별시 양천구 신월동
2   2500.0        25         메이플타워    가로공원로66길 7  서울특별시 양천구 신월동
3   2500.0        20         메이플타워    가로공원로66길 7  서울특별시 양천구 신월동
4   3000.0        50         고센아트빌  곰달래로6길 16-15  서울특별시 양천구 신월동"
1147010300,9,28.14,1,2013,"   deposit  pricemon        building         road           dong
0   1500.0        50    프라임빌(505-11)    중앙로49길 14  서울특별시 양천구 신월동
1   1000.0        50          명솔M펠리스    오목로 64-35  서울특별시 양천구 신월동
2   1000.0        50          명솔M펠리스    오목로 64-35  서울특별시 양천구 신월동
3   2000.0        65  휴먼파크타운(410-15)    남부순환로 495  서울특별시 양천구 신월동
4   1000.0        40            더위너스  남부순환로77길 15  서울특별시 양천구 신월동"
1147010100,23,77.52,3,2000,"   deposit  pricemon    building         road           dong
0  15000.0        25  예지쉐르빌15차가동  신정중앙로12길 14  서울특별시 양천구 신정동
1  15000.0        20       동일빌라가  목동남로4길 43-8  서울특별시 양천구 신정동
2   2000.0        75       목동하이빌  목동로21길 15-1  서울특별시 양천구 신정동
3   2000.0        60       리브르빌라    목동로21길 21  서울특별시 양천구 신정동
4   6000.0        50       은아쉐르빌    중앙로29길 94  서울특별시 양천구 신정동"
1147010300,23,74.69,3,1995,"   deposit  pricemon     building         road           dong
0   5000.0        40        경희빌라3   월정로8길 16-1  서울특별시 양천구 신월동
1   6500.0        60  행복한집(97-17)    곰달래로5길 72  서울특별시 양천구 신월동
2  10000.0        40  행복한집(97-17)    곰달래로5길 72  서울특별시 양천구 신월동
3  11300.0        30      미도골든빌라B  중앙로53길 32-1  서울특별시 양천구 신월동
4   1000.0        20  안성주택(101-5)    곰달래로9길 53  서울특별시 양천구 신월동"
1147010300,12,41.16,2,1989,"   deposit  pricemon building           road           dong
0   1000.0        47     성산주택  남부순환로70길 11-8  서울특별시 양천구 신월동
1    500.0        40  남영주택 A동     지양로7길 13-2  서울특별시 양천구 신월동
2  10000.0        10       대광   중앙로51길 26-10  서울특별시 양천구 신월동
3   3000.0        20     가든빌라   화곡로12길 23-22  서울특별시 양천구 신월동
4   1000.0        40  삼익주택 나동     신월로5길 10-1  서울특별시 양천구 신월동"
1147010200,13,42.41,6,2016,"   deposit  pricemon      building           road          dong
0   2000.0        70         다인빌리지  목동중앙서로8길 12-4  서울특별시 양천구 목동
1   9000.0        20  파라아트(778-29)    목동중앙서로9길 33  서울특별시 양천구 목동
2   9000.0        30        목동숲아파트  목동중앙북로16가길 27  서울특별시 양천구 목동
3   3000.0        70         남광쉐르빌     목동중앙로1길 19  서울특별시 양천구 목동
4  20000.0         5        목동숲아파트  목동중앙북로16가길 27  서울특별시 양천구 목동"
1147010200,24,79.56,2,2010,"   deposit  pricemon     building          road          dong
0   5000.0        70  벽담주택(505-9)  목동중앙본로31길 28  서울특별시 양천구 목동
1   2000.0        85          뉴캐슬    목동중앙로3길 96  서울특별시 양천구 목동
2   7000.0        15   성우하이츠(에이동)   목동중앙서로7길 13  서울특별시 양천구 목동
3   3000.0        70     (794-10)   목동중앙서로4길 16  서울특별시 양천구 목동
4    725.0        61       목동펠리스빌  목동중앙본로24길 33  서울특별시 양천구 목동"
1147010300,12,40.92,3,1987,"   deposit  pricemon building            road           dong
0   1000.0        50     삼성 A  남부순환로67길 10-11  서울특별시 양천구 신월동
1    500.0        40     동서빌라      신월로22길 9-1  서울특별시 양천구 신월동
2   3000.0        40     태평빌라     남부순환로82길 19  서울특별시 양천구 신월동
3    500.0        40  삼미주택 3동      지양로2길 16-1  서울특별시 양천구 신월동
4   2500.0        30   금성(다동)      지양로14길 9-4  서울특별시 양천구 신월동"
