코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1156010200,4,13.65,9,2017,"   deposit     building        road               dong
0  14000.0  여의도 명남 더블레스   경인로112길 7  서울특별시 영등포구 영등포동1가
1  14000.0  여의도 명남 더블레스   경인로112길 7  서울특별시 영등포구 영등포동1가
2  13500.0    경동미르웰 여의도   버드나루로7길 3  서울특별시 영등포구 영등포동2가
3  13000.0     인정오피스텔II  국회대로56길 35  서울특별시 영등포구 영등포동2가
4  15000.0       팰리스페트라  경인로112길 25  서울특별시 영등포구 영등포동1가",13970
1156013200,9,29.56,4,2016,"   deposit building           road            dong
0  20000.0     유진빌라      가마산로69길 6  서울특별시 영등포구 신길동
1  16000.0     유진빌라      가마산로69길 6  서울특별시 영등포구 신길동
2  20000.0   그린힐스테이    도신로36길 10-4  서울특별시 영등포구 신길동
3  19000.0   (4-15)  여의대방로59나길 2-3  서울특별시 영등포구 신길동
4  20000.0     헤븐빌2    도신로48길 41-2  서울특별시 영등포구 신길동",18525.66667
1156013200,18,60.52,4,2012,"   deposit building          road              dong
0  22000.0  대림메트로큐브  대림로29가길 16-1    서울특별시 영등포구 대림동
1  26000.0   강변애 A동    양평로28가길 50  서울특별시 영등포구 양평동6가
2  22000.0     부길타운      대방천로 166    서울특별시 영등포구 신길동
3  23500.0     범프라임  영등포로62라길 8-1    서울특별시 영등포구 신길동
4  25000.0      가온재     신길로41길 14    서울특별시 영등포구 신길동",22940
1156011100,9,29.94,3,2017,"   deposit    building          road              dong
0  26750.0        썬샤인빌     영신로41길 13  서울특별시 영등포구 당산동1가
1  26750.0        썬샤인빌     영신로41길 13  서울특별시 영등포구 당산동1가
2  25000.0  파비엥노블레스102  영신로43길 16-14  서울특별시 영등포구 당산동1가
3  24500.0      다솔시티하임    영등포로27길 12  서울특별시 영등포구 당산동1가
4  24500.0      다솔시티하임    영등포로27길 12  서울특별시 영등포구 당산동1가",25079
1156012800,9,30,3,2010,"   deposit building         road              dong
0  17000.0     파크빌Ⅰ    선유로53길 15  서울특별시 영등포구 양평동4가
1  17000.0     파크빌Ⅰ    선유로53길 15  서울특별시 영등포구 양평동4가
2  17500.0     굿모닝빌  선유로53길 15-1  서울특별시 영등포구 양평동4가
3  17000.0  (182-1)    선유로51길 14  서울특별시 영등포구 양평동4가
4  18000.0    한강선유빌    선유로53길 29  서울특별시 영등포구 양평동4가",16995
1156010300,6,19.84,3,2014,"   deposit building           road               dong
0   8500.0  크렌시아하우스   국회대로54길 65-4  서울특별시 영등포구 영등포동2가
1  14000.0     범영시티  국회대로54길 37-10  서울특별시 영등포구 영등포동2가
2  14000.0     범영시티  국회대로54길 37-10  서울특별시 영등포구 영등포동2가
3   9500.0    코지하우스  국회대로54길 41-15  서울특별시 영등포구 영등포동2가
4   9000.0  크렌시아하우스   국회대로54길 65-4  서울특별시 영등포구 영등포동2가",12975
1156011700,9,29.91,7,2016,"   deposit    building          road              dong
0  27000.0        밀레니엄  당산로31길 18-10  서울특별시 영등포구 당산동3가
1  22000.0  비앤비퀸즈빌101동    버드나루로17길 5    서울특별시 영등포구 당산동
2  22000.0  비앤비퀸즈빌101동    버드나루로17길 5    서울특별시 영등포구 당산동
3  23500.0       디 아인스     문래북로 58-7  서울특별시 영등포구 문래동3가
4  25700.0      세종에버그린       문래북로 62  서울특별시 영등포구 문래동3가",23436
1156011800,16,51.81,2,2015,"   deposit     building        road            dong
0  22000.0        투게더 비  영신로1길 28-3  서울특별시 영등포구 도림동
1  23000.0        투게더 비  영신로1길 28-3  서울특별시 영등포구 도림동
2  33000.0  스테이휴당산 101동  버드나루로16길 7  서울특별시 영등포구 당산동
3  18000.0           다인    영신로1길 28  서울특별시 영등포구 도림동
4  24000.0        그레이스빌  도림로108길 31  서울특별시 영등포구 도림동",22185
1156013200,17,55.32,-1,1991,"   deposit      building           road            dong
0  15000.0          그린빌라      도신로52길 22  서울특별시 영등포구 신길동
1  10000.0     (1116-24)   도림천로15길 1-14  서울특별시 영등포구 대림동
2  12000.0  하나빌라(1116-3)      도림로 122-5  서울특별시 영등포구 대림동
3  15500.0       대림빌라 나동  시흥대로177길 14-1  서울특별시 영등포구 대림동
4  11000.0       (187-6)   신길로62가길 1-14  서울특별시 영등포구 신길동",10955
1156012800,9,29.72,6,2018,"   deposit building         road              dong
0  26000.0  M-BROWN     선유로49길 8  서울특별시 영등포구 양평동4가
1  28500.0     리버캐슬  양평로28길 32-7  서울특별시 영등포구 양평동5가
2  24000.0    위너스하임   양평로21나길 12  서울특별시 영등포구 양평동5가
3  27000.0    금강하우징  선유로53길 16-7  서울특별시 영등포구 양평동4가
4  27000.0    금강하우징  선유로53길 16-7  서울특별시 영등포구 양평동4가",26068.33333
1156013200,18,59.57,-1,2003,"   deposit      building          road            dong
0  11000.0       (187-6)  신길로62가길 1-14  서울특별시 영등포구 신길동
1  12000.0  하나빌라(1116-3)     도림로 122-5  서울특별시 영등포구 대림동
2  10000.0     (1116-24)  도림천로15길 1-14  서울특별시 영등포구 대림동
3  14000.0          건청빌라   도신로10길 8-11  서울특별시 영등포구 대림동
4  14000.0          건청빌라   도신로10길 8-11  서울특별시 영등포구 대림동",16705.25
1156012800,9,29.82,3,2011,"   deposit building         road              dong
0  16500.0   세이지빌2차    선유로53길 13  서울특별시 영등포구 양평동4가
1  17500.0     굿모닝빌  선유로53길 15-1  서울특별시 영등포구 양평동4가
2  17000.0     파크빌Ⅰ    선유로53길 15  서울특별시 영등포구 양평동4가
3  17000.0     파크빌Ⅰ    선유로53길 15  서울특별시 영등포구 양평동4가
4  17000.0  (182-1)    선유로51길 14  서울특별시 영등포구 양평동4가",16965
