코드,평,전용면적(㎡),층,건축년도,predicted
1156011800,16,52.87,3,2001,"   deposit  pricemon       building        road              dong
0  13000.0        20  혜성빌라(141-189)  도림로112길 24    서울특별시 영등포구 도림동
1  15000.0        12   미소타운(236-12)  도림로113가길 6    서울특별시 영등포구 도림동
2   6000.0        60  혜성빌라(141-189)  도림로112길 24    서울특별시 영등포구 도림동
3  14500.0        40        (312-0)  당산로20길 9-3  서울특별시 영등포구 당산동1가
4  10000.0        50        (312-0)  당산로20길 9-3  서울특별시 영등포구 당산동1가"
1156013200,4,14.53,4,2017,"   deposit  pricemon building        road            dong
0   3000.0        45     한림캐슬   여의대방로1길 3  서울특별시 영등포구 신길동
1   1500.0        50     한림캐슬   여의대방로1길 3  서울특별시 영등포구 신길동
2   5000.0        45    운송스카이   도신로 231-5  서울특별시 영등포구 신길동
3   2000.0        60    운송스카이   도신로 231-5  서울특별시 영등포구 신길동
4  10000.0        10    한울쉐르빌  도신로64가길 11  서울특별시 영등포구 신길동"
1156011600,8,27.93,5,2011,"   deposit  pricemon building         road              dong
0   7000.0        45    성원파크빌  당산로46가길 6-6  서울특별시 영등포구 당산동6가
1   2000.0        60    리치하우스  도신로19가길 4-5    서울특별시 영등포구 도림동
2   4000.0        35     지아인빌    도신로15다길 5    서울특별시 영등포구 도림동
3    500.0        73    강변리치빌  당산로46길 15-1  서울특별시 영등포구 당산동6가
4  18000.0        40    한스파크빌    당산로46가길 5  서울특별시 영등포구 당산동6가"
1156013000,15,50.82,2,1986,"   deposit  pricemon       building         road              dong
0    600.0         9           미성빌라   도림로61가길 11    서울특별시 영등포구 신길동
1   3000.0        50       일진 A,B,C     선유서로 104  서울특별시 영등포구 양평동1가
2   3000.0        50      삼호빌라 가,나동  대림로41길 26-5    서울특별시 영등포구 대림동
3   3000.0        50         대신하이츠    가마산로50길 17    서울특별시 영등포구 신길동
4   1000.0        55  일우맨션(1059-49)  도림천로11길 4-2    서울특별시 영등포구 대림동"
1156013300,18,59.28,-1,1998,"   deposit  pricemon  building         road            dong
0   3000.0        53   (187-9)  신길로62가길 1-7  서울특별시 영등포구 신길동
1   8000.0        10  (187-10)  신길로62가길 1-6  서울특별시 영등포구 신길동
2   3000.0        82  대림동다세대주택   디지털로54길 11  서울특별시 영등포구 대림동
3  12000.0        20  (187-53)  신길로62길 23-2  서울특별시 영등포구 신길동
4   5000.0        50  (3997-0)     신풍로 86-1  서울특별시 영등포구 신길동"
1156010300,8,27.98,8,2018,"   deposit  pricemon  building        road               dong
0   3000.0       100      블루오션  국회대로56길 56  서울특별시 영등포구 영등포동2가
1   5000.0        65      블루오션  국회대로56길 56  서울특별시 영등포구 영등포동2가
2  10000.0        55  더 위일 중마루  버드나루로3길 11  서울특별시 영등포구 영등포동2가
3  10000.0        35      프리스틴  영등포로53길 32  서울특별시 영등포구 영등포동2가
4   2000.0        85     SJ팰리스   경인로112길 3  서울특별시 영등포구 영등포동1가"
1156013000,5,16.32,3,2011,"   deposit  pricemon  building        road              dong
0   6000.0        10       리치빌  영등포로62다길 3    서울특별시 영등포구 신길동
1   6000.0        15       리치빌  영등포로62다길 3    서울특별시 영등포구 신길동
2   1000.0        50   (260-2)   선유로53길 16  서울특별시 영등포구 양평동4가
3   6000.0        25  (95-270)   도신로64길 19    서울특별시 영등포구 신길동
4   4000.0        35  (95-270)   도신로64길 19    서울특별시 영등포구 신길동"
1156011700,6,18.36,4,2011,"   deposit  pricemon     building       road            dong
0   3000.0        40         지아인빌  도신로15다길 5  서울특별시 영등포구 도림동
1   3000.0        40         지아인빌  도신로15다길 5  서울특별시 영등포구 도림동
2   3000.0        40         지아인빌  도신로15다길 5  서울특별시 영등포구 도림동
3   4000.0        35         지아인빌  도신로15다길 5  서울특별시 영등포구 도림동
4   1000.0        50  은성빌(232-16)  도신로15길 14  서울특별시 영등포구 도림동"
1156012900,5,16.63,3,2014,"   deposit  pricemon building         road              dong
0   1000.0        50   (70-1)  양평로22나길 7-1  서울특별시 영등포구 양평동5가
1   3000.0        40  (161-9)   선유로51길 8-1  서울특별시 영등포구 양평동4가
2   2000.0        45  (161-9)   선유로51길 8-1  서울특별시 영등포구 양평동4가
3   1000.0        50  (260-2)    선유로53길 16  서울특별시 영등포구 양평동4가
4   1000.0        55     백년주택  여의대방로53길 13    서울특별시 영등포구 신길동"
1156013200,21,70.8,1,1981,"   deposit  pricemon     building         road            dong
0  10000.0        20     (4921-9)    가마산로77길 6  서울특별시 영등포구 신길동
1   1000.0        65  현대그린빌라 A,B동  시흥대로175가길 1  서울특별시 영등포구 대림동
2   5000.0        60  대동맨숀(832-2)     대림로21길 5  서울특별시 영등포구 대림동
3   3000.0        50  현대그린빌라 A,B동  시흥대로175가길 1  서울특별시 영등포구 대림동
4   1500.0        60  현대그린빌라 A,B동  시흥대로175가길 1  서울특별시 영등포구 대림동"
1156012800,5,17.34,4,2011,"   deposit  pricemon  building         road              dong
0   1000.0        40     양화빌3차    선유로55길 18  서울특별시 영등포구 양평동4가
1   2500.0        30     양화빌2차  선유로53길 30-8  서울특별시 영등포구 양평동4가
2    500.0        40     더하우스Ⅱ     양평로30길 4  서울특별시 영등포구 양평동6가
3   2000.0        45   (182-1)    선유로51길 14  서울특별시 영등포구 양평동4가
4   3000.0        42  (95-270)    도신로64길 19    서울특별시 영등포구 신길동"
1156010300,4,14.03,5,2017,"   deposit  pricemon   building           road               dong
0   4000.0        42  경동미르웰 여의도      버드나루로7길 3  서울특별시 영등포구 영등포동2가
1   4000.0        42  경동미르웰 여의도      버드나루로7길 3  서울특별시 영등포구 영등포동2가
2   7000.0        30       코뿔소짱  국회대로54길 37-13  서울특별시 영등포구 영등포동2가
3   1000.0        45       뤼미에르     경인로114길 40  서울특별시 영등포구 영등포동1가
4   5000.0        42  경동미르웰 여의도      버드나루로7길 3  서울특별시 영등포구 영등포동2가"
1156013300,9,29.71,3,2017,"   deposit  pricemon  building           road            dong
0  10000.0        45     해피하우스     영등포로 388-6  서울특별시 영등포구 신길동
1  16000.0        30      영모던빌    여의대방로53길 31  서울특별시 영등포구 신길동
2   1197.0        16    대림에스하임       대림로39길 9  서울특별시 영등포구 대림동
3   1000.0        80  (463-11)  여의대방로47길 24-1  서울특별시 영등포구 신길동
4  12000.0        30  (463-11)  여의대방로47길 24-1  서울특별시 영등포구 신길동"
1156012900,5,16.63,2,2014,"   deposit  pricemon building         road              dong
0    100.0        65  (260-2)    선유로53길 16  서울특별시 영등포구 양평동4가
1   1000.0        40    새롬하우스  양평로20길 16-4  서울특별시 영등포구 양평동4가
2    500.0        45    더하우스Ⅰ   양평로30길 4-1  서울특별시 영등포구 양평동6가
3   1000.0        37      코쿤빌    선유로53길 20  서울특별시 영등포구 양평동4가
4   3500.0        35    백년주택Ⅱ  영등포로84길 6-6    서울특별시 영등포구 신길동"
1156012800,4,12.47,2,2014,"   deposit  pricemon building         road              dong
0   1000.0        40    새롬하우스  양평로20길 16-4  서울특별시 영등포구 양평동4가
1    100.0        65  (260-2)    선유로53길 16  서울특별시 영등포구 양평동4가
2   2500.0        15    양화빌2차  선유로53길 30-8  서울특별시 영등포구 양평동4가
3   2500.0        15    양화빌2차  선유로53길 30-8  서울특별시 영등포구 양평동4가
4   1000.0        40     백년주택  여의대방로53길 13    서울특별시 영등포구 신길동"
