코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1117011100,9,29.87,5,2019,"   deposit building         road             dong
0  23500.0    용산미래빌   청파로43라길 45  서울특별시 용산구 청파동3가
1  24000.0    용산미래빌   청파로43라길 45  서울특별시 용산구 청파동3가
2  21500.0    용산미래빌   청파로43라길 45  서울특별시 용산구 청파동3가
3  24000.0      금화빌  청파로57길 11-1  서울특별시 용산구 청파동2가
4  21500.0    용산미래빌   청파로43라길 45  서울특별시 용산구 청파동3가",23135
1117013100,17,57.68,4,2004,"   deposit  building            road            dong
0  23000.0  (247-22)  회나무로13가길 46-32  서울특별시 용산구 이태원동
1  15750.0      하나주택       우사단로4라길 7   서울특별시 용산구 보광동
2  30000.0   (198-1)       서빙고로59길 3  서울특별시 용산구 서빙고동
3  30000.0   (79-25)       보광로55길 24  서울특별시 용산구 이태원동
4  40000.0  힐팰리스하우스빌      유엔빌리지길 247   서울특별시 용산구 한남동",30140
1117010900,16,54.21,3,2007,"   deposit     building         road             dong
0  16800.0  에이스5차(1-35)  청파로71길 58-8  서울특별시 용산구 청파동1가
1  18000.0  진성아트빌(15-1)  청파로71길 64-4  서울특별시 용산구 청파동1가
2  16000.0  진성아트빌(15-1)  청파로71길 64-4  서울특별시 용산구 청파동1가
3  28000.0     (100-11)    청파로57길 36  서울특별시 용산구 청파동1가
4  20000.0       (1-17)   청파로71가길 21  서울특별시 용산구 청파동1가",20857
1117010200,10,33.15,3,1998,"   deposit   building          road             dong
0   5000.0   (5-1257)     소월로30길 20  서울특별시 용산구 용산동2가
1  12000.0  (409-125)  두텁바위로38가길 14    서울특별시 용산구 후암동
2  14000.0  (409-134)    신흥로36가길 17    서울특별시 용산구 후암동
3   6200.0       넥스빌2  신흥로36가길 24-8  서울특별시 용산구 용산동2가
4  10000.0       이정빌라   한강대로98가길 12    서울특별시 용산구 갈월동",8747
1117011900,9,29.76,2,2019,"   deposit building        road           dong
0  22500.0     H파크빌  효창원로76길 15  서울특별시 용산구 효창동
1  23000.0     H파크빌  효창원로76길 15  서울특별시 용산구 효창동
2  19500.0      비버빌  백범로47가길 27  서울특별시 용산구 효창동
3  19000.0      비버빌  백범로47가길 27  서울특별시 용산구 효창동
4  20000.0      비버빌  백범로47가길 27  서울특별시 용산구 효창동",21581.66667
1117011900,10,33.37,5,2016,"   deposit       building         road           dong
0  25000.0  금강프라임빌(5-252)  효창원로69가길 13  서울특별시 용산구 효창동
1  24000.0  금강프라임빌(5-252)  효창원로69가길 13  서울특별시 용산구 효창동
2  20600.0            파크빌  백범로45길 4-20  서울특별시 용산구 효창동
3  22000.0        (5-199)    백범로45길 24  서울특별시 용산구 효창동
4  24500.0      두손BESTIUM  효창원로69가길 29  서울특별시 용산구 효창동",23767
1117011100,9,31.22,4,2013,"   deposit building          road             dong
0  20000.0  (17-50)     백범로79나길 5  서울특별시 용산구 원효로1가
1  19000.0  (17-50)     백범로79나길 5  서울특별시 용산구 원효로1가
2  22000.0   (13-8)  백범로79나길 13-2  서울특별시 용산구 원효로1가
3  22000.0   (13-8)  백범로79나길 13-2  서울특별시 용산구 원효로1가
4  23000.0   (13-8)  백범로79나길 13-2  서울특별시 용산구 원효로1가",18637.83333
1117010100,12,38.41,1,2000,"   deposit   building           road             dong
0   8000.0  (409-108)  두텁바위로38길 28-4    서울특별시 용산구 후암동
1  14000.0   (400-48)   두텁바위로 108-12    서울특별시 용산구 후암동
2  15000.0   (297-12)     후암로28바길 14    서울특별시 용산구 후암동
3  10000.0         선우      신흥로20길 29  서울특별시 용산구 용산동2가
4  10000.0         선우      신흥로20길 29  서울특별시 용산구 용산동2가",11925
1117010900,9,28.45,4,2016,"   deposit  building          road             dong
0  22000.0     시온빌리지  청파로47나길 45-5  서울특별시 용산구 청파동1가
1  23000.0     시온빌리지  청파로47나길 45-5  서울특별시 용산구 청파동1가
2  24000.0     시온빌리지  청파로47나길 45-5  서울특별시 용산구 청파동1가
3  23000.0  미래스위트하우스    청파로47나길 62  서울특별시 용산구 청파동1가
4  23500.0  미래스위트하우스    청파로47나길 62  서울특별시 용산구 청파동1가",22275
1117013100,20,65.04,3,2000,"   deposit  building           road            dong
0  30000.0     각산하이빌  대사관로12길 14-13   서울특별시 용산구 한남동
1  40000.0     각산하이빌  대사관로12길 14-13   서울특별시 용산구 한남동
2  40000.0  힐팰리스하우스빌     유엔빌리지길 247   서울특별시 용산구 한남동
3  40000.0  힐팰리스하우스빌     유엔빌리지길 247   서울특별시 용산구 한남동
4  20000.0      한강빌라     서빙고로71길 47  서울특별시 용산구 동빙고동",29868.33333
1117012100,4,12.68,5,2013,"   deposit building         road           dong
0  10000.0     한강타운    새창로 120-5  서울특별시 용산구 용문동
1  10500.0     한강타운    새창로 120-5  서울특별시 용산구 용문동
2  12000.0       라온  효창원로25다길 42  서울특별시 용산구 용문동
3  10000.0     에벤에셀      효창원로 77  서울특별시 용산구 용문동
4  10000.0    렉스빌리지  효창원로25다길 40  서울특별시 용산구 용문동",10338.16667
