코드,평,전용면적(㎡),층,건축년도,predicted
1117010100,33,109.11,5,2003,"   deposit  pricemon building          road             dong
0   2000.0        80   최첨단황금빌     후암로44길 16    서울특별시 용산구 후암동
1  10000.0       180   그레이스빌Ⅱ     후암로28길 46    서울특별시 용산구 후암동
2   3000.0        75     대원빌라    청파로47나길 58  서울특별시 용산구 청파동1가
3  23000.0        40        .  후암로48길 38-24    서울특별시 용산구 후암동
4   6000.0        80  (259-9)      두텁바위로 75    서울특별시 용산구 후암동"
1117010100,20,67.14,-1,1998,"   deposit  pricemon building          road             dong
0   2000.0        70   현대그린빌라    후암로16가길 28    서울특별시 용산구 후암동
1    500.0        43  함주빌라(A)  후암로48길 38-12    서울특별시 용산구 후암동
2   6000.0        85    남산하컴빌    두텁바위로5길 27    서울특별시 용산구 갈월동
3    600.0        19     재전빌라   두텁바위로60길 32    서울특별시 용산구 후암동
4   1000.0        35   (41-1)      신흥로5길 39  서울특별시 용산구 용산동2가"
1117010200,19,62.94,3,2003,"   deposit  pricemon   building          road             dong
0   1000.0        95      샬롬하우스  신흥로26길 21-13  서울특별시 용산구 용산동2가
1   2000.0       100     삼안리치7차   한강대로98다길 10    서울특별시 용산구 후암동
2   2500.0        80   마이다스빌(Ⅱ)   두텁바위로 110-4    서울특별시 용산구 후암동
3  10000.0        63  (244-159)    후암로28바길 20    서울특별시 용산구 후암동
4   4000.0        85     (7-68)  한강대로96길 20-9    서울특별시 용산구 갈월동"
1117011200,19,62.25,1,2001,"   deposit  pricemon       building           road             dong
0  20000.0        15           승진빌라     효창원로12길 12  서울특별시 용산구 원효로4가
1  13000.0        50   삼성하이츠(77-24)    효창원로23나길 13    서울특별시 용산구 신창동
2   3000.0       100          동호쉐르빌     효창원로12길 28  서울특별시 용산구 원효로4가
3   3000.0       100  동방하이츠빌라(1-58)   청파로71다길 34-7  서울특별시 용산구 청파동2가
4  25000.0        15           이원빌라  한강대로96길 56-12    서울특별시 용산구 갈월동"
1117011700,4,14.54,3,2013,"   deposit  pricemon building          road             dong
0   2000.0        40    파크팰리스    원효로19가길 23  서울특별시 용산구 원효로3가
1   5000.0        30    갤러리아빌    효창원로12길 17  서울특별시 용산구 원효로4가
2   2000.0        38  (240-3)     백범로 284-7    서울특별시 용산구 효창동
3   2000.0        50    프라임27  효창원로76길 25-2    서울특별시 용산구 효창동
4   1000.0        42  (240-3)     백범로 284-7    서울특별시 용산구 효창동"
1117013100,47,153.86,2,2004,"   deposit  pricemon            building           road            dong
0   2000.0       200             (371-0)   녹사평대로46가길 11  서울특별시 용산구 이태원동
1   5000.0       330           베네띠앙펠리스빌1      장문로9가길 21  서울특별시 용산구 동빙고동
2   5000.0       190               파크빌리지     대사관로11길 48   서울특별시 용산구 한남동
3  20000.0       750              상월대 2동     유엔빌리지3길 52   서울특별시 용산구 한남동
4   3000.0       320  WOO N  SAB VILLA 2  이태원로15길 30-14  서울특별시 용산구 이태원동"
1117013100,5,16.02,5,2011,"   deposit  pricemon      building          road             dong
0   1000.0        70      한남그레이스빌딩  대사관로31길 25-5    서울특별시 용산구 한남동
1   1000.0        70      한남그레이스빌딩  대사관로31길 25-5    서울특별시 용산구 한남동
2    500.0        50        (6-10)    한강대로52길 46  서울특별시 용산구 용산동3가
3   7000.0        10        (6-10)    한강대로52길 46  서울특별시 용산구 용산동3가
4   2000.0        22  그레이스빌(28-68)     새창로 114-5    서울특별시 용산구 용문동"
1117013600,13,42.84,1,1991,"   deposit  pricemon   building          road           dong
0   3000.0        20       대한빌라      장문로19길 1  서울특별시 용산구 보광동
1   2000.0        40      (3-1)    장문로45바길 38  서울특별시 용산구 보광동
2   9500.0        25  대림하이츠타운B동     장문로45길 59  서울특별시 용산구 보광동
3   1500.0        25   (265-96)  장문로45바길 18-6  서울특별시 용산구 보광동
4   1000.0        60  (265-100)   장문로45마길 6-9  서울특별시 용산구 보광동"
1117010500,15,50.68,4,2008,"   deposit  pricemon      building          road             dong
0   6000.0        50         대명피렌체   효창원로86라길 42  서울특별시 용산구 청파동1가
1  20000.0        15  대청빌라(10-162)  청파로47나길 50-7  서울특별시 용산구 청파동2가
2   8000.0        50      (438-40)     후암로48길 30    서울특별시 용산구 후암동
3   2000.0        75       한성주택13차  두텁바위로13길 8-5    서울특별시 용산구 후암동
4   5000.0        55          준쉐르빌  청파로47나길 39-9  서울특별시 용산구 청파동2가"
1117010900,7,21.72,1,2007,"   deposit  pricemon   building           road             dong
0   9000.0        30       덕수빌라      청파로49길 18  서울특별시 용산구 청파동2가
1   2000.0        60     (1-33)   효창원로86나길 7-1  서울특별시 용산구 청파동2가
2   1000.0        40      (3-7)     효창원로86길 49  서울특별시 용산구 청파동2가
3   1500.0        60  (118-226)  청파로47가길 19-10  서울특별시 용산구 청파동3가
4   5000.0        50     (9-25)   청파로47나길 32-4  서울특별시 용산구 청파동2가"
1117010200,15,50.66,2,2006,"   deposit  pricemon       building          road             dong
0   4000.0        80           상원주택    두텁바위로1길 41    서울특별시 용산구 갈월동
1   5000.0        70  정일아트빌(1-1930)       신흥로 116  서울특별시 용산구 용산동2가
2   5000.0        60  정일아트빌(1-1930)       신흥로 116  서울특별시 용산구 용산동2가
3    500.0        50         (6-11)   한강대로102가길 5    서울특별시 용산구 갈월동
4   5000.0        70         갈월동하나빌  한강대로94길 4-22    서울특별시 용산구 갈월동"
1117013000,28,91.9,1,1977,"   deposit  pricemon   building         road            dong
0   7000.0         7    (223-1)   회나무로12길 29  서울특별시 용산구 이태원동
1    500.0        70   (223-23)   회나무로12나길 5  서울특별시 용산구 이태원동
2    580.0        75    (183-1)    서빙고로67길 8  서울특별시 용산구 동빙고동
3  13000.0        54  (726-345)  한남대로42나길 45   서울특별시 용산구 한남동
4   6000.0        45       양지맨션  서빙고로91나길 48   서울특별시 용산구 주성동"
1117010900,20,64.47,3,2003,"   deposit  pricemon   building          road             dong
0   1000.0        45  ESSAYVILL    청파로63가길 37  서울특별시 용산구 청파동1가
1   1000.0        50  ESSAYVILL    청파로63가길 37  서울특별시 용산구 청파동1가
2   2000.0        36  ESSAYVILL    청파로63가길 37  서울특별시 용산구 청파동1가
3  10000.0       120  삼안ritzy5차  한강대로104다길 11    서울특별시 용산구 동자동
4   2000.0        90   (109-15)   청파로47길 47-9  서울특별시 용산구 청파동3가"
1117011200,8,27.67,2,2016,"   deposit  pricemon  building         road             dong
0   2000.0        95  용산1차휴먼타운   백범로90라길 42  서울특별시 용산구 원효로1가
1   2000.0        95  용산2차휴먼타운   백범로90라길 38  서울특별시 용산구 원효로1가
2   5000.0        50    (51-6)  원효로83길 13-9  서울특별시 용산구 원효로1가
3   3000.0        80      정호빌라   청파로47나길 49  서울특별시 용산구 청파동1가
4   1000.0        60      BS빌딩     청파로49길 9  서울특별시 용산구 청파동2가"
1117012100,9,29.8,5,2014,"   deposit  pricemon      building         road           dong
0   5000.0        55            라온  효창원로25다길 42  서울특별시 용산구 용문동
1   2000.0        22  그레이스빌(28-68)    새창로 114-5  서울특별시 용산구 용문동
2  12000.0        35         라온빌B동    백범로74길 26  서울특별시 용산구 용문동
3   3000.0        35         5-222    백범로47길 10  서울특별시 용산구 효창동
4  10000.0        50        (2-10)  백범로74길 17-6  서울특별시 용산구 용문동"
